id,name,category,subcategory,price,description,material,gemstone,carat_weight,metal_purity,dimensions_json,in_stock,stock_quantity,engravable,gift_wrap_eligible,rating,review_count
JWL-001,Eternal Love Solitaire Ring,Rings,Engagement,4999.99,Classic solitaire engagement ring with brilliant cut diamond,White Gold,Diamond,1.0,14K,"{""band_width_mm"": 2.5, ""setting_height_mm"": 7}",1,3,1,1,4.0,1229
JWL-002,Vintage Halo Engagement Ring,Rings,Engagement,6499.99,Vintage-inspired halo setting with center diamond surrounded by smaller stones,Platinum,Diamond,1.25,950,"{""band_width_mm"": 2.8, ""setting_height_mm"": 8}",1,2,1,1,5.0,3080
JWL-003,Three Stone Anniversary Ring,Rings,Anniversary,3299.99,Past present and future design with three graduated diamonds,White Gold,Diamond,0.75,18K,"{""band_width_mm"": 3, ""setting_height_mm"": 5}",1,4,1,1,4.7,838
JWL-004,Classic Gold Wedding Band,Rings,Wedding Band,899.99,Timeless polished gold wedding band for him or her,Gold,None,,14K,"{""band_width_mm"": 4, ""thickness_mm"": 1.5}",1,12,1,1,4.5,4131
JWL-005,Platinum Wedding Band,Rings,Wedding Band,1499.99,Premium platinum wedding band with comfort fit,Platinum,None,,950,"{""band_width_mm"": 5, ""thickness_mm"": 2}",1,8,1,1,4.6,4261
JWL-006,Rose Gold Eternity Band,Rings,Eternity,2199.99,Beautiful rose gold band with diamonds all around,Rose Gold,Diamond,0.5,14K,"{""band_width_mm"": 2.2, ""setting_height_mm"": 3}",1,5,0,1,4.4,3100
JWL-007,Sapphire Cocktail Ring,Rings,Fashion,2899.99,Stunning blue sapphire surrounded by diamond accents,White Gold,Sapphire,2.5,18K,"{""band_width_mm"": 3.5, ""setting_height_mm"": 10}",1,3,0,1,4.6,4530
JWL-008,Ruby Statement Ring,Rings,Fashion,3499.99,Bold ruby center stone with pavé diamond band,Gold,Ruby,2.0,18K,"{""band_width_mm"": 4, ""setting_height_mm"": 9}",1,2,0,1,4.9,3605
JWL-009,Emerald Art Deco Ring,Rings,Fashion,4199.99,Art deco inspired emerald ring with geometric diamond details,Platinum,Emerald,1.75,950,"{""band_width_mm"": 3.8, ""setting_height_mm"": 8}",0,0,0,1,4.4,522
JWL-010,Pearl Solitaire Ring,Rings,Fashion,799.99,Elegant freshwater pearl on a delicate gold band,Gold,Pearl,,14K,"{""band_width_mm"": 1.5, ""pearl_diameter_mm"": 8}",1,6,1,1,4.9,1070
JWL-011,Diamond Pendant Necklace,Necklaces,Pendant,1299.99,Solitaire diamond pendant on delicate chain,White Gold,Diamond,0.5,14K,"{""chain_length_inches"": 18, ""pendant_size_mm"": 6}",1,7,0,1,4.4,834
JWL-012,Pearl Strand Necklace,Necklaces,Strand,2499.99,Classic strand of cultured Akoya pearls with gold clasp,Gold,Pearl,,14K,"{""length_inches"": 18, ""pearl_size_mm"": 7}",1,4,0,1,4.2,4113
JWL-013,Heart Locket Necklace,Necklaces,Locket,599.99,Gold heart locket that holds two photos,Gold,None,,14K,"{""chain_length_inches"": 20, ""locket_size_mm"": 20}",1,9,1,1,4.1,3219
JWL-014,Emerald Drop Pendant,Necklaces,Pendant,1899.99,Teardrop emerald surrounded by diamond halo,White Gold,Emerald,1.2,18K,"{""chain_length_inches"": 16, ""pendant_length_mm"": 18}",1,3,0,1,4.6,4200
JWL-015,Layered Chain Necklace Set,Necklaces,Chain,449.99,Set of three delicate gold chains at different lengths,Gold,None,,14K,"{""lengths_inches"": [16, 18, 20]}",1,15,0,1,4.3,1539
JWL-016,Diamond Tennis Necklace,Necklaces,Tennis,8999.99,Stunning line of graduated diamonds,White Gold,Diamond,5.0,18K,"{""length_inches"": 17, ""stone_count"": 85}",1,2,0,1,4.4,450
JWL-017,Sapphire Station Necklace,Necklaces,Station,1599.99,Delicate chain with sapphire stations throughout,White Gold,Sapphire,1.5,14K,"{""length_inches"": 18, ""stone_count"": 7}",1,5,0,1,4.6,1578
JWL-018,Choker Pearl Necklace,Necklaces,Choker,899.99,Modern pearl choker on gold wire,Gold,Pearl,,14K,"{""length_inches"": 14, ""pearl_size_mm"": 6}",1,6,0,1,4.9,1407
JWL-019,Diamond Stud Earrings,Earrings,Studs,1999.99,Classic round brilliant diamond studs,White Gold,Diamond,1.0,14K,"{""diameter_mm"": 5.2}",1,8,0,1,4.3,681
JWL-020,Pearl Drop Earrings,Earrings,Drops,699.99,Elegant pearl drops on gold posts,Gold,Pearl,,14K,"{""drop_length_mm"": 25, ""pearl_size_mm"": 9}",1,10,0,1,4.5,894
JWL-021,Gold Hoop Earrings,Earrings,Hoops,349.99,Classic gold hoops medium size,Gold,None,,14K,"{""diameter_mm"": 25, ""thickness_mm"": 2.5}",1,18,0,1,5.0,4837
JWL-022,Diamond Huggie Earrings,Earrings,Huggies,899.99,Small hoops encrusted with diamonds,White Gold,Diamond,0.25,14K,"{""diameter_mm"": 12, ""width_mm"": 3}",1,7,0,1,4.7,550
JWL-023,Sapphire Chandelier Earrings,Earrings,Chandelier,2299.99,Dramatic sapphire and diamond chandelier drops,White Gold,Sapphire,2.0,18K,"{""drop_length_mm"": 55}",1,3,0,1,4.1,3797
JWL-024,Ruby Stud Earrings,Earrings,Studs,1499.99,Vibrant ruby studs with diamond accents,Gold,Ruby,1.0,18K,"{""diameter_mm"": 6}",1,4,0,1,4.8,2763
JWL-025,Emerald Cluster Earrings,Earrings,Cluster,1799.99,Emerald clusters surrounded by diamonds,White Gold,Emerald,1.5,14K,"{""diameter_mm"": 10}",0,0,0,1,4.3,3644
JWL-026,Gold Crawler Earrings,Earrings,Crawlers,299.99,Modern ear crawlers in polished gold,Gold,None,,14K,"{""length_mm"": 22}",1,12,0,1,4.2,706
JWL-027,Diamond Tennis Bracelet,Bracelets,Tennis,4999.99,Classic diamond tennis bracelet with secure clasp,White Gold,Diamond,3.0,14K,"{""length_inches"": 7, ""width_mm"": 3.5}",1,4,0,1,4.8,460
