product_id,name,description,price,original_price,currency,category,subcategory,brand,department,in_stock,stock_quantity,rating,review_count,image_url,product_url,pickup_available,delivery_available,source_store
WMT00000001,Bananas,"Fresh yellow bananas, perfect for snacking or smoothies. Rich in potassium.",0.55,0.59,USD,Grocery,Produce,Bananas,Grocery & Essentials,1,175,4.9,568,/images/walmart/grocery/1.jpg,/product/WMT00000001,1,1,grocery
WMT00000002,Organic Avocados,"Creamy Hass avocados, perfect for guacamole or toast. Organically grown.",2.68,2.49,USD,Grocery,Produce,Organic,Grocery & Essentials,1,347,4.2,4525,/images/walmart/grocery/2.jpg,/product/WMT00000002,1,1,grocery
WMT00000003,Red Bell Peppers,Sweet and crunchy red bell peppers. High in vitamin C.,1.84,1.99,USD,Grocery,Produce,Red,Grocery & Essentials,1,475,4.2,3639,/images/walmart/grocery/3.jpg,/product/WMT00000003,1,1,grocery
WMT00000004,Large Eggs,Farm fresh large eggs. Grade A quality.,5.35,4.99,USD,Grocery,Dairy,Large,Grocery & Essentials,1,416,4.1,509,/images/walmart/grocery/4.jpg,/product/WMT00000004,1,1,grocery
WMT00000005,Sharp Cheddar Cheese,Aged sharp cheddar cheese block. Rich and tangy flavor.,7.88,7.99,USD,Grocery,Dairy,Sharp,Grocery & Essentials,1,230,4.0,2657,/images/walmart/grocery/5.jpg,/product/WMT00000005,1,1,grocery
WMT00000006,Marinara Sauce,Traditional marinara sauce with tomatoes and basil. No sugar added.,4.33,4.49,USD,Grocery,Pantry,Marinara,Grocery & Essentials,1,356,4.0,1732,/images/walmart/grocery/6.jpg,/product/WMT00000006,1,1,grocery
WMT00000007,Jasmine Rice,Fragrant long-grain jasmine rice. Perfect for Asian dishes.,9.13,8.99,USD,Grocery,Pantry,Jasmine,Grocery & Essentials,1,101,3.8,1947,/images/walmart/grocery/7.jpg,/product/WMT00000007,1,1,grocery
WMT00000008,Black Beans,Canned black beans in water. No salt added. High in fiber.,1.27,1.29,USD,Grocery,Pantry,Black,Grocery & Essentials,1,52,4.6,4327,/images/walmart/grocery/8.jpg,/product/WMT00000008,1,1,grocery
WMT00000009,Frozen Pizza - Pepperoni,Stone-baked pepperoni pizza. Crispy crust with premium toppings.,8.41,7.99,USD,Grocery,Frozen,Frozen,Grocery & Essentials,1,78,3.9,2913,/images/walmart/grocery/9.jpg,/product/WMT00000009,1,1,grocery
WMT00000010,Frozen Broccoli,Steam-in-bag broccoli florets. No sauce added.,3.21,2.99,USD,Grocery,Frozen,Frozen,Grocery & Essentials,1,291,4.1,238,/images/walmart/grocery/10.jpg,/product/WMT00000010,1,1,grocery
