id,name,category,room,price,description,dimensions_json,weight_lbs,material,color,assembly_required,assembly_time_minutes,in_stock,stock_quantity
LR001,Stockholm Sectional Sofa,Sofas,Living Room,1299.99,Modern L-shaped sectional with reversible chaise and premium fabric upholstery,"{""width"": 110, ""depth"": 65, ""height"": 34, ""unit"": ""inches""}",185,Fabric,Gray,1,90,1,8
LR002,Copenhagen 3-Seater Sofa,Sofas,Living Room,899.99,Scandinavian-inspired sofa with solid oak legs and linen blend fabric,"{""width"": 84, ""depth"": 36, ""height"": 33, ""unit"": ""inches""}",120,Fabric,Beige,0,0,1,12
LR003,Oslo Loveseat,Sofas,Living Room,649.99,Compact two-seater perfect for small spaces with velvet upholstery,"{""width"": 58, ""depth"": 34, ""height"": 32, ""unit"": ""inches""}",85,Velvet,Navy Blue,0,0,1,15
LR004,Malmo Coffee Table,Tables,Living Room,299.99,Rectangular coffee table with solid walnut top and black metal frame,"{""width"": 48, ""depth"": 24, ""height"": 18, ""unit"": ""inches""}",45,Wood/Metal,Walnut,1,30,1,20
LR005,Bergen Side Table Set,Tables,Living Room,149.99,Set of 2 nesting side tables with oak veneer tops,"{""width"": 20, ""depth"": 20, ""height"": 22, ""unit"": ""inches""}",25,Wood,Natural Oak,1,15,1,25
LR006,Helsinki TV Stand,TV Stands,Living Room,449.99,Entertainment center with cable management and adjustable shelves,"{""width"": 72, ""depth"": 18, ""height"": 24, ""unit"": ""inches""}",95,Wood,White/Oak,1,60,1,10
LR007,Aarhus Bookcase,Bookcases,Living Room,349.99,5-shelf bookcase with solid pine construction,"{""width"": 36, ""depth"": 12, ""height"": 72, ""unit"": ""inches""}",75,Wood,Black,1,45,1,18
LR008,Gothenburg Accent Chair,Chairs,Living Room,399.99,Mid-century modern accent chair with walnut legs,"{""width"": 28, ""depth"": 30, ""height"": 33, ""unit"": ""inches""}",35,Fabric,Mustard Yellow,0,0,1,14
LR009,Turku Floor Lamp,Lighting,Living Room,129.99,Arc floor lamp with marble base and adjustable arm,"{""width"": 14, ""depth"": 14, ""height"": 72, ""unit"": ""inches""}",18,Metal/Marble,Brass,1,20,1,30
LR010,Tampere Area Rug 8x10,Rugs,Living Room,399.99,Hand-woven wool area rug with geometric pattern,"{""width"": 120, ""depth"": 96, ""height"": 0.5, ""unit"": ""inches""}",35,Wool,Ivory/Gray,0,0,1,8
