id,zpid,address,city,state,zip_code,latitude,longitude,price,zestimate,rent_zestimate,bedrooms,bathrooms,sqft,lot_size,year_built,home_type,property_status,days_on_zillow,views,saves,price_per_sqft,hoa_fee,property_tax,description,features,images_count,listing_agent,listing_broker,last_sold_date,last_sold_price
1,Z1001,123 Ocean View Drive,San Francisco,CA,94122,37.7599,-122.4941,1850000,1875000,6500,4,3.5,2400,4500,1965,Single Family,For Sale,12,456,34,771,0,18500,Stunning Sunset District home with panoramic ocean views. Recently renovated kitchen with quartz countertops and stainless steel appliances. Hardwood floors throughout.,Ocean views|Renovated kitchen|Hardwood floors|2-car garage|Solar panels,24,Jennifer Chen,Compass Real Estate,2019-03-15,1450000
2,Z1002,456 Market Street Unit 1204,San Francisco,CA,94105,37.7897,-122.4001,895000,920000,4200,2,2.0,1150,0,2018,Condo,For Sale,5,289,21,778,850,8950,Modern high-rise living in the heart of SOMA. Floor-to-ceiling windows with Bay Bridge views. Building amenities include rooftop deck gym and 24-hour concierge.,Bay views|Concierge|Rooftop deck|In-unit laundry|Pet friendly,18,Michael Wong,Sotheby's International,2022-06-20,825000
3,Z1003,789 Pacific Heights Lane,San Francisco,CA,94115,37.7929,-122.4324,4250000,4100000,12000,5,4.5,4200,6500,1908,Single Family,For Sale,45,678,52,1012,0,42500,Magnificent Pacific Heights Victorian with stunning city and bay views. Original architectural details beautifully preserved. Chef's kitchen guest suite and wine cellar.,City views|Wine cellar|Guest suite|Garden|Historic details,32,Sarah Mitchell,Christie's International,2015-09-10,3200000
4,Z1004,234 Castro Street,San Francisco,CA,94114,37.7625,-122.4351,1275000,1300000,4800,3,2.0,1650,2200,1925,Single Family,For Sale,8,312,28,773,0,12750,Charming Castro Victorian with modern updates. Open floor plan sunny backyard and detached home office. Walking distance to shops and restaurants.,Backyard|Home office|Updated kitchen|Original details|Walk score 95,16,David Park,Coldwell Banker,2020-11-05,1100000
5,Z1005,567 Marina Boulevard,San Francisco,CA,94123,37.8033,-122.4372,2950000,3050000,8500,4,3.0,2800,3200,1952,Single Family,For Sale,22,534,41,1054,0,29500,Exceptional Marina home with Golden Gate Bridge views. Spacious living areas updated bathrooms and a beautifully landscaped garden.,Golden Gate views|Landscaped garden|Updated bathrooms|2-car garage|Near waterfront,28,Lisa Thompson,Compass Real Estate,2018-04-22,2450000
6,Z1006,890 Wilshire Boulevard Unit 2401,Los Angeles,CA,90024,34.0640,-118.4381,2150000,2200000,7500,3,3.0,2100,0,2020,Condo,For Sale,15,445,38,1024,1200,21500,Penthouse living in Westwood's newest luxury tower. Smart home features private terrace and stunning views from downtown to the ocean.,Ocean views|Smart home|Private terrace|Valet parking|Spa,22,Robert Garcia,The Agency,2023-01-15,0
7,Z1007,1234 Sunset Boulevard,Los Angeles,CA,90046,34.0977,-118.3615,3450000,3300000,9800,5,5.0,4800,12000,1962,Single Family,For Sale,30,623,55,719,0,34500,Iconic Hollywood Hills estate with infinity pool and city views. Recently updated with designer finishes. Multiple outdoor entertaining areas.,Infinity pool|City views|Guest house|Home theater|Gated,35,Amanda Stevens,Hilton & Hyland,2017-08-30,2800000
8,Z1008,456 Venice Beach Walk,Los Angeles,CA,90291,33.9875,-118.4728,1650000,1700000,5500,3,2.5,1800,2400,1975,Single Family,For Sale,18,367,29,917,0,16500,Steps from the sand in iconic Venice Beach. Rooftop deck with ocean views updated open floor plan and private garage.,Ocean views|Rooftop deck|Near beach|Updated kitchen|Garage,20,Kevin O'Brien,Compass Real Estate,2021-02-14,1380000
9,Z1009,789 Rodeo Drive,Beverly Hills,CA,90210,34.0733,-118.4001,8500000,8200000,22000,6,7.0,8500,25000,1985,Single Family,For Sale,60,892,67,1000,0,85000,Prestigious Beverly Hills estate in the flats. Tennis court pool house and mature gardens. Complete privacy with gated entry.,Tennis court|Pool house|Gated|Gardens|Wine cellar,45,Jennifer Aniston Realtor,Carolwood Estates,2014-12-01,6500000
10,Z1010,321 Manhattan Beach Pier,Manhattan Beach,CA,90266,33.8847,-118.4109,4750000,4600000,12500,5,4.5,3800,5500,2015,Single Family,For Sale,25,567,48,1250,0,47500,Brand new construction steps from the strand. Elevator rooftop deck with 360 views and custom finishes throughout.,Rooftop deck|Elevator|Ocean views|New construction|Custom finishes,30,Mark Johnson,Vista Sotheby's,2024-01-10,0
