id,title,rating,duration_minutes,genre,description,release_date,director,cast
MOV001,Dune: Part Two,PG-13,166,Sci-Fi/Adventure,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.,2024-03-01,Denis Villeneuve,Timothée Chalamet; Zendaya; Rebecca Ferguson; Josh Brolin
MOV002,Godzilla x Kong: The New Empire,PG-13,115,Action/Sci-Fi,Two ancient titans clash as a new threat emerges that challenges their existence and threatens all of humanity.,2024-03-29,Adam Wingard,Rebecca Hall; Brian Tyree Henry; Dan Stevens
MOV003,Kung Fu Panda 4,PG,94,Animation/Comedy,Po must train a new Dragon Warrior while facing a powerful sorceress who can summon the spirits of fallen villains.,2024-03-08,Mike Mitchell,Jack Black; Awkwafina; Viola Davis; Dustin Hoffman
MOV004,Ghostbusters: Frozen Empire,PG-13,115,Comedy/Fantasy,The Spengler family returns to the iconic New York City firehouse to team up with the original Ghostbusters.,2024-03-22,Gil Kenan,Paul Rudd; Carrie Coon; Finn Wolfhard; Mckenna Grace
MOV005,A Quiet Place: Day One,PG-13,99,Horror/Thriller,Experience the day the world went quiet in this terrifying prequel to the A Quiet Place franchise.,2024-06-28,Michael Sarnoski,Lupita Nyong'o; Joseph Quinn; Alex Wolff
MOV006,Inside Out 2,PG,96,Animation/Comedy,Riley enters puberty and experiences new emotions including Anxiety as she navigates high school.,2024-06-14,Kelsey Mann,Amy Poehler; Maya Hawke; Ayo Edebiri; Lewis Black
MOV007,Bad Boys: Ride or Die,R,115,Action/Comedy,Miami detectives Mike and Marcus must clear Captain Howard's name while being hunted by everyone.,2024-06-07,Adil El Arbi,Will Smith; Martin Lawrence; Vanessa Hudgens
MOV008,The Fall Guy,PG-13,126,Action/Comedy,A stuntman is drawn into a dangerous mystery when the star of a film he's working on goes missing.,2024-05-03,David Leitch,Ryan Gosling; Emily Blunt; Aaron Taylor-Johnson
MOV009,Kingdom of the Planet of the Apes,PG-13,145,Sci-Fi/Adventure,Many years after Caesar's reign a young ape embarks on a journey that will determine the future of both apes and humans.,2024-05-10,Wes Ball,Owen Teague; Freya Allan; Kevin Durand
MOV010,Furiosa: A Mad Max Saga,R,148,Action/Adventure,The origin story of the renegade warrior Furiosa before her encounter with Mad Max.,2024-05-24,George Miller,Anya Taylor-Joy; Chris Hemsworth; Tom Burke
MOV011,Despicable Me 4,PG,94,Animation/Comedy,Gru and his family must go on the run when a new villain threatens their peaceful existence.,2024-07-03,Chris Renaud,Steve Carell; Kristen Wiig; Will Ferrell; Sofia Vergara
MOV012,Twisters,PG-13,122,Action/Thriller,A new generation of storm chasers risk their lives attempting to test a groundbreaking new tracking system.,2024-07-19,Lee Isaac Chung,Daisy Edgar-Jones; Glen Powell; Anthony Ramos
MOV013,Deadpool & Wolverine,R,128,Action/Comedy,Deadpool teams up with Wolverine for a multiverse-spanning adventure that could change the MCU forever.,2024-07-26,Shawn Levy,Ryan Reynolds; Hugh Jackman; Emma Corrin
MOV014,Alien: Romulus,R,119,Horror/Sci-Fi,A group of young space colonizers comes face to face with the most terrifying life form in the universe.,2024-08-16,Fede Alvarez,Cailee Spaeny; David Jonsson; Archie Renaux
MOV015,Beetlejuice Beetlejuice,PG-13,104,Comedy/Fantasy,Lydia Deetz returns to Winter River with her family and once again encounters the ghost with the most.,2024-09-06,Tim Burton,Michael Keaton; Winona Ryder; Jenna Ortega; Catherine O'Hara
MOV016,Transformers One,PG,104,Animation/Action,The untold origin story of Optimus Prime and Megatron before they became enemies.,2024-09-20,Josh Cooley,Chris Hemsworth; Brian Tyree Henry; Scarlett Johansson
MOV017,Joker: Folie à Deux,R,138,Drama/Musical,Arthur Fleck finds love and music while awaiting trial for his crimes as the Joker.,2024-10-04,Todd Phillips,Joaquin Phoenix; Lady Gaga; Brendan Gleeson
MOV018,Venom: The Last Dance,PG-13,120,Action/Sci-Fi,Eddie and Venom must make a devastating decision as the walls close in on them.,2024-10-25,Kelly Marcel,Tom Hardy; Chiwetel Ejiofor; Juno Temple
MOV019,Gladiator II,R,148,Action/Drama,Lucius must fight as a gladiator and confront his past after his home is conquered by tyrannical emperors.,2024-11-22,Ridley Scott,Paul Mescal; Denzel Washington; Pedro Pascal; Connie Nielsen
MOV020,Wicked,PG,160,Musical/Fantasy,The untold story of the witches of Oz - Elphaba and Glinda and their unlikely friendship.,2024-11-27,Jon M. Chu,Cynthia Erivo; Ariana Grande; Jonathan Bailey; Jeff Goldblum
MOV021,Moana 2,PG,100,Animation/Adventure,Moana journeys to the far seas of Oceania after receiving a call from her wayfinding ancestors.,2024-11-27,David Derrick Jr.,Auli'i Cravalho; Dwayne Johnson
MOV022,Kraven the Hunter,R,127,Action/Thriller,The origin story of one of Marvel's most iconic villains follows Russian immigrant Sergei Kravinoff.,2024-12-13,J.C. Chandor,Aaron Taylor-Johnson; Ariana DeBose; Russell Crowe
MOV023,Mufasa: The Lion King,PG,118,Animation/Adventure,The origin story of Mufasa from orphaned cub to King of the Pride Lands.,2024-12-20,Barry Jenkins,Aaron Pierre; Kelvin Harrison Jr.; Seth Rogen; Billy Eichner
MOV024,Sonic the Hedgehog 3,PG,110,Action/Adventure,Sonic and friends face their most powerful adversary yet - Shadow the Hedgehog.,2024-12-20,Jeff Fowler,Ben Schwartz; Jim Carrey; Keanu Reeves; Idris Elba
MOV025,Nosferatu,R,132,Horror,A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her.,2024-12-25,Robert Eggers,Bill Skarsgård; Lily-Rose Depp; Nicholas Hoult; Willem Dafoe
MOV026,The Wild Robot,PG,101,Animation/Adventure,A robot shipwrecked on an uninhabited island must learn to adapt and survive in the wilderness.,2024-09-27,Chris Sanders,Lupita Nyong'o; Pedro Pascal; Kit Connor; Bill Nighy
MOV027,Smile 2,R,127,Horror,A pop star begins experiencing increasingly disturbing events as a dark entity takes hold of her life.,2024-10-18,Parker Finn,Naomi Scott; Rosemarie DeWitt; Kyle Gallner
MOV028,Civil War,R,109,Action/Drama,A journey across a dystopian future America following a team of journalists during a rapidly escalating civil war.,2024-04-12,Alex Garland,Kirsten Dunst; Wagner Moura; Cailee Spaeny
MOV029,Challengers,R,131,Drama/Romance,Tennis prodigy turned coach Tashi has taken her husband from a champion to a struggling player.,2024-04-26,Luca Guadagnino,Zendaya; Josh O'Connor; Mike Faist
MOV030,It Ends with Us,PG-13,130,Drama/Romance,A woman's first love returns while she's building a new relationship forcing her to make difficult choices.,2024-08-09,Justin Baldoni,Blake Lively; Justin Baldoni; Brandon Sklenar
