id,name,category,occasion,description,price,size,flowers_included,colors,vase_included,same_day_available,stock,image_url
1,Classic Red Roses,Roses,Anniversary,"One dozen stunning long-stem red roses, the ultimate symbol of love",79.99,Medium,"Red Roses (12)",Red,1,1,25,
2,Two Dozen Red Roses,Roses,Anniversary,"24 premium long-stem red roses for a grand romantic gesture",129.99,Large,"Red Roses (24)",Red,1,1,15,
3,Pink Rose Bouquet,Roses,Birthday,"Delicate pink roses arranged with baby's breath and greenery",59.99,Medium,"Pink Roses (12), Baby's Breath, Eucalyptus","Pink, White",1,1,30,
4,Rainbow Rose Collection,Roses,Celebration,"A vibrant mix of multicolored roses in every shade",89.99,Large,"Mixed Color Roses (18)","Red, Pink, Yellow, Orange, White",1,1,12,
5,Garden Party Bouquet,Mixed Flowers,Birthday,"A cheerful mix of seasonal flowers perfect for celebrations",54.99,Medium,"Roses, Lilies, Gerbera Daisies, Carnations","Pink, Yellow, Orange",0,1,35,
6,Sunshine Delight,Mixed Flowers,Get Well,"Bright yellow and orange blooms to bring cheer",49.99,Medium,"Sunflowers, Yellow Roses, Orange Lilies","Yellow, Orange",0,1,40,
7,Spring Meadow,Mixed Flowers,Thank You,"Fresh spring flowers reminiscent of a blooming meadow",64.99,Large,"Tulips, Daffodils, Hyacinths, Ranunculus","Pink, Yellow, Purple, White",0,1,28,
8,Elegant White Lilies,Lilies,Sympathy,"Pure white oriental lilies for solemn occasions",74.99,Medium,"White Oriental Lilies (8), Greenery",White,1,1,20,
9,Stargazer Lily Bouquet,Lilies,Anniversary,"Fragrant pink stargazer lilies with dramatic presence",69.99,Medium,"Stargazer Lilies (6), Roses, Filler","Pink, White",1,1,22,
10,Tropical Paradise,Tropical,Celebration,"Exotic tropical flowers for a bold statement",84.99,Large,"Birds of Paradise, Anthurium, Ginger, Orchids","Orange, Red, Pink",1,0,15,
11,Hawaiian Sunset,Tropical,Birthday,"Warm tropical blooms evoking island sunsets",79.99,Large,"Protea, Orchids, Ti Leaves, Heliconia","Orange, Pink, Red",1,0,12,
12,Classic Orchid Plant,Orchids,Thank You,"Elegant phalaenopsis orchid in a decorative pot",65.99,Medium,"Phalaenopsis Orchid (double stem)",White,1,1,18,
13,Purple Orchid Elegance,Orchids,Anniversary,"Stunning purple orchid plant with multiple blooms",75.99,Medium,"Purple Phalaenopsis Orchid (double stem)",Purple,1,1,14,
14,Mother's Day Special,Mixed Flowers,Mother's Day,"A beautiful tribute to mom with her favorite flowers",74.99,Large,"Roses, Peonies, Lilies, Hydrangeas","Pink, Lavender, White",1,1,40,
15,Valentine's Romance,Roses,Valentine's Day,"The ultimate Valentine's arrangement with roses and chocolates",99.99,Large,"Red Roses (18), White Calla Lilies","Red, White",1,1,50,
16,Peaceful Tribute,Mixed Flowers,Sympathy,"A serene arrangement for memorial services",89.99,Large,"White Roses, Lilies, Chrysanthemums, Gladiolus",White,1,1,25,
17,Heartfelt Condolences,Mixed Flowers,Sympathy,"Express your sympathy with this elegant arrangement",79.99,Medium,"White Roses, Blue Delphinium, White Lilies","White, Blue",1,1,20,
18,Birthday Bash,Mixed Flowers,Birthday,"A fun and festive mix perfect for birthdays",59.99,Medium,"Gerbera Daisies, Roses, Carnations, Statice","Pink, Purple, Yellow",0,1,35,
19,New Baby Girl,Mixed Flowers,New Baby,"Soft pink blooms to celebrate a baby girl",64.99,Medium,"Pink Roses, Pink Carnations, White Daisies","Pink, White",0,1,20,
20,New Baby Boy,Mixed Flowers,New Baby,"Blue and white flowers to welcome a baby boy",64.99,Medium,"Blue Delphinium, White Roses, Blue Iris","Blue, White",0,1,20,
21,Congratulations Bouquet,Mixed Flowers,Congratulations,"Celebrate achievements with this vibrant arrangement",69.99,Large,"Sunflowers, Roses, Lilies, Greenery","Yellow, Orange, Red",0,1,25,
22,Thank You Blooms,Mixed Flowers,Thank You,"Express gratitude with this charming bouquet",44.99,Small,"Roses, Alstroemeria, Carnations","Pink, Peach",0,1,40,
23,Just Because,Mixed Flowers,Just Because,"A lovely surprise for no reason at all",49.99,Medium,"Mixed Seasonal Flowers","Mixed",0,1,45,
24,Office Brightener,Mixed Flowers,Corporate,"Professional arrangement perfect for offices",54.99,Medium,"Roses, Lilies, Chrysanthemums","White, Green",1,1,30,
25,Lavender Dreams,Mixed Flowers,Birthday,"Soothing lavender and purple blooms",59.99,Medium,"Lavender Roses, Purple Stock, Lisianthus","Purple, Lavender",0,1,25,
26,Rustic Charm,Mixed Flowers,Thank You,"Country-style arrangement with wildflowers",52.99,Medium,"Sunflowers, Daisies, Wheat, Wildflowers","Yellow, White, Brown",0,1,28,
27,Modern Minimalist,Mixed Flowers,Corporate,"Sleek contemporary arrangement",74.99,Medium,"White Calla Lilies, Monstera Leaves",White,1,1,15,
28,Garden Romance,Roses,Anniversary,"Romantic garden roses in soft pastels",89.99,Large,"Garden Roses, Peonies, Ranunculus","Blush, Cream, Pink",1,0,18,
29,Bold and Beautiful,Mixed Flowers,Celebration,"Statement arrangement with dramatic colors",79.99,Large,"Red Roses, Orange Lilies, Purple Lisianthus","Red, Orange, Purple",1,1,20,
30,Sweet Petite,Mixed Flowers,Just Because,"A darling small arrangement perfect for any occasion",34.99,Small,"Mini Roses, Spray Roses, Wax Flower","Pink, White",0,1,50,
