id,name,brand,sport,category,price,description,specs_json,skill_level,gender,in_stock,stock_quantity
RUN001,Air Zoom Pegasus 40,Nike,Running,Shoes,129.99,Responsive cushioning for everyday running with breathable mesh upper,"{""weight"": ""283g"", ""drop"": ""10mm"", ""cushion"": ""Zoom Air""}",All,Unisex,1,25
RUN002,Ultraboost Light,Adidas,Running,Shoes,189.99,Light Boost midsole delivers incredible energy return,"{""weight"": ""275g"", ""drop"": ""10mm"", ""cushion"": ""Light Boost""}",Intermediate,Unisex,1,20
RUN003,Ghost 15,Brooks,Running,Shoes,149.99,Smooth transitions and soft cushioning for neutral runners,"{""weight"": ""289g"", ""drop"": ""12mm"", ""cushion"": ""DNA LOFT""}",All,Unisex,1,30
RUN004,Clifton 9,Hoka,Running,Shoes,144.99,Lightweight cushioning for maximum comfort on long runs,"{""weight"": ""248g"", ""drop"": ""5mm"", ""cushion"": ""EVA""}",All,Unisex,1,22
RUN005,Vaporfly 3,Nike,Running,Shoes,259.99,Carbon plate racing shoe for competitive runners,"{""weight"": ""188g"", ""drop"": ""8mm"", ""cushion"": ""ZoomX"", ""carbon_plate"": true}",Pro,Unisex,1,10
RUN006,Dri-FIT Running Tee,Nike,Running,Apparel,45.99,Moisture-wicking fabric keeps you cool and dry,"{""material"": ""100% Polyester"", ""fit"": ""Standard""}",All,Men,1,40
RUN007,Own The Run Jacket,Adidas,Running,Apparel,89.99,Lightweight windproof running jacket with reflective details,"{""material"": ""Recycled Polyester"", ""water_resistant"": true}",All,Unisex,1,25
RUN008,Forerunner 265,Garmin,Running,Accessories,449.99,GPS running watch with AMOLED display and training readiness,"{""gps"": true, ""heart_rate"": true, ""battery"": ""13 days"", ""display"": ""AMOLED""}",Intermediate,Unisex,1,15
RUN009,Amphipod Hydration Belt,Amphipod,Running,Accessories,39.99,Adjustable belt with 2 water bottles for long runs,"{""capacity"": ""20oz"", ""bottles"": 2}",All,Unisex,1,35
RUN010,Pro Compression Socks,CEP,Running,Accessories,59.99,Graduated compression for improved blood flow,"{""compression"": ""20-30 mmHg"", ""material"": ""Nylon blend""}",All,Unisex,1,45
CYC001,Domane AL 5,Trek,Cycling,Bikes,1899.99,Endurance road bike with smooth ride quality,"{""frame"": ""Aluminum"", ""groupset"": ""Shimano 105"", ""speeds"": 22}",Intermediate,Unisex,1,5
CYC002,Allez Sprint,Specialized,Cycling,Bikes,2499.99,Race-ready aluminum road bike,"{""frame"": ""E5 Aluminum"", ""groupset"": ""Shimano Ultegra"", ""speeds"": 22}",Advanced,Unisex,1,4
CYC003,Checkpoint ALR 5,Trek,Cycling,Bikes,2299.99,Versatile gravel bike for road and off-road,"{""frame"": ""Aluminum"", ""groupset"": ""Shimano GRX"", ""speeds"": 22}",Intermediate,Unisex,1,6
CYC004,Ballista MIPS Helmet,Bontrager,Cycling,Helmets,149.99,Aero road helmet with MIPS protection,"{""weight"": ""290g"", ""mips"": true, ""vents"": 12}",All,Unisex,1,20
CYC005,Prevail II Vent Helmet,Specialized,Cycling,Helmets,199.99,Lightweight ventilated helmet for hot conditions,"{""weight"": ""250g"", ""mips"": true, ""vents"": 18}",Intermediate,Unisex,1,15
CYC006,Pro Team Jersey,Rapha,Cycling,Apparel,159.99,Race-fit jersey with Italian fabric,"{""material"": ""Italian fabric"", ""fit"": ""Race"", ""pockets"": 3}",Advanced,Men,1,18
CYC007,Core Bib Shorts,Rapha,Cycling,Apparel,139.99,Essential bib shorts with comfortable chamois,"{""material"": ""Lycra blend"", ""chamois"": ""Performance""}",All,Men,1,22
CYC008,Edge 840,Garmin,Cycling,Accessories,399.99,GPS cycling computer with touchscreen and maps,"{""gps"": true, ""touchscreen"": true, ""battery"": ""26 hours"", ""maps"": true}",Intermediate,Unisex,1,12
CYC009,S-Works Power Saddle,Specialized,Cycling,Accessories,299.99,Carbon railed saddle with Body Geometry,"{""width"": ""143mm"", ""rails"": ""Carbon"", ""padding"": ""Level 2""}",Advanced,Unisex,1,10
CYC010,Kryptonite Evolution Lock,Kryptonite,Cycling,Accessories,89.99,High security U-lock for urban cycling,"{""security_rating"": ""8/10"", ""weight"": ""1.5kg""}",All,Unisex,1,30
CMP001,Tent: Copper Spur HV UL2,Big Agnes,Camping,Tents,499.99,Ultralight 2-person backpacking tent,"{""capacity"": ""2 person"", ""weight"": ""1.19kg"", ""season"": ""3-season""}",Intermediate,Unisex,1,8
CMP002,Tent: Blacktail 3,Kelty,Camping,Tents,199.99,Affordable 3-person camping tent,"{""capacity"": ""3 person"", ""weight"": ""2.9kg"", ""season"": ""3-season""}",Beginner,Unisex,1,15
CMP003,Trail Lite 65L Backpack,Osprey,Camping,Backpacks,269.99,Lightweight backpacking pack with great ventilation,"{""capacity"": ""65L"", ""weight"": ""1.4kg"", ""frame"": ""Internal""}",Intermediate,Men,1,12
CMP004,Tempest 40L Backpack,Osprey,Camping,Backpacks,189.99,Women-specific fit hiking pack,"{""capacity"": ""40L"", ""weight"": ""1.2kg"", ""frame"": ""Internal""}",Intermediate,Women,1,14
CMP005,Cosmic 20 Sleeping Bag,Kelty,Camping,Sleeping Bags,99.99,Comfortable 20F synthetic sleeping bag,"{""temp_rating"": ""20F"", ""fill"": ""Synthetic"", ""weight"": ""1.5kg""}",Beginner,Unisex,1,20
