id,brand,model,interface,capacity_gb,form_factor,read_speed_mbps,write_speed_mbps,tbw,dram_cache,price,in_stock,rating,review_count
SSD001,Samsung,990 Pro,NVMe Gen4,2000,M.2 2280,7450,6900,1200,true,179.99,true,4.6,2412
SSD002,Samsung,990 Pro,NVMe Gen4,1000,M.2 2280,7450,6900,600,true,109.99,true,5.0,6535
SSD003,Samsung,990 Pro,NVMe Gen4,4000,M.2 2280,7450,6900,2400,true,339.99,true,4.3,14381
SSD004,Samsung,980 Pro,NVMe Gen4,2000,M.2 2280,7000,5100,1200,true,149.99,true,4.5,6604
SSD005,Samsung,980 Pro,NVMe Gen4,1000,M.2 2280,7000,5100,600,true,89.99,true,4.4,725
SSD006,Samsung,970 EVO Plus,NVMe Gen3,2000,M.2 2280,3500,3300,1200,true,119.99,true,4.4,1327
SSD007,Samsung,970 EVO Plus,NVMe Gen3,1000,M.2 2280,3500,3300,600,true,74.99,true,5.0,12793
SSD008,WD,Black SN850X,NVMe Gen4,2000,M.2 2280,7300,6600,1200,true,159.99,true,4.1,14845
SSD009,WD,Black SN850X,NVMe Gen4,1000,M.2 2280,7300,6300,600,true,89.99,true,4.5,8590
SSD010,WD,Black SN850X,NVMe Gen4,4000,M.2 2280,7300,6600,2400,true,299.99,true,4.0,6615
SSD011,WD,Black SN770,NVMe Gen4,2000,M.2 2280,5150,4850,1200,false,109.99,true,4.6,10440
SSD012,WD,Black SN770,NVMe Gen4,1000,M.2 2280,5150,4900,600,false,64.99,true,4.9,8224
SSD013,Crucial,T700,NVMe Gen5,2000,M.2 2280,12400,11800,1200,true,259.99,true,4.4,2672
SSD014,Crucial,T700,NVMe Gen5,1000,M.2 2280,11700,9500,600,true,159.99,true,4.0,2644
SSD015,Crucial,T700,NVMe Gen5,4000,M.2 2280,12400,11800,2400,true,449.99,true,4.3,12008
SSD016,Crucial,P5 Plus,NVMe Gen4,2000,M.2 2280,6600,5000,1200,true,129.99,true,4.6,6891
SSD017,Crucial,P5 Plus,NVMe Gen4,1000,M.2 2280,6600,5000,600,true,74.99,true,4.0,4379
SSD018,Seagate,FireCuda 530,NVMe Gen4,2000,M.2 2280,7300,6900,2550,true,169.99,true,4.5,50
SSD019,Seagate,FireCuda 530,NVMe Gen4,1000,M.2 2280,7300,6000,1275,true,99.99,true,4.3,10556
SSD020,SK Hynix,Platinum P41,NVMe Gen4,2000,M.2 2280,7000,6500,1200,true,149.99,true,4.7,241
SSD021,SK Hynix,Platinum P41,NVMe Gen4,1000,M.2 2280,7000,6500,750,true,84.99,true,4.2,10593
SSD022,Kingston,KC3000,NVMe Gen4,2048,M.2 2280,7000,7000,1600,true,154.99,true,4.7,10337
SSD023,Kingston,KC3000,NVMe Gen4,1024,M.2 2280,7000,6000,800,true,89.99,true,5.0,3166
SSD024,Samsung,870 EVO,SATA,2000,2.5 inch,560,530,1200,true,169.99,true,4.3,584
SSD025,Samsung,870 EVO,SATA,1000,2.5 inch,560,530,600,true,89.99,true,4.8,5799
SSD026,Samsung,870 EVO,SATA,500,2.5 inch,560,530,300,true,49.99,true,4.4,6994
SSD027,Crucial,MX500,SATA,2000,2.5 inch,560,510,700,true,139.99,true,4.3,8674
SSD028,Crucial,MX500,SATA,1000,2.5 inch,560,510,360,true,69.99,true,4.1,4955
SSD029,WD,Blue SA510,SATA,1000,2.5 inch,560,520,400,false,64.99,true,4.0,12409
SSD030,Samsung,990 EVO,NVMe Gen5,2000,M.2 2280,5000,4200,1200,true,149.99,true,4.2,10434
SSD031,Sabrent,Rocket 4 Plus,NVMe Gen4,2000,M.2 2280,7100,6600,1400,true,149.99,true,4.5,7392
SSD032,Sabrent,Rocket 4 Plus,NVMe Gen4,1000,M.2 2280,7100,5800,700,true,89.99,true,4.8,11198
SSD033,Sabrent,Rocket 4 Plus,NVMe Gen4,4000,M.2 2280,7100,6600,3000,true,279.99,true,4.2,5247
SSD034,Sabrent,Rocket 5,NVMe Gen5,2000,M.2 2280,14000,12500,1500,true,299.99,true,4.7,6102
SSD035,Sabrent,Rocket 5,NVMe Gen5,1000,M.2 2280,13000,10500,750,true,179.99,true,4.4,12768
SSD036,Corsair,MP600 Pro XT,NVMe Gen4,2000,M.2 2280,7100,6800,1400,true,169.99,true,4.0,5180
SSD037,Corsair,MP600 Pro XT,NVMe Gen4,1000,M.2 2280,7100,5800,700,true,99.99,true,4.7,7937
SSD038,Corsair,MP600 Pro XT,NVMe Gen4,4000,M.2 2280,7100,6800,3000,true,309.99,true,4.3,6432
SSD039,Corsair,MP700,NVMe Gen5,2000,M.2 2280,10000,10000,1400,true,239.99,true,4.0,13086
SSD040,Corsair,MP700,NVMe Gen5,1000,M.2 2280,9500,8500,700,true,149.99,true,4.2,14129
SSD041,ADATA,Legend 960 Max,NVMe Gen4,2000,M.2 2280,7400,6800,1560,true,159.99,true,4.4,327
SSD042,ADATA,Legend 960 Max,NVMe Gen4,1000,M.2 2280,7400,5500,780,true,89.99,true,4.7,7101
SSD043,ADATA,Legend 970,NVMe Gen5,2000,M.2 2280,10000,10000,1400,true,269.99,true,4.1,14413
SSD044,TeamGroup,T-Force Cardea A440 Pro,NVMe Gen4,2000,M.2 2280,7400,7000,1400,true,154.99,true,4.8,10224
SSD045,TeamGroup,T-Force Cardea A440 Pro,NVMe Gen4,1000,M.2 2280,7400,6500,740,true,84.99,true,4.5,1985
SSD046,TeamGroup,T-Force Cardea Z540,NVMe Gen5,2000,M.2 2280,12000,10000,1400,true,249.99,true,4.7,5134
SSD047,Inland,Performance Plus,NVMe Gen4,2000,M.2 2280,7000,5500,1200,false,99.99,true,4.1,889
SSD048,Inland,Performance Plus,NVMe Gen4,1000,M.2 2280,7000,5300,600,false,54.99,true,4.1,1331
SSD049,PNY,CS3150,NVMe Gen5,2000,M.2 2280,10500,10000,1200,true,219.99,true,4.0,1539
SSD050,PNY,CS3140,NVMe Gen4,2000,M.2 2280,7500,6850,1200,true,139.99,true,4.0,2120
SSD051,Lexar,NM790,NVMe Gen4,2000,M.2 2280,7400,6500,1500,true,119.99,true,4.1,10366
SSD052,Lexar,NM790,NVMe Gen4,1000,M.2 2280,7400,6500,750,true,64.99,true,4.0,5671
SSD053,Lexar,NM790,NVMe Gen4,4000,M.2 2280,7400,6500,3000,true,229.99,true,4.9,11741
SSD054,Silicon Power,US75,NVMe Gen4,2000,M.2 2280,7000,6000,1200,true,109.99,true,4.9,8410
SSD055,Silicon Power,US75,NVMe Gen4,1000,M.2 2280,7000,5500,600,true,59.99,true,4.6,12318
SSD056,Mushkin,Redline VORTEX,NVMe Gen4,2000,M.2 2280,7400,6900,1400,true,144.99,true,4.6,7103
SSD057,Mushkin,Pilot-E,NVMe Gen3,2000,M.2 2280,3500,3000,1600,true,89.99,true,4.9,633
SSD058,Solidigm,P44 Pro,NVMe Gen4,2000,M.2 2280,7000,6500,1200,true,139.99,true,4.2,7514
SSD059,Solidigm,P44 Pro,NVMe Gen4,1000,M.2 2280,7000,6500,600,true,79.99,true,4.4,13550
SSD060,Solidigm,P41 Plus,NVMe Gen4,2000,M.2 2280,4125,3325,800,false,89.99,true,4.5,12025
SSD061,Solidigm,P41 Plus,NVMe Gen4,1000,M.2 2280,4125,3325,400,false,49.99,true,5.0,3429
SSD062,Gigabyte,AORUS Gen5 12000,NVMe Gen5,2000,M.2 2280,12400,11800,1400,true,279.99,true,4.4,2182
SSD063,Gigabyte,AORUS Gen4 7300,NVMe Gen4,2000,M.2 2280,7300,6850,1400,true,159.99,true,4.9,13357
SSD064,MSI,SPATIUM M480,NVMe Gen4,2000,M.2 2280,7000,6800,1400,true,149.99,true,4.9,10640
SSD065,MSI,SPATIUM M480,NVMe Gen4,1000,M.2 2280,7000,5500,700,true,84.99,true,4.1,674
SSD066,MSI,SPATIUM M570 Pro,NVMe Gen5,2000,M.2 2280,12400,11800,1400,true,289.99,true,4.0,3993
SSD067,Seagate,IronWolf 525,NVMe Gen4,2000,M.2 2280,5000,4400,1800,true,179.99,true,4.8,11327
SSD068,Seagate,IronWolf 525,NVMe Gen4,1000,M.2 2280,5000,4400,900,true,99.99,true,4.4,5833
SSD069,WD,Red SN700,NVMe Gen3,2000,M.2 2280,3430,2600,1000,true,169.99,true,4.7,7326
SSD070,WD,Red SN700,NVMe Gen3,1000,M.2 2280,3430,2600,500,true,99.99,true,4.7,9062
SSD071,Samsung,983 DCT,NVMe Gen3,1920,M.2 2280,3000,1400,1366,true,399.99,true,4.3,12370
SSD072,Intel,Optane 905P,NVMe Gen3,960,2.5 inch,2600,2200,17520,true,599.99,false,4.5,6038
SSD073,WD,Black SN770M,NVMe Gen4,2000,M.2 2230,5150,4850,1200,false,159.99,true,4.6,5177
SSD074,WD,Black SN770M,NVMe Gen4,1000,M.2 2230,5150,4900,600,false,99.99,true,4.1,14877
SSD075,Samsung,990 Pro,NVMe Gen4,2000,M.2 2230,7450,6900,1200,true,199.99,true,4.3,566
SSD076,Sabrent,Rocket 2230,NVMe Gen4,1000,M.2 2230,5000,4300,600,true,79.99,true,4.2,9154
SSD077,Corsair,MP600 Mini,NVMe Gen4,1000,M.2 2230,4800,4800,400,true,109.99,true,4.7,10958
SSD078,Kingston,NV2,NVMe Gen4,2000,M.2 2280,3500,2800,640,false,69.99,true,4.0,13493
SSD079,Kingston,NV2,NVMe Gen4,1000,M.2 2280,3500,2100,320,false,42.99,true,4.4,9710
SSD080,Kingston,NV2,NVMe Gen4,500,M.2 2280,3000,1300,160,false,27.99,true,4.4,7165
SSD081,WD,Blue SN580,NVMe Gen4,2000,M.2 2280,4150,4150,900,false,89.99,true,5.0,6457
SSD082,WD,Blue SN580,NVMe Gen4,1000,M.2 2280,4150,4150,450,false,49.99,true,4.1,1573
SSD083,Crucial,P3 Plus,NVMe Gen4,2000,M.2 2280,5000,4200,440,false,79.99,true,4.8,13887
SSD084,Crucial,P3 Plus,NVMe Gen4,1000,M.2 2280,5000,3600,220,false,44.99,true,4.9,10709
SSD085,Crucial,P3,NVMe Gen3,2000,M.2 2280,3500,3000,440,false,64.99,true,4.2,13354
SSD086,TeamGroup,MP33 PRO,NVMe Gen3,2000,M.2 2280,2400,2100,1000,false,64.99,true,4.0,12195
SSD087,ADATA,SX8200 Pro,NVMe Gen3,2000,M.2 2280,3500,3000,1280,true,89.99,true,4.1,2645
SSD088,Samsung,870 QVO,SATA,8000,2.5 inch,560,530,2880,false,499.99,true,4.2,1222
SSD089,Samsung,870 QVO,SATA,4000,2.5 inch,560,530,1440,false,269.99,true,4.6,13027
SSD090,Seagate,BarraCuda,SATA,2000,2.5 inch,560,540,640,false,129.99,true,4.7,325
