id,name,brand,category,age_min,age_max,price,description,features_json,educational,battery_required,in_stock,stock_quantity
TOY-001,LEGO City Police Station,LEGO,Building & Construction,6,12,99.99,Complete police station with jail cells and helicopter landing pad,"{""pieces"": 743, ""minifigures"": 6, ""vehicles"": 2}",1,0,1,15
TOY-002,LEGO Star Wars Millennium Falcon,LEGO,Building & Construction,9,14,169.99,Iconic starship with detailed interior and crew minifigures,"{""pieces"": 1351, ""minifigures"": 7, ""features"": [""opening cockpit"", ""rotating turrets""]}",0,0,1,8
TOY-003,LEGO Friends Heartlake City Mall,LEGO,Building & Construction,8,12,129.99,Three-story mall with shops and food court,"{""pieces"": 1032, ""minifigures"": 6, ""stores"": 5}",0,0,1,10
TOY-004,LEGO Technic Excavator,LEGO,Building & Construction,10,16,199.99,Fully functional excavator with pneumatic arm,"{""pieces"": 1987, ""functions"": [""rotating cabin"", ""working arm"", ""tracks""]}",1,0,1,5
TOY-005,Mega Bloks First Builders Big Bag,Mega Bloks,Building & Construction,1,5,24.99,80 piece big building bag for toddlers,"{""pieces"": 80, ""storage"": ""included bag""}",1,0,1,25
TOY-006,Barbie Dreamhouse,Barbie,Action Figures & Dolls,3,9,199.99,Three-story dollhouse with lights and sounds,"{""floors"": 3, ""rooms"": 8, ""accessories"": 75}",0,1,1,6
TOY-007,Barbie Career Doctor Playset,Barbie,Action Figures & Dolls,3,7,29.99,Doctor Barbie with examination room and accessories,"{""includes"": [""doll"", ""patient"", ""medical equipment""]}",1,0,1,18
TOY-008,Hot Wheels Ultimate Garage,Hot Wheels,Vehicles & RC,5,12,179.99,Mega garage tower with track and shark attack,"{""levels"": 4, ""car_capacity"": 140, ""features"": [""shark attack"", ""elevator""]}",0,1,1,7
TOY-009,Hot Wheels 20 Car Pack,Hot Wheels,Vehicles & RC,3,10,21.99,Pack of 20 die-cast vehicles in various styles,"{""cars"": 20, ""scale"": ""1:64""}",0,0,1,30
TOY-010,Paw Patrol Lookout Tower,Spin Master,Action Figures & Dolls,3,6,79.99,Headquarters playset with lights sounds and vehicle,"{""height_inches"": 30, ""features"": [""working elevator"", ""slide""]}",0,1,1,12
TOY-011,Marvel Legends Spider-Man Figure,Hasbro,Action Figures & Dolls,4,12,24.99,Highly detailed 6-inch action figure with accessories,"{""height_inches"": 6, ""articulation_points"": 32}",0,0,1,20
TOY-012,Star Wars Lightsaber Academy,Hasbro,Action Figures & Dolls,5,10,49.99,Interactive lightsaber with training modes,"{""modes"": 3, ""sounds"": ""movie authentic""}",0,1,1,14
TOY-013,Nerf Elite 2.0 Commander,Nerf,Outdoor Play,8,15,29.99,Motorized blaster with 12-dart clip,"{""dart_capacity"": 12, ""range_feet"": 90, ""firing_rate"": ""6 darts/sec""}",0,1,1,22
TOY-014,Nerf Rival Prometheus,Nerf,Outdoor Play,14,99,199.99,High-capacity blaster with 200 round hopper,"{""capacity"": 200, ""rounds_per_sec"": 8, ""velocity_fps"": 100}",0,1,1,4
TOY-015,Fisher-Price Laugh & Learn Smart Stages Chair,Fisher-Price,Electronics & Tech,1,3,49.99,Interactive chair with songs and learning content,"{""songs"": 50, ""phrases"": 50, ""stages"": 3}",1,1,1,16
TOY-016,Fisher-Price Little People Farm,Fisher-Price,Action Figures & Dolls,1,5,39.99,Interactive farm with animals and songs,"{""animals"": 5, ""songs"": 20}",1,1,1,18
TOY-017,VTech KidiZoom Camera,VTech,Electronics & Tech,3,9,49.99,Kid-friendly digital camera with games,"{""resolution_mp"": 5, ""storage_mb"": 256, ""games"": 5}",1,1,1,14
TOY-018,LeapFrog LeapPad Academy,LeapFrog,Electronics & Tech,3,8,149.99,Kids learning tablet with educational apps,"{""screen_inches"": 7, ""apps_included"": 20, ""wifi"": true}",1,1,1,9
TOY-019,Melissa & Doug Wooden Puzzle Pack,Melissa & Doug,Games & Puzzles,2,5,29.99,Set of 4 wooden puzzles with peg handles,"{""puzzles"": 4, ""pieces_each"": 12, ""themes"": [""animals"", ""vehicles""]}",1,0,1,24
TOY-020,Ravensburger Disney 1000pc Puzzle,Ravensburger,Games & Puzzles,12,99,19.99,Premium quality jigsaw puzzle,"{""pieces"": 1000, ""size_inches"": ""27x20""}",0,0,1,20
TOY-021,Monopoly Classic,Hasbro,Games & Puzzles,8,99,24.99,The classic property trading board game,"{""players"": ""2-8"", ""playtime_min"": 60}",1,0,1,28
TOY-022,Uno Card Game,Mattel,Games & Puzzles,7,99,9.99,Classic color and number matching card game,"{""cards"": 112, ""players"": ""2-10""}",0,0,1,50
TOY-023,Jenga Classic,Hasbro,Games & Puzzles,6,99,14.99,Original block stacking tower game,"{""blocks"": 54, ""players"": ""1+""}",0,0,1,35
TOY-024,Crayola Art Case,Crayola,Arts & Crafts,4,12,29.99,140 piece portable art studio,"{""pieces"": 140, ""includes"": [""crayons"", ""markers"", ""colored pencils""]}",1,0,1,30
TOY-025,Play-Doh Ultimate Color Collection,Play-Doh,Arts & Crafts,2,6,24.99,65 cans of modeling compound,"{""cans"": 65, ""colors"": 65, ""weight_oz"": 65}",1,0,1,25
TOY-026,Kinetic Sand Beach Day Set,Spin Master,Arts & Crafts,3,10,19.99,Sand that sticks to itself with beach molds,"{""sand_lbs"": 1.5, ""molds"": 6}",1,0,1,20
TOY-027,Squishmallows 16 inch Cat,Squishmallows,Plush & Stuffed Animals,3,99,24.99,Super soft marshmallow textured plush,"{""size_inches"": 16, ""material"": ""polyester""}",0,0,1,22
TOY-028,Build-A-Bear Workshop Teddy,Build-A-Bear,Plush & Stuffed Animals,3,99,35.00,Customizable stuffed teddy bear,"{""size_inches"": 16, ""stuffable"": true}",0,0,1,15
TOY-029,Jellycat Bashful Bunny,Jellycat,Plush & Stuffed Animals,0,99,29.00,Premium soft bunny plush,"{""size_inches"": 12, ""material"": ""premium plush""}",0,0,1,18
TOY-030,Radio Flyer My First Wagon,Radio Flyer,Outdoor Play,1,4,69.99,Classic red wagon for toddlers,"{""capacity_lbs"": 35, ""features"": [""removable sides"", ""storage""]}",0,0,1,10
TOY-031,Little Tikes Cozy Coupe,Little Tikes,Outdoor Play,1,5,89.99,Classic foot-powered ride-on car,"{""weight_limit_lbs"": 50, ""features"": [""working horn"", ""storage""]}",0,0,1,8
TOY-032,Razor A Kick Scooter,Razor,Outdoor Play,5,12,49.99,Lightweight aluminum folding scooter,"{""max_weight_lbs"": 143, ""wheel_size_mm"": 98}",0,0,1,14
TOY-033,Schwinn Balance Bike,Schwinn,Outdoor Play,2,5,79.99,Learn to balance bike with no pedals,"{""tire_inches"": 12, ""seat_adjustable"": true}",1,0,1,9
TOY-034,Nintendo Switch Lite,Nintendo,Electronics & Tech,6,99,199.99,Handheld gaming console,"{""screen_inches"": 5.5, ""battery_hours"": ""3-7"", ""storage_gb"": 32}",0,1,1,12
TOY-035,Pokemon Trading Card Elite Box,Pokemon,Games & Puzzles,6,99,49.99,Elite trainer box with booster packs,"{""booster_packs"": 8, ""includes"": [""dice"", ""sleeves"", ""energy cards""]}",0,0,1,16
TOY-036,Beyblades Burst Pro Set,Hasbro,Action Figures & Dolls,8,15,34.99,Spinning top battle set with stadium,"{""beyblades"": 2, ""launchers"": 2, ""stadium"": ""included""}",0,0,1,18
TOY-037,Transformers Optimus Prime,Hasbro,Action Figures & Dolls,6,12,39.99,Converting action figure truck to robot,"{""height_inches"": 11, ""conversion_steps"": 35}",0,0,1,14
TOY-038,LOL Surprise OMG Doll,MGA Entertainment,Action Figures & Dolls,6,10,29.99,Fashion doll with 20 surprises,"{""surprises"": 20, ""height_inches"": 10}",0,0,1,20
TOY-039,Baby Alive Real As Can Be Baby,Hasbro,Action Figures & Dolls,3,8,79.99,Lifelike baby doll with 80+ expressions,"{""expressions"": 80, ""sounds"": ""lifelike""}",0,1,1,10
TOY-040,Magna-Tiles 100pc Set,Magna-Tiles,Building & Construction,3,8,129.99,Magnetic building tiles set,"{""pieces"": 100, ""shapes"": [""squares"", ""triangles""]}",1,0,1,12
TOY-041,Osmo Genius Starter Kit,Osmo,Electronics & Tech,6,10,99.99,Educational gaming system for iPad,"{""games"": 5, ""requires"": ""iPad""}",1,0,1,11
TOY-042,Sphero Mini Robot Ball,Sphero,Electronics & Tech,8,99,49.99,App-controlled robotic ball,"{""diameter_inches"": 1.6, ""range_feet"": 32}",1,1,1,13
TOY-043,Thames & Kosmos Science Kit,Thames & Kosmos,Electronics & Tech,8,14,49.99,Chemistry lab with 150 experiments,"{""experiments"": 150, ""safety_tested"": true}",1,0,1,16
TOY-044,National Geographic Rock Tumbler,National Geographic,Electronics & Tech,8,15,59.99,Real rock polishing tumbler kit,"{""capacity_lbs"": 2, ""cycle_days"": 7}",1,1,1,10
