id,name,brand,category,subcategory,price,description,specs_json,in_stock,stock_quantity,warranty_months,price_match_eligible
TV001,Samsung 65" QLED 4K Smart TV,Samsung,TVs,QLED,1299.99,Stunning 4K resolution with Quantum Dot technology for over a billion shades of color,"{""screen_size"": ""65 inches"", ""resolution"": ""4K UHD"", ""panel_type"": ""QLED"", ""refresh_rate"": ""120Hz"", ""smart_tv"": true, ""hdr"": ""HDR10+""}",1,15,24,1
TV002,LG 55" OLED 4K Smart TV,LG,TVs,OLED,1499.99,Perfect blacks and infinite contrast with self-lit OLED pixels,"{""screen_size"": ""55 inches"", ""resolution"": ""4K UHD"", ""panel_type"": ""OLED"", ""refresh_rate"": ""120Hz"", ""smart_tv"": true, ""hdr"": ""Dolby Vision""}",1,8,24,1
TV003,Sony 75" Bravia XR 4K Smart TV,Sony,TVs,LED,1999.99,Cognitive Processor XR for lifelike picture and sound,"{""screen_size"": ""75 inches"", ""resolution"": ""4K UHD"", ""panel_type"": ""Full Array LED"", ""refresh_rate"": ""120Hz"", ""smart_tv"": true, ""hdr"": ""Dolby Vision""}",1,5,24,1
TV004,TCL 50" 4K Roku Smart TV,TCL,TVs,LED,299.99,Affordable 4K entertainment with built-in Roku,"{""screen_size"": ""50 inches"", ""resolution"": ""4K UHD"", ""panel_type"": ""LED"", ""refresh_rate"": ""60Hz"", ""smart_tv"": true, ""hdr"": ""HDR10""}",1,25,12,1
TV005,Samsung 55" The Frame QLED TV,Samsung,TVs,QLED,1499.99,Art Mode transforms your TV into a stunning piece of art,"{""screen_size"": ""55 inches"", ""resolution"": ""4K UHD"", ""panel_type"": ""QLED"", ""refresh_rate"": ""120Hz"", ""smart_tv"": true, ""art_mode"": true}",1,10,24,1
TV006,LG 77" OLED evo Gallery Edition,LG,TVs,OLED,3299.99,Ultimate OLED experience with Gallery Design for flush wall mounting,"{""screen_size"": ""77 inches"", ""resolution"": ""4K UHD"", ""panel_type"": ""OLED evo"", ""refresh_rate"": ""120Hz"", ""smart_tv"": true, ""hdr"": ""Dolby Vision IQ""}",1,3,36,1
TV007,Hisense 65" U8K Mini-LED TV,Hisense,TVs,Mini-LED,899.99,Exceptional value Mini-LED with 1500+ dimming zones,"{""screen_size"": ""65 inches"", ""resolution"": ""4K UHD"", ""panel_type"": ""Mini-LED"", ""refresh_rate"": ""144Hz"", ""smart_tv"": true, ""hdr"": ""Dolby Vision IQ""}",1,12,24,1
TV008,Vizio 50" M-Series 4K TV,Vizio,TVs,LED,379.99,Quantum Color technology at an affordable price,"{""screen_size"": ""50 inches"", ""resolution"": ""4K UHD"", ""panel_type"": ""LED"", ""refresh_rate"": ""60Hz"", ""smart_tv"": true, ""hdr"": ""Dolby Vision""}",1,20,12,1
TV009,Samsung 32" Class M50B Smart Monitor,Samsung,TVs,Monitor TV,299.99,Smart TV features in a versatile monitor form factor,"{""screen_size"": ""32 inches"", ""resolution"": ""1080p FHD"", ""panel_type"": ""VA"", ""refresh_rate"": ""60Hz"", ""smart_tv"": true, ""usb_c"": true}",1,30,12,1
TV010,LG 42" OLED C3 Gaming TV,LG,TVs,OLED,899.99,Perfect for gaming with 0.1ms response time,"{""screen_size"": ""42 inches"", ""resolution"": ""4K UHD"", ""panel_type"": ""OLED"", ""refresh_rate"": ""120Hz"", ""smart_tv"": true, ""vrr"": true}",1,10,24,1
TV011,Sony 85" Bravia XR X95L Mini-LED,Sony,TVs,Mini-LED,3499.99,Premium Mini-LED with Cognitive Processor XR,"{""screen_size"": ""85 inches"", ""resolution"": ""4K UHD"", ""panel_type"": ""Mini-LED"", ""refresh_rate"": ""120Hz"", ""smart_tv"": true, ""hdr"": ""Dolby Vision""}",1,3,36,1
TV012,TCL 75" QM8 Mini-LED TV,TCL,TVs,Mini-LED,1499.99,Premium features at an accessible price,"{""screen_size"": ""75 inches"", ""resolution"": ""4K UHD"", ""panel_type"": ""Mini-LED"", ""refresh_rate"": ""120Hz"", ""smart_tv"": true, ""hdr"": ""Dolby Vision IQ""}",1,8,24,1
TV013,Samsung 55" Neo QLED 8K,Samsung,TVs,8K,2499.99,8K resolution with Neural Quantum Processor,"{""screen_size"": ""55 inches"", ""resolution"": ""8K UHD"", ""panel_type"": ""Neo QLED"", ""refresh_rate"": ""120Hz"", ""smart_tv"": true, ""hdr"": ""HDR10+""}",1,4,36,1
TV014,LG 65" OLED B3,LG,TVs,OLED,1499.99,Entry-level OLED with stunning picture quality,"{""screen_size"": ""65 inches"", ""resolution"": ""4K UHD"", ""panel_type"": ""OLED"", ""refresh_rate"": ""120Hz"", ""smart_tv"": true, ""hdr"": ""Dolby Vision""}",1,12,24,1
TV015,Hisense 55" A6 Series 4K TV,Hisense,TVs,LED,249.99,Budget-friendly 4K smart TV,"{""screen_size"": ""55 inches"", ""resolution"": ""4K UHD"", ""panel_type"": ""LED"", ""refresh_rate"": ""60Hz"", ""smart_tv"": true, ""hdr"": ""HDR10""}",1,35,12,1
TV016,Sony 65" A80L OLED,Sony,TVs,OLED,1999.99,Cognitive Processor XR with XR OLED Contrast Pro,"{""screen_size"": ""65 inches"", ""resolution"": ""4K UHD"", ""panel_type"": ""OLED"", ""refresh_rate"": ""120Hz"", ""smart_tv"": true, ""hdr"": ""Dolby Vision""}",1,6,24,1
TV017,Samsung 43" Crystal UHD 4K TV,Samsung,TVs,LED,279.99,Crystal Processor 4K for brilliant colors,"{""screen_size"": ""43 inches"", ""resolution"": ""4K UHD"", ""panel_type"": ""LED"", ""refresh_rate"": ""60Hz"", ""smart_tv"": true, ""hdr"": ""HDR10+""}",1,40,12,1
TV018,LG 55" NanoCell 4K TV,LG,TVs,NanoCell,599.99,Nano Color technology for purer colors,"{""screen_size"": ""55 inches"", ""resolution"": ""4K UHD"", ""panel_type"": ""NanoCell"", ""refresh_rate"": ""120Hz"", ""smart_tv"": true, ""hdr"": ""Dolby Vision""}",1,18,12,1
TV019,Vizio 65" P-Series Quantum,Vizio,TVs,QLED,799.99,Premium Quantum Color with 240 local dimming zones,"{""screen_size"": ""65 inches"", ""resolution"": ""4K UHD"", ""panel_type"": ""QLED"", ""refresh_rate"": ""120Hz"", ""smart_tv"": true, ""hdr"": ""Dolby Vision""}",1,10,24,1
TV020,TCL 43" S Class 4K Roku TV,TCL,TVs,LED,199.99,Affordable smart TV with Roku built-in,"{""screen_size"": ""43 inches"", ""resolution"": ""4K UHD"", ""panel_type"": ""LED"", ""refresh_rate"": ""60Hz"", ""smart_tv"": true, ""hdr"": ""HDR10""}",1,50,12,1
PH001,iPhone 15 Pro Max 256GB,Apple,Phones,Smartphone,1199.99,A17 Pro chip with titanium design and advanced camera system,"{""storage"": ""256GB"", ""display"": ""6.7 inch Super Retina XDR"", ""chip"": ""A17 Pro"", ""camera"": ""48MP Main"", ""5g"": true, ""color"": ""Natural Titanium""}",1,20,12,1
PH002,iPhone 15 128GB,Apple,Phones,Smartphone,799.99,Dynamic Island and 48MP camera with USB-C,"{""storage"": ""128GB"", ""display"": ""6.1 inch Super Retina XDR"", ""chip"": ""A16 Bionic"", ""camera"": ""48MP Main"", ""5g"": true, ""color"": ""Blue""}",1,30,12,1
PH003,Samsung Galaxy S24 Ultra 512GB,Samsung,Phones,Smartphone,1299.99,Galaxy AI with S Pen and 200MP camera,"{""storage"": ""512GB"", ""display"": ""6.8 inch Dynamic AMOLED 2X"", ""chip"": ""Snapdragon 8 Gen 3"", ""camera"": ""200MP Main"", ""5g"": true, ""s_pen"": true}",1,18,12,1
PH004,Samsung Galaxy S24 256GB,Samsung,Phones,Smartphone,799.99,Compact flagship with Galaxy AI features,"{""storage"": ""256GB"", ""display"": ""6.2 inch Dynamic AMOLED 2X"", ""chip"": ""Snapdragon 8 Gen 3"", ""camera"": ""50MP Main"", ""5g"": true}",1,25,12,1
PH005,Google Pixel 8 Pro 256GB,Google,Phones,Smartphone,999.99,Best of Google AI with pro-level camera,"{""storage"": ""256GB"", ""display"": ""6.7 inch LTPO OLED"", ""chip"": ""Google Tensor G3"", ""camera"": ""50MP Main"", ""5g"": true}",1,15,12,1
PH006,Google Pixel 8 128GB,Google,Phones,Smartphone,699.99,Google AI in a compact design,"{""storage"": ""128GB"", ""display"": ""6.2 inch OLED"", ""chip"": ""Google Tensor G3"", ""camera"": ""50MP Main"", ""5g"": true}",1,22,12,1
PH007,Samsung Galaxy Z Fold5 512GB,Samsung,Phones,Foldable,1799.99,Ultimate foldable phone with large inner display,"{""storage"": ""512GB"", ""display"": ""7.6 inch Dynamic AMOLED 2X"", ""chip"": ""Snapdragon 8 Gen 2"", ""camera"": ""50MP Main"", ""5g"": true, ""foldable"": true}",1,8,12,1
PH008,OnePlus 12 256GB,OnePlus,Phones,Smartphone,799.99,Flagship killer with Hasselblad camera,"{""storage"": ""256GB"", ""display"": ""6.82 inch LTPO AMOLED"", ""chip"": ""Snapdragon 8 Gen 3"", ""camera"": ""50MP Main"", ""5g"": true, ""charging"": ""100W""}",1,15,12,1
PH009,iPhone 15 Pro 128GB,Apple,Phones,Smartphone,999.99,Pro features in a compact titanium design,"{""storage"": ""128GB"", ""display"": ""6.1 inch Super Retina XDR"", ""chip"": ""A17 Pro"", ""camera"": ""48MP Main"", ""5g"": true, ""color"": ""Black Titanium""}",1,25,12,1
PH010,Samsung Galaxy Z Flip5 256GB,Samsung,Phones,Foldable,999.99,Compact foldable with Flex Window,"{""storage"": ""256GB"", ""display"": ""6.7 inch Dynamic AMOLED 2X"", ""chip"": ""Snapdragon 8 Gen 2"", ""camera"": ""12MP Main"", ""5g"": true, ""foldable"": true}",1,12,12,1
PH011,iPhone 15 Plus 128GB,Apple,Phones,Smartphone,899.99,Bigger display with all-day battery life,"{""storage"": ""128GB"", ""display"": ""6.7 inch Super Retina XDR"", ""chip"": ""A16 Bionic"", ""camera"": ""48MP Main"", ""5g"": true, ""color"": ""Pink""}",1,18,12,1
PH012,Google Pixel 8a 128GB,Google,Phones,Smartphone,499.99,Premium Pixel experience at an accessible price,"{""storage"": ""128GB"", ""display"": ""6.1 inch OLED"", ""chip"": ""Google Tensor G3"", ""camera"": ""64MP Main"", ""5g"": true}",1,30,12,1
PH013,Samsung Galaxy A54 5G 128GB,Samsung,Phones,Smartphone,449.99,Premium mid-range with flagship features,"{""storage"": ""128GB"", ""display"": ""6.4 inch Super AMOLED"", ""chip"": ""Exynos 1380"", ""camera"": ""50MP Main"", ""5g"": true}",1,35,12,1
PH014,Motorola Edge+ 2024 512GB,Motorola,Phones,Smartphone,799.99,Clean Android experience with flagship specs,"{""storage"": ""512GB"", ""display"": ""6.7 inch pOLED"", ""chip"": ""Snapdragon 8s Gen 3"", ""camera"": ""50MP Main"", ""5g"": true}",1,10,12,1
PH015,iPhone SE 64GB,Apple,Phones,Smartphone,429.99,Most affordable iPhone with A15 Bionic,"{""storage"": ""64GB"", ""display"": ""4.7 inch Retina HD"", ""chip"": ""A15 Bionic"", ""camera"": ""12MP Main"", ""5g"": true, ""touch_id"": true}",1,40,12,1
PH016,Samsung Galaxy A35 5G 128GB,Samsung,Phones,Smartphone,399.99,Great value with impressive camera,"{""storage"": ""128GB"", ""display"": ""6.6 inch Super AMOLED"", ""chip"": ""Exynos 1380"", ""camera"": ""50MP Main"", ""5g"": true}",1,28,12,1
PH017,Google Pixel 7a 128GB,Google,Phones,Smartphone,399.99,Previous gen Pixel with excellent value,"{""storage"": ""128GB"", ""display"": ""6.1 inch OLED"", ""chip"": ""Google Tensor G2"", ""camera"": ""64MP Main"", ""5g"": true}",1,20,12,1
PH018,OnePlus 12R 256GB,OnePlus,Phones,Smartphone,499.99,Performance flagship at mid-range price,"{""storage"": ""256GB"", ""display"": ""6.78 inch LTPO AMOLED"", ""chip"": ""Snapdragon 8 Gen 2"", ""camera"": ""50MP Main"", ""5g"": true, ""charging"": ""80W""}",1,18,12,1
PH019,Motorola Razr+ 2024 256GB,Motorola,Phones,Foldable,999.99,Premium flip phone with largest external display,"{""storage"": ""256GB"", ""display"": ""6.9 inch pOLED"", ""chip"": ""Snapdragon 8s Gen 3"", ""camera"": ""50MP Main"", ""5g"": true, ""foldable"": true}",1,8,12,1
PH020,Nothing Phone 2 256GB,Nothing,Phones,Smartphone,599.99,Unique Glyph interface with clean software,"{""storage"": ""256GB"", ""display"": ""6.7 inch LTPO OLED"", ""chip"": ""Snapdragon 8+ Gen 1"", ""camera"": ""50MP Main"", ""5g"": true, ""glyph"": true}",1,12,12,1
LP001,MacBook Pro 14" M3 Pro,Apple,Laptops,Professional,1999.99,M3 Pro chip delivers exceptional performance for demanding workflows,"{""display"": ""14.2 inch Liquid Retina XDR"", ""chip"": ""Apple M3 Pro"", ""ram"": ""18GB"", ""storage"": ""512GB SSD"", ""battery"": ""17 hours""}",1,12,12,1
LP002,MacBook Air 15" M3,Apple,Laptops,Consumer,1299.99,Impossibly thin with the power of M3,"{""display"": ""15.3 inch Liquid Retina"", ""chip"": ""Apple M3"", ""ram"": ""8GB"", ""storage"": ""256GB SSD"", ""battery"": ""18 hours""}",1,20,12,1
LP003,MacBook Air 13" M3,Apple,Laptops,Consumer,1099.99,Supercharged by M3 in a thin and light design,"{""display"": ""13.6 inch Liquid Retina"", ""chip"": ""Apple M3"", ""ram"": ""8GB"", ""storage"": ""256GB SSD"", ""battery"": ""18 hours""}",1,25,12,1
LP004,Dell XPS 15,Dell,Laptops,Professional,1599.99,Stunning 15.6 inch InfinityEdge display with Intel Core Ultra,"{""display"": ""15.6 inch OLED 3.5K"", ""processor"": ""Intel Core Ultra 7"", ""ram"": ""16GB"", ""storage"": ""512GB SSD"", ""graphics"": ""Intel Arc""}",1,10,12,1
LP005,Dell XPS 13,Dell,Laptops,Consumer,1199.99,Iconic design with 13.4 inch InfinityEdge display,"{""display"": ""13.4 inch FHD+"", ""processor"": ""Intel Core Ultra 5"", ""ram"": ""16GB"", ""storage"": ""512GB SSD""}",1,15,12,1
LP006,Lenovo ThinkPad X1 Carbon Gen 11,Lenovo,Laptops,Business,1849.99,Legendary reliability with Intel vPro,"{""display"": ""14 inch 2.8K OLED"", ""processor"": ""Intel Core i7 vPro"", ""ram"": ""16GB"", ""storage"": ""512GB SSD"", ""fingerprint"": true}",1,8,36,1
LP007,HP Spectre x360 16,HP,Laptops,Convertible,1649.99,Premium 2-in-1 with Intel Core Ultra,"{""display"": ""16 inch 3K+ OLED"", ""processor"": ""Intel Core Ultra 7"", ""ram"": ""16GB"", ""storage"": ""1TB SSD"", ""touchscreen"": true, ""pen_support"": true}",1,7,12,1
LP008,ASUS ROG Zephyrus G14,ASUS,Laptops,Gaming,1599.99,Powerful gaming in a compact 14-inch form factor,"{""display"": ""14 inch QHD+ 165Hz"", ""processor"": ""AMD Ryzen 9"", ""ram"": ""16GB"", ""storage"": ""1TB SSD"", ""graphics"": ""NVIDIA RTX 4060""}",1,10,12,1
