id,brand,model,form_factor,max_gpu_length_mm,max_cpu_cooler_height_mm,drive_bays_25,drive_bays_35,front_io,color,side_panel,price,in_stock,rating,review_count
CASE001,Lian Li,O11 Dynamic EVO,ATX,422,167,6,4,USB-C/USB-A/Audio,Black,Tempered Glass,169.99,true,4.3,1075
CASE002,Lian Li,O11 Dynamic EVO,ATX,422,167,6,4,USB-C/USB-A/Audio,White,Tempered Glass,169.99,true,4.1,2819
CASE003,Lian Li,O11 Air Mini,mATX,362,170,4,2,USB-C/USB-A/Audio,Black,Tempered Glass,119.99,true,4.6,9646
CASE004,Lian Li,Lancool III,ATX,435,187,4,4,USB-C/USB-A/Audio,Black,Tempered Glass,149.99,true,4.0,10155
CASE005,Lian Li,Lancool II Mesh,ATX,384,176,4,2,USB-C/USB-A/Audio,Black,Tempered Glass,119.99,true,4.8,4035
CASE006,Lian Li,A4-H2O,ITX,322,55,2,0,USB-C/USB-A,Black,Aluminum/Glass,179.99,true,4.5,11166
CASE007,NZXT,H9 Elite,ATX,435,165,4,2,USB-C/USB-A/Audio,Black,Tempered Glass,189.99,true,4.1,3989
CASE008,NZXT,H9 Flow,ATX,435,165,4,2,USB-C/USB-A/Audio,White,Tempered Glass,159.99,true,5.0,9776
CASE009,NZXT,H7 Flow,ATX,400,185,4,2,USB-C/USB-A/Audio,Black,Tempered Glass,129.99,true,4.3,7809
CASE010,NZXT,H7 Flow,ATX,400,185,4,2,USB-C/USB-A/Audio,White,Tempered Glass,129.99,true,4.7,9308
CASE011,NZXT,H5 Flow,ATX,365,165,2,2,USB-C/USB-A/Audio,Black,Tempered Glass,94.99,true,4.4,13922
CASE012,NZXT,H5 Elite,ATX,365,165,2,2,USB-C/USB-A/Audio,Black,Tempered Glass,164.99,true,4.6,11576
CASE013,Corsair,5000D Airflow,ATX,400,170,4,2,USB-C/USB-A/Audio,Black,Tempered Glass,174.99,true,4.8,185
CASE014,Corsair,5000D Airflow,ATX,400,170,4,2,USB-C/USB-A/Audio,White,Tempered Glass,174.99,true,4.1,10096
CASE015,Corsair,4000D Airflow,ATX,360,170,2,2,USB-C/USB-A/Audio,Black,Tempered Glass,104.99,true,4.3,5351
CASE016,Corsair,4000D Airflow,ATX,360,170,2,2,USB-C/USB-A/Audio,White,Tempered Glass,104.99,true,5.0,871
CASE017,Corsair,iCUE 5000T RGB,ATX,400,170,4,2,USB-C/USB-A/Audio,Black,Tempered Glass,399.99,true,4.7,12714
CASE018,Corsair,2000D Airflow,ITX,365,75,2,0,USB-C/USB-A/Audio,Black,Steel/Mesh,109.99,true,4.3,14198
CASE019,Fractal Design,Torrent,ATX,461,188,4,2,USB-C/USB-A/Audio,Black,Tempered Glass,199.99,true,4.2,8408
CASE020,Fractal Design,Torrent Compact,ATX,330,175,4,3,USB-C/USB-A/Audio,Black,Tempered Glass,169.99,true,4.3,13062
CASE021,Fractal Design,North,ATX,355,170,2,2,USB-C/USB-A/Audio,Charcoal Black,Walnut/Mesh,139.99,true,4.6,3572
CASE022,Fractal Design,North,ATX,355,170,2,2,USB-C/USB-A/Audio,Chalk White,Oak/Mesh,139.99,true,4.9,9733
CASE023,Fractal Design,Meshify 2,ATX,467,185,4,6,USB-C/USB-A/Audio,Black,Tempered Glass,159.99,true,4.5,8524
