id,year,make,model,trim,price,mileage,exterior_color,interior_color,fuel_type,transmission,drivetrain,engine,dealer_name,dealer_city,dealer_state,dealer_zip,deal_rating,one_owner,no_accidents,personal_use,source,url
CAR001,2023,Toyota,Camry,XSE,32495,12450,Midnight Black,Black Leather,Gasoline,Automatic,FWD,2.5L 4-Cylinder,Toyota of Hollywood,Los Angeles,CA,90028,Great Deal,true,true,true,Cars.com,https://www.cars.com/listing/123001
CAR002,2023,Toyota,Camry,LE,27995,18200,Wind Chill Pearl,Ash Fabric,Gasoline,Automatic,FWD,2.5L 4-Cylinder,AutoNation Toyota,Burbank,CA,91502,Good Deal,true,true,true,Autotrader,https://www.autotrader.com/listing/123002
CAR003,2022,Toyota,Camry,SE,26450,28500,Celestial Silver,Black Fabric,Gasoline,Automatic,FWD,2.5L 4-Cylinder,Keyes Toyota,Van Nuys,CA,91401,Fair Deal,false,true,true,KBB,https://www.kbb.com/listing/123003
CAR004,2022,Toyota,RAV4,XLE Premium,35990,22100,Blueprint,Black SofTex,Gasoline,Automatic,AWD,2.5L 4-Cylinder,Longo Toyota,El Monte,CA,91731,Great Deal,true,true,true,Cars.com,https://www.cars.com/listing/123004
CAR005,2023,Toyota,RAV4,Limited,42500,8900,Magnetic Gray,Nutmeg Leather,Gasoline,Automatic,AWD,2.5L 4-Cylinder,Toyota of Glendale,Glendale,CA,91204,Good Deal,true,true,true,Autotrader,https://www.autotrader.com/listing/123005
CAR006,2021,Toyota,RAV4,Hybrid XSE,38750,35200,Super White,Black SofTex,Hybrid,Automatic,AWD,2.5L Hybrid,Carson Toyota,Carson,CA,90745,Great Deal,true,true,true,Cars.com,https://www.cars.com/listing/123006
CAR007,2023,Honda,Accord,Sport,31200,15600,Platinum White,Black Cloth,Gasoline,Automatic,FWD,1.5L Turbo,Galpin Honda,Mission Hills,CA,91340,Good Deal,true,true,true,KBB,https://www.kbb.com/listing/123007
CAR008,2023,Honda,Accord,Touring,38900,9800,Canyon River Blue,Black Leather,Gasoline,Automatic,FWD,2.0L Turbo,Honda of Downtown LA,Los Angeles,CA,90007,Great Deal,true,true,true,Cars.com,https://www.cars.com/listing/123008
CAR009,2022,Honda,Accord,EX-L,29450,32400,Modern Steel,Ivory Leather,Gasoline,Automatic,FWD,1.5L Turbo,Goudy Honda,Alhambra,CA,91801,Fair Deal,false,true,true,Autotrader,https://www.autotrader.com/listing/123009
CAR010,2023,Honda,CR-V,Sport,33500,11200,Sonic Gray,Black Cloth,Gasoline,Automatic,AWD,1.5L Turbo,Airport Marina Honda,Los Angeles,CA,90045,Good Deal,true,true,true,Cars.com,https://www.cars.com/listing/123010
CAR011,2023,Honda,CR-V,Touring,41200,7500,Platinum White,Black Leather,Gasoline,Automatic,AWD,1.5L Turbo,Honda of Santa Monica,Santa Monica,CA,90401,Great Deal,true,true,true,KBB,https://www.kbb.com/listing/123011
CAR012,2022,Honda,CR-V,Hybrid Touring,38900,24600,Radiant Red,Gray Leather,Hybrid,Automatic,AWD,2.0L Hybrid,Norm Reeves Honda,Cerritos,CA,90703,Good Deal,true,true,true,Autotrader,https://www.autotrader.com/listing/123012
CAR013,2023,Ford,Mustang,GT Premium,48500,5200,Race Red,Ebony Leather,Gasoline,Manual,RWD,5.0L V8,Galpin Ford,North Hills,CA,91343,Great Deal,true,true,true,Cars.com,https://www.cars.com/listing/123013
CAR014,2022,Ford,Mustang,EcoBoost,32900,18900,Oxford White,Ceramic Cloth,Gasoline,Automatic,RWD,2.3L Turbo,AutoNation Ford,Valencia,CA,91355,Good Deal,true,true,true,Autotrader,https://www.autotrader.com/listing/123014
CAR015,2023,Ford,F-150,XLT,52900,9800,Iconic Silver,Black Cloth,Gasoline,Automatic,4WD,3.5L EcoBoost,Sunrise Ford,Fontana,CA,92335,Good Deal,true,true,true,Cars.com,https://www.cars.com/listing/123015
CAR016,2023,Ford,F-150,Lariat,62500,6200,Antimatter Blue,Black Leather,Gasoline,Automatic,4WD,3.5L EcoBoost,Fritts Ford,Riverside,CA,92504,Great Deal,true,true,true,KBB,https://www.kbb.com/listing/123016
CAR017,2022,Ford,F-150,King Ranch,58900,28500,Star White,Kingsville Leather,Gasoline,Automatic,4WD,3.5L EcoBoost,Tustin Ford,Tustin,CA,92782,Fair Deal,false,false,false,Autotrader,https://www.autotrader.com/listing/123017
CAR018,2023,Chevrolet,Silverado 1500,LT,49500,12300,Summit White,Jet Black Cloth,Gasoline,Automatic,4WD,5.3L V8,Rydell Chevrolet,Northridge,CA,91324,Good Deal,true,true,true,Cars.com,https://www.cars.com/listing/123018
CAR019,2023,Chevrolet,Silverado 1500,High Country,68900,4500,Black,Jet Black Leather,Gasoline,Automatic,4WD,6.2L V8,Simpson Chevrolet,Irvine,CA,92618,Great Deal,true,true,true,KBB,https://www.kbb.com/listing/123019
CAR020,2022,Chevrolet,Camaro,SS,42500,15800,Riverside Blue,Jet Black Leather,Gasoline,Manual,RWD,6.2L V8,Chevrolet of Montebello,Montebello,CA,90640,Good Deal,true,true,true,Autotrader,https://www.autotrader.com/listing/123020
CAR021,2023,BMW,3 Series,330i,47900,8900,Alpine White,Black SensaTec,Gasoline,Automatic,RWD,2.0L Turbo,BMW of Beverly Hills,Beverly Hills,CA,90210,Good Deal,true,true,true,Cars.com,https://www.cars.com/listing/123021
