id,brand,model,socket,cores,threads,base_clock_ghz,boost_clock_ghz,tdp_watts,price,in_stock,integrated_graphics,cache_mb,release_year,rating,review_count
CPU001,Intel,Core i9-14900K,LGA1700,24,32,3.2,6.0,125,549.99,true,Intel UHD 770,36,2023,4.4,8929
CPU002,Intel,Core i9-14900KF,LGA1700,24,32,3.2,6.0,125,524.99,true,false,36,2023,4.7,1961
CPU003,Intel,Core i7-14700K,LGA1700,20,28,3.4,5.6,125,399.99,true,Intel UHD 770,33,2023,4.2,3739
CPU004,Intel,Core i7-14700KF,LGA1700,20,28,3.4,5.6,125,374.99,true,false,33,2023,4.3,3731
CPU005,Intel,Core i5-14600K,LGA1700,14,20,3.5,5.3,125,319.99,true,Intel UHD 770,24,2023,4.1,194
CPU006,Intel,Core i5-14600KF,LGA1700,14,20,3.5,5.3,125,294.99,true,false,24,2023,4.1,12738
CPU007,Intel,Core i5-14400F,LGA1700,10,16,2.5,4.7,65,199.99,true,false,20,2024,4.5,5014
CPU008,Intel,Core i3-14100F,LGA1700,4,8,3.5,4.7,58,109.99,true,false,12,2024,4.7,6250
CPU009,AMD,Ryzen 9 7950X,AM5,16,32,4.5,5.7,170,549.99,true,AMD Radeon Graphics,80,2022,4.6,12601
CPU010,AMD,Ryzen 9 7950X3D,AM5,16,32,4.2,5.7,120,599.99,true,AMD Radeon Graphics,144,2023,4.7,5393
CPU011,AMD,Ryzen 9 7900X,AM5,12,24,4.7,5.6,170,399.99,true,AMD Radeon Graphics,76,2022,4.4,5601
CPU012,AMD,Ryzen 9 7900X3D,AM5,12,24,4.4,5.6,120,459.99,true,AMD Radeon Graphics,140,2023,4.8,10162
CPU013,AMD,Ryzen 7 7800X3D,AM5,8,16,4.2,5.0,120,449.99,true,AMD Radeon Graphics,104,2023,4.2,8422
CPU014,AMD,Ryzen 7 7700X,AM5,8,16,4.5,5.4,105,299.99,true,AMD Radeon Graphics,40,2022,4.1,1600
CPU015,AMD,Ryzen 5 7600X,AM5,6,12,4.7,5.3,105,229.99,true,AMD Radeon Graphics,38,2022,4.3,5217
CPU016,AMD,Ryzen 5 7600,AM5,6,12,3.8,5.1,65,199.99,true,AMD Radeon Graphics,38,2023,4.1,10295
CPU017,AMD,Ryzen 9 9950X,AM5,16,32,4.3,5.7,170,649.99,true,AMD Radeon Graphics,80,2024,4.8,4796
CPU018,AMD,Ryzen 9 9900X,AM5,12,24,4.4,5.6,120,499.99,true,AMD Radeon Graphics,76,2024,4.0,6372
CPU019,AMD,Ryzen 7 9700X,AM5,8,16,3.8,5.5,65,359.99,true,AMD Radeon Graphics,40,2024,4.1,7850
CPU020,AMD,Ryzen 5 9600X,AM5,6,12,3.9,5.4,65,279.99,true,AMD Radeon Graphics,38,2024,4.9,3139
CPU021,Intel,Core i9-13900K,LGA1700,24,32,3.0,5.8,125,489.99,true,Intel UHD 770,36,2022,4.1,12290
CPU022,Intel,Core i7-13700K,LGA1700,16,24,3.4,5.4,125,359.99,true,Intel UHD 770,30,2022,4.2,856
CPU023,Intel,Core i5-13600K,LGA1700,14,20,3.5,5.1,125,279.99,true,Intel UHD 770,24,2022,4.0,13430
CPU024,AMD,Ryzen 5 5600X,AM4,6,12,3.7,4.6,65,149.99,true,false,35,2020,4.7,11680
CPU025,AMD,Ryzen 7 5800X,AM4,8,16,3.8,4.7,105,199.99,true,false,36,2020,4.0,11741
CPU026,AMD,Ryzen 9 5900X,AM4,12,24,3.7,4.8,105,299.99,true,false,70,2020,4.7,13885
CPU027,AMD,Ryzen 7 5700X,AM4,8,16,3.4,4.6,65,169.99,true,false,36,2022,4.7,5434
CPU028,AMD,Ryzen 5 5500,AM4,6,12,3.6,4.2,65,99.99,true,false,19,2022,4.4,7764
CPU029,AMD,Ryzen 5 5600G,AM4,6,12,3.9,4.4,65,119.99,true,AMD Radeon Vega 7,19,2021,4.6,9716
CPU030,AMD,Ryzen 7 5700G,AM4,8,16,3.8,4.6,65,179.99,true,AMD Radeon Vega 8,20,2021,4.8,2517
CPU031,Intel,Core i9-12900K,LGA1700,16,24,3.2,5.2,125,399.99,true,Intel UHD 770,30,2021,4.2,7514
CPU032,Intel,Core i7-12700K,LGA1700,12,20,3.6,5.0,125,299.99,true,Intel UHD 770,25,2021,5.0,12118
CPU033,Intel,Core i5-12600K,LGA1700,10,16,3.7,4.9,125,249.99,true,Intel UHD 770,20,2021,4.7,5717
CPU034,Intel,Core i5-12400F,LGA1700,6,12,2.5,4.4,65,159.99,true,false,18,2022,4.6,13802
CPU035,Intel,Core i3-12100F,LGA1700,4,8,3.3,4.3,58,89.99,true,false,12,2022,4.7,4604
CPU036,AMD,Ryzen 9 5950X,AM4,16,32,3.4,4.9,105,399.99,true,false,72,2020,4.2,3706
CPU037,AMD,Ryzen 5 4500,AM4,6,12,3.6,4.1,65,79.99,true,false,11,2022,4.9,9553
CPU038,AMD,Ryzen 3 4100,AM4,4,8,3.8,4.0,65,69.99,true,false,6,2022,4.8,10647
CPU039,Intel,Core i9-14900,LGA1700,24,32,2.0,5.8,65,509.99,true,Intel UHD 770,36,2024,4.6,4665
CPU040,Intel,Core i7-14700,LGA1700,20,28,2.1,5.4,65,369.99,true,Intel UHD 770,33,2024,5.0,5893
CPU041,Intel,Core i5-14500,LGA1700,14,20,2.6,5.0,65,249.99,true,Intel UHD 770,24,2024,4.6,6677
CPU042,Intel,Core i5-14400,LGA1700,10,16,2.5,4.7,65,219.99,true,Intel UHD 730,20,2024,4.1,5622
CPU043,AMD,Ryzen 5 8600G,AM5,6,12,4.3,5.0,65,229.99,true,AMD Radeon 760M,22,2024,4.1,3716
CPU044,AMD,Ryzen 7 8700G,AM5,8,16,4.2,5.1,65,329.99,true,AMD Radeon 780M,24,2024,4.6,1021
CPU045,Intel,Core Ultra 9 285K,LGA1851,24,24,3.7,5.7,125,629.99,true,Intel Arc,36,2024,5.0,12513
CPU046,Intel,Core Ultra 7 265K,LGA1851,20,20,3.9,5.5,125,399.99,true,Intel Arc,30,2024,4.0,10258
CPU047,Intel,Core Ultra 5 245K,LGA1851,14,14,4.2,5.2,125,319.99,true,Intel Arc,24,2024,4.5,2387
CPU048,AMD,Ryzen 5 7500F,AM5,6,12,3.7,5.0,65,179.99,true,false,38,2023,4.2,10575
