id,name,brand,category,pet_type,price,description,weight_lbs,size,in_stock,stock_quantity
DOG001,Blue Buffalo Life Protection Chicken,Blue Buffalo,Food,Dogs,54.99,High-quality dry dog food with real chicken and wholesome grains,24,Large Bag,1,25
DOG002,Purina Pro Plan Adult,Purina,Food,Dogs,48.99,Complete nutrition for adult dogs with real salmon,30,Large Bag,1,30
DOG003,Royal Canin Large Breed Puppy,Royal Canin,Food,Dogs,69.99,Specially formulated for large breed puppies up to 15 months,30,Large Bag,1,15
DOG004,Hill's Science Diet Senior,Hill's,Food,Dogs,62.99,Formulated for dogs 7 years and older with joint support,28,Large Bag,1,18
DOG005,KONG Classic Dog Toy,KONG,Toys,Dogs,14.99,Durable rubber toy for fetching and treat dispensing,0.5,Large,1,50
DOG006,Nylabone DuraChew,Nylabone,Toys,Dogs,12.99,Long-lasting chew toy for aggressive chewers,0.75,Large,1,40
DOG007,Chuckit Ultra Ball 2-Pack,Chuckit,Toys,Dogs,9.99,High-bounce rubber balls for fetch,0.25,Medium,1,60
DOG008,Outward Hound Hide-A-Squirrel,Outward Hound,Toys,Dogs,19.99,Interactive puzzle toy with squeaky squirrels,1,Large,1,25
DOG009,Furhaven Orthopedic Dog Bed,Furhaven,Beds,Dogs,49.99,Memory foam bed with cooling gel for joint relief,8,Large,1,20
DOG010,MidWest Bolster Dog Bed,MidWest,Beds,Dogs,29.99,Soft fleece bed with bolster sides,3,Medium,1,30
DOG011,Coolaroo Elevated Pet Bed,Coolaroo,Beds,Dogs,39.99,Breathable elevated bed for indoor/outdoor use,6,Large,1,22
DOG012,Frontline Plus Flea Treatment,Frontline,Health,Dogs,49.99,6-month supply of flea and tick prevention,0.25,Large Dog,1,35
DOG013,Nutramax Cosequin Joint Health,Nutramax,Health,Dogs,34.99,Glucosamine supplement for joint support,0.5,,1,40
DOG014,Greenies Dental Treats,Greenies,Health,Dogs,24.99,Dental chews that clean teeth and freshen breath,1.5,Regular,1,45
DOG015,FURminator deShedding Tool,FURminator,Grooming,Dogs,34.99,Reduces shedding up to 90%,0.5,Large,1,25
DOG016,Burt's Bees Dog Shampoo,Burt's Bees,Grooming,Dogs,9.99,Natural oatmeal shampoo for sensitive skin,1,16oz,1,50
CAT001,Blue Buffalo Wilderness Chicken,Blue Buffalo,Food,Cats,42.99,Grain-free dry cat food with real chicken,12,Large Bag,1,28
CAT002,Purina ONE Indoor Advantage,Purina,Food,Cats,29.99,Formulated for indoor cats with hairball management,16,Large Bag,1,35
CAT003,Royal Canin Kitten,Royal Canin,Food,Cats,44.99,Complete nutrition for kittens up to 12 months,7,Medium Bag,1,20
CAT004,Hill's Science Diet Sensitive Stomach,Hill's,Food,Cats,52.99,Gentle formula for cats with digestive sensitivities,15.5,Large Bag,1,18
CAT005,Cat Dancer Interactive Toy,Cat Dancer,Toys,Cats,4.99,Simple wire toy that mimics insect movement,0.1,,1,75
CAT006,Yeowww Catnip Banana,Yeowww,Toys,Cats,7.99,100% organic catnip filled toy,0.2,,1,60
CAT007,SmartyKat Skitter Critters,SmartyKat,Toys,Cats,5.99,Set of 3 catnip mice,0.15,,1,65
CAT008,Bergan Turbo Scratcher,Bergan,Toys,Cats,19.99,Ball track toy with replaceable scratch pad,2,,1,30
CAT009,Best Friends by Sheri Donut Bed,Best Friends,Beds,Cats,34.99,Calming donut bed with faux fur,2,Medium,1,25
CAT010,Meowfia Cat Cave,Meowfia,Beds,Cats,44.99,Handcrafted wool cat cave,1.5,Large,1,15
CAT011,Frisco Cat Tree 72-inch,Frisco,Beds,Cats,99.99,Multi-level cat tree with scratching posts,45,,1,10
CAT012,Advantage II Flea Treatment,Advantage,Health,Cats,44.99,6-month supply of flea prevention for cats,0.2,Large Cat,1,30
CAT013,Vetoquinol Laxatone Hairball Remedy,Vetoquinol,Health,Cats,12.99,Lubricant to prevent hairballs,0.5,4.25oz,1,45
CAT014,Purina Tidy Cats Clumping Litter,Purina,Health,Cats,22.99,35lb container of clumping clay litter,35,,1,40
CAT015,Safari Self-Cleaning Slicker Brush,Safari,Grooming,Cats,14.99,Removes loose fur and prevents mats,0.25,,1,35
CAT016,Earthbath Hypo-Allergenic Cat Shampoo,Earthbath,Grooming,Cats,11.99,Fragrance-free shampoo for sensitive cats,1,16oz,1,40
BRD001,Kaytee Forti-Diet Pro Health Parakeet,Kaytee,Food,Birds,12.99,Nutritionally fortified seed blend for parakeets,5,,1,30
BRD002,ZuPreem FruitBlend Cockatiel,ZuPreem,Food,Birds,18.99,Pellet food with natural fruit flavors,3.5,,1,25
BRD003,Higgins Safflower Gold Parrot,Higgins,Food,Birds,24.99,Premium seed mix for large parrots,3,,1,20
BRD004,JW Pet InSight Swing,JW Pet,Toys,Birds,8.99,Colorful swing for small to medium birds,0.25,,1,40
BRD005,Super Bird Creations Foraging Wheel,Super Bird,Toys,Birds,14.99,Interactive foraging toy for mental stimulation,0.5,,1,30
BRD006,Prevue Hendryx Travel Cage,Prevue,Beds,Birds,39.99,Portable cage for vet visits and travel,4,,1,15
FSH001,TetraMin Tropical Flakes,Tetra,Food,Fish,8.99,Complete nutrition for tropical fish,0.5,7.06oz,1,50
FSH002,Hikari Cichlid Gold Pellets,Hikari,Food,Fish,12.99,Color-enhancing pellets for cichlids,0.5,8.8oz,1,35
FSH003,Omega One Betta Buffet Pellets,Omega One,Food,Fish,5.99,Premium pellets for betta fish,0.1,1oz,1,60
FSH004,Marina LED Aquarium Kit,Marina,Beds,Fish,89.99,10-gallon aquarium with LED lighting,20,,1,12
FSH005,Tetra Whisper Air Pump,Tetra,Health,Fish,14.99,Quiet air pump for up to 40 gallon tanks,1,,1,40
FSH006,API Freshwater Master Test Kit,API,Health,Fish,29.99,Complete water testing kit,1,,1,25
SML001,Oxbow Essentials Guinea Pig Food,Oxbow,Food,Small Animals,14.99,Timothy hay-based pellets for guinea pigs,5,,1,30
SML002,Kaytee Timothy Hay,Kaytee,Food,Small Animals,16.99,Premium timothy hay for rabbits and guinea pigs,6.5,,1,35
SML003,Vitakraft Drops Hamster Treats,Vitakraft,Food,Small Animals,4.99,Yogurt drops treats for hamsters,0.2,,1,50
SML004,Kaytee Silent Spinner Wheel,Kaytee,Toys,Small Animals,12.99,Quiet exercise wheel for hamsters,0.75,Large,1,40
SML005,Ware Manufacturing Willow Branch Ball,Ware,Toys,Small Animals,6.99,Natural willow chew toy,0.25,,1,45
SML006,MidWest Wabbitat Rabbit Cage,MidWest,Beds,Small Animals,79.99,Spacious cage for rabbits,25,,1,10
SML007,Carefresh Small Animal Bedding,Carefresh,Health,Small Animals,19.99,60L of soft paper bedding,5,,1,30
DOG017,Wellness CORE Grain-Free Original,Wellness,Food,Dogs,59.99,High-protein grain-free formula with turkey and chicken,24,Large Bag,1,22
DOG018,Orijen Original Dry Dog Food,Orijen,Food,Dogs,89.99,Biologically appropriate dog food with 85% meat,25,Large Bag,1,15
DOG019,Taste of the Wild Pacific Stream,Taste of the Wild,Food,Dogs,49.99,Grain-free formula with smoked salmon,28,Large Bag,1,28
