id,region,region_type,state,median_home_price,median_rent,price_change_yoy,inventory,days_on_market,homes_sold,new_listings,median_sqft_price,date
1,San Francisco,city,CA,1425000,3850,2.5,1245,32,856,1123,985,2024-01-01
2,Los Angeles,city,CA,975000,2950,3.1,4567,28,3421,4102,678,2024-01-01
3,San Diego,city,CA,895000,2750,4.2,2134,26,1567,1892,612,2024-01-01
4,San Jose,city,CA,1350000,3450,1.8,987,30,723,876,892,2024-01-01
5,New York City,city,NY,1150000,3500,2.8,8765,45,5432,6543,1234,2024-01-01
6,Brooklyn,borough,NY,925000,2850,3.5,2345,38,1876,2134,856,2024-01-01
7,Manhattan,borough,NY,1650000,4200,1.9,1567,52,987,1234,1456,2024-01-01
8,Chicago,city,IL,385000,1950,4.8,5678,24,4321,5012,267,2024-01-01
9,Houston,city,TX,335000,1750,5.2,7890,22,6543,7234,178,2024-01-01
10,Dallas,city,TX,425000,1850,4.5,5432,25,4123,4876,234,2024-01-01
11,Austin,city,TX,565000,2150,3.8,3456,28,2567,3012,356,2024-01-01
12,Miami,city,FL,575000,2650,6.2,4321,30,3234,3876,412,2024-01-01
13,Fort Lauderdale,city,FL,485000,2350,5.8,1876,27,1432,1678,345,2024-01-01
14,Tampa,city,FL,395000,2050,7.1,2987,23,2456,2876,278,2024-01-01
15,Seattle,city,WA,825000,2450,2.1,2134,35,1654,1987,567,2024-01-01
16,Portland,city,OR,525000,1950,1.5,1876,32,1432,1654,378,2024-01-01
17,Denver,city,CO,585000,2150,2.8,2456,28,1987,2345,412,2024-01-01
18,Phoenix,city,AZ,465000,1850,5.5,4567,21,3654,4234,298,2024-01-01
19,Scottsdale,city,AZ,725000,2450,4.2,1234,32,876,1023,456,2024-01-01
20,Atlanta,city,GA,425000,1950,4.9,3876,26,3012,3567,289,2024-01-01
21,Boston,city,MA,785000,2850,2.4,1567,38,1123,1345,678,2024-01-01
22,Nashville,city,TN,485000,2050,6.8,2345,24,1987,2345,312,2024-01-01
23,Charleston,city,SC,565000,2250,5.4,987,29,765,892,398,2024-01-01
24,Raleigh,city,NC,445000,1850,5.9,1876,22,1543,1812,278,2024-01-01
25,Charlotte,city,NC,395000,1750,6.5,2567,21,2134,2456,245,2024-01-01
26,Bay Area,metro,CA,1285000,3650,2.2,4567,33,3234,3987,856,2024-01-01
27,Southern California,metro,CA,875000,2750,3.4,12345,27,9876,11234,598,2024-01-01
28,NYC Metro,metro,NY,985000,3150,2.6,15678,42,11234,13456,789,2024-01-01
29,Chicagoland,metro,IL,365000,1850,4.5,9876,25,7654,8765,245,2024-01-01
30,DFW Metro,metro,TX,395000,1800,4.8,12345,24,9876,11234,212,2024-01-01
31,South Florida,metro,FL,525000,2450,6.4,8765,28,6789,7890,367,2024-01-01
32,Pacific Northwest,metro,WA,675000,2250,1.8,4567,34,3456,4012,456,2024-01-01
33,Colorado Front Range,metro,CO,545000,2050,3.1,5678,27,4321,5012,378,2024-01-01
34,California,state,CA,785000,2650,2.8,45678,29,34567,41234,567,2024-01-01
35,New York,state,NY,485000,2150,2.4,23456,38,17654,21234,398,2024-01-01
36,Texas,state,TX,335000,1750,5.1,56789,23,45678,52345,189,2024-01-01
37,Florida,state,FL,425000,2150,6.2,45678,26,36789,42345,289,2024-01-01
38,Washington,state,WA,595000,2150,2.0,8765,33,6543,7654,423,2024-01-01
39,Colorado,state,CO,525000,1950,3.2,12345,27,9876,11234,356,2024-01-01
40,Arizona,state,AZ,445000,1750,5.1,15678,23,12345,14567,278,2024-01-01
41,Georgia,state,GA,365000,1850,5.2,18765,25,14567,17234,245,2024-01-01
42,Massachusetts,state,MA,625000,2450,2.6,6789,36,5123,6012,523,2024-01-01
43,Tennessee,state,TN,385000,1750,6.5,12345,24,9876,11234,245,2024-01-01
44,Illinois,state,IL,285000,1650,3.8,23456,26,18765,21234,198,2024-01-01
45,North Carolina,state,NC,365000,1700,6.1,18765,22,15432,17654,223,2024-01-01
46,Oregon,state,OR,485000,1850,1.6,8765,31,6543,7654,345,2024-01-01
47,Beverly Hills,city,CA,3250000,8500,1.2,234,65,123,156,1450,2024-01-01
48,Palo Alto,city,CA,3150000,5500,0.8,156,42,98,112,1356,2024-01-01
49,Aspen,city,CO,4850000,12500,-0.5,89,78,45,52,1890,2024-01-01
50,Palm Beach,city,FL,2850000,8500,2.1,145,58,87,98,1234,2024-01-01
