id,question,answer,category,keywords
faq_delivery_time,How long does delivery take?,"Same-day delivery is available for orders placed before 2 PM. You can select a 2-hour delivery window at checkout. Most orders arrive within the selected window. During peak times (weekends, holidays), slots fill up quickly so order early.",Delivery,"[""delivery"", ""time"", ""how long"", ""when"", ""arrive""]"
faq_minimum_order,Is there a minimum order amount?,"There's no minimum order amount. However, orders under $35 have a $7.99 delivery fee, orders $35-$49.99 have a $5.99 fee, and orders $50+ qualify for free delivery. We recommend grouping items to save on fees.",Orders,"[""minimum"", ""order"", ""amount"", ""fee"", ""delivery fee""]"
faq_organic,How do I know if something is organic?,"Organic products are clearly labeled with an 'Organic' badge. You can also filter search results by 'Organic Only' to see only certified organic products. Our organic produce meets USDA organic certification standards.",Products,"[""organic"", ""certified"", ""natural"", ""pesticide""]"
faq_produce_selection,How do you select my produce?,"Our trained shoppers select produce as if shopping for their own family. We check for ripeness, firmness, and any blemishes. You can add notes to specific items (e.g., 'green bananas please' or 'ripe avocados for today'). We never substitute produce without contacting you first.",Produce,"[""produce"", ""select"", ""pick"", ""ripe"", ""fresh"", ""quality""]"
faq_expiration,What if my item is close to expiration?,"We aim to provide items with at least 5 days until expiration for refrigerated goods and 2 weeks for shelf-stable items. If you receive something close to expiration, contact us for a replacement or refund. Freshness is guaranteed.",Products,"[""expiration"", ""date"", ""best by"", ""expired"", ""old""]"
faq_payment,What payment methods do you accept?,"We accept all major credit cards (Visa, Mastercard, Amex, Discover), debit cards, PayPal, Apple Pay, Google Pay, and EBT/SNAP for eligible items. Payment is charged when your order is confirmed, not at delivery.",Payment,"[""payment"", ""credit card"", ""ebt"", ""snap"", ""pay"", ""apple pay""]"
faq_substitution_how,How do substitutions work?,"If an item is unavailable, we'll suggest a similar product at equal or lesser price. You can accept, reject, or choose 'no substitutions' for specific items. Set your default preference in account settings. You're never charged more for substitutions.",Orders,"[""substitution"", ""replacement"", ""out of stock"", ""unavailable"", ""alternative""]"
faq_allergies,How can I avoid allergens?,"Product pages list all ingredients and common allergens. Use our allergen filter to exclude products containing specific allergens (nuts, dairy, gluten, etc.). Add allergy notes to your account so shoppers are extra careful with your order.",Products,"[""allergy"", ""allergen"", ""nuts"", ""gluten"", ""dairy"", ""ingredients""]"
faq_cold_items,How do you keep items cold during delivery?,"Frozen and refrigerated items are packed in insulated bags with ice packs or dry ice. Our delivery vehicles are temperature-controlled. Items stay cold for up to 4 hours after packing. We recommend refrigerating items promptly upon delivery.",Delivery,"[""cold"", ""frozen"", ""temperature"", ""ice"", ""refrigerated"", ""thaw""]"
faq_tip,Should I tip the delivery driver?,"Tipping is optional but appreciated. You can add a tip at checkout or adjust it up to 24 hours after delivery in the app. 100% of tips go directly to your delivery driver.",Delivery,"[""tip"", ""gratuity"", ""driver""]"
