id,name,brand,category,concentration,size_ml,price,top_notes,middle_notes,base_notes,description,release_year,in_stock
PF001,Sauvage,Dior,men,Eau de Toilette,100,155.00,Calabrian Bergamot; Pepper,Sichuan Pepper; Lavender; Pink Pepper; Vetiver; Patchouli; Geranium,Ambroxan; Cedar; Labdanum,A radically fresh composition dictated by a name that has the ring of a manifesto. Raw and noble all at once.,2015,true
PF002,Sauvage,Dior,men,Eau de Parfum,100,165.00,Calabrian Bergamot; Pepper,Sichuan Pepper; Lavender; Star Anise,Ambroxan; Vanilla; Cedar,A new intensity. A more profound trail. The powerful freshness of Sauvage in an intense interpretation.,2018,true
PF003,Bleu de Chanel,Chanel,men,Eau de Parfum,100,175.00,Citrus; Mint,Grapefruit; Dry Cedar; Labdanum,Incense; Ginger; Sandalwood; Vetiver,An ode to masculine freedom expressed in an aromatic-woody fragrance with a captivating trail.,2014,true
PF004,Bleu de Chanel,Chanel,men,Parfum,100,195.00,Citrus; Mint,Cedar; Grapefruit,Sandalwood; Vetiver; Amber,The essence of a man who chooses his own destiny. The deepest and most sensual version.,2018,true
PF005,Acqua di Gio,Giorgio Armani,men,Eau de Toilette,100,120.00,Calabrian Bergamot; Neroli; Green Tangerine,Jasmine; Calone; Peach; Freesia; Cyclamen; Hyacinth; Rose,Cedar; Musk; Patchouli; Amber,A fresh aquatic fragrance inspired by the beauty of Pantelleria where Armani spent his vacation.,1996,true
PF006,Acqua di Gio Profumo,Giorgio Armani,men,Parfum,75,140.00,Bergamot; Sea Notes; Aquatic Notes,Geranium; Rosemary; Sage,Incense; Amber; Patchouli,An intense and sensual evolution of the iconic Acqua di Gio.,2015,true
PF007,Aventus,Creed,men,Eau de Parfum,100,445.00,Pineapple; Bergamot; Black Currant; Apple,Birch; Jasmine; Patchouli; Rose,Musk; Oak Moss; Ambergris; Vanille,A sophisticated scent inspired by the dramatic life of a historic emperor.,2010,true
PF008,Green Irish Tweed,Creed,men,Eau de Parfum,100,395.00,Lemon Verbena; Iris,Violet Leaf,Sandalwood; Ambergris,A fresh fougere fragrance that has become a modern classic and the signature scent of many distinguished gentlemen.,1985,true
PF009,La Nuit de L'Homme,Yves Saint Laurent,men,Eau de Toilette,100,115.00,Cardamom; Bergamot; Caraway,Lavender; Virginia Cedar; Vetiver,Coumarin; Tonka Bean,A seductive and bold fragrance that captures the allure of the night.,2009,true
PF010,Y Eau de Parfum,Yves Saint Laurent,men,Eau de Parfum,100,140.00,Apple; Ginger; Bergamot,Sage; Juniper Berries; Geranium,Tonka Bean; Cedar; Vetiver; Fir Balsam,A fresh woody fragrance for the man who is ready to conquer the world.,2017,true
PF011,Spicebomb,Viktor & Rolf,men,Eau de Toilette,90,130.00,Bergamot; Grapefruit; Elemi; Pink Pepper,Cinnamon; Saffron; Paprika,Tobacco; Vetiver; Leather,An explosive cocktail of spices for men who want to seduce.,2012,true
PF012,Eros,Versace,men,Eau de Toilette,100,98.00,Mint; Green Apple; Lemon,Tonka Bean; Ambroxan; Geranium,Vanilla; Vetiver; Oak Moss; Cedarwood,Captures the mythological essence of desire and seduction.,2012,true
PF013,Dylan Blue,Versace,men,Eau de Toilette,100,95.00,Calabrian Bergamot; Grapefruit; Fig Leaves,Violet Leaves; Papyrus; Patchouli; Black Pepper,Musk; Saffron; Incense; Tonka Bean,A contemporary interpretation of the masculine Mediterranean spirit.,2016,true
PF014,The One,Dolce & Gabbana,men,Eau de Parfum,100,115.00,Grapefruit; Coriander; Basil,Cardamom; Ginger; Orange Blossom,Cedarwood; Labdanum; Amber,An elegant and sensual fragrance for a modern gentleman.,2008,true
PF015,Light Blue,Dolce & Gabbana,men,Eau de Toilette,125,102.00,Juniper; Grapefruit; Bergamot; Mandarin Orange,Rosemary; Rosewood; Pepper,Incense; Musk; Oak Moss,Fresh and intensely masculine with Mediterranean spirit.,2007,true
PF016,Coco Mademoiselle,Chanel,women,Eau de Parfum,100,185.00,Orange; Mandarin; Bergamot,Rose; Jasmine; Litchi,Patchouli; Vetiver; White Musk; Vanilla; Tonka Bean,A youthful and elegant fragrance for the modern confident woman.,2001,true
PF017,N°5,Chanel,women,Eau de Parfum,100,195.00,Aldehydes; Bergamot; Neroli; Ylang-Ylang; Lemon,Iris; Jasmine; Rose; Lily of the Valley,Sandalwood; Cedar; Vetiver; Vanilla; Musk; Amber,The timeless iconic fragrance that defined modern perfumery.,1921,true
PF018,J'adore,Dior,women,Eau de Parfum,100,170.00,Ylang-Ylang; Damask Rose; Mandarin,Jasmine; Tuberose; Rose,Vanilla; Musk,A modern glamorous fragrance that celebrates femininity.,1999,true
PF019,Miss Dior,Dior,women,Eau de Parfum,100,160.00,Italian Mandarin; Pink Pepper,Centifolia Rose; Damascus Rose,Indonesian Patchouli; Musk,A vibrant and romantic fragrance with couture elegance.,2017,true
PF020,La Vie Est Belle,Lancôme,women,Eau de Parfum,100,155.00,Blackcurrant; Pear,Iris; Jasmine; Orange Blossom,Praline; Vanilla; Patchouli; Tonka Bean,A sweet gourmand fragrance celebrating the beauty of life.,2012,true
PF021,Black Opium,Yves Saint Laurent,women,Eau de Parfum,90,150.00,Adrenaline Accord; Pink Pepper; Orange Blossom,Coffee; Jasmine,Vanilla; Patchouli; Cedar,A rock'n'roll fragrance with coffee and vanilla.,2014,true
