id,name,origin_country,origin_region,farm,altitude,process,roast_level,flavor_notes,description,price_12oz,price_2lb,price_5lb,stock,rating,reviews_count,is_single_origin,is_organic,is_fair_trade,roast_date,harvest_season
1,Yirgacheffe Kochere,Ethiopia,Yirgacheffe,Kochere Cooperative,1850-2100m,Washed,Light,Jasmine|Bergamot|Lemon|Honey,Exceptional Ethiopian coffee from the birthplace of arabica. Delicate floral aromatics with bright citrus acidity and sweet honey finish.,22.50,38.00,85.00,45,4.9,328,1,1,1,2024-01-15,October-December
2,Colombia Huila Supremo,Colombia,Huila,Finca La Esperanza,1700-1900m,Washed,Medium,Caramel|Red Apple|Milk Chocolate|Walnut,Classic Colombian profile from the renowned Huila region. Sweet caramel notes with bright apple acidity and nutty chocolate finish.,18.50,31.00,72.00,62,4.7,256,1,0,1,2024-01-12,April-June
3,Kenya AA Nyeri,Kenya,Nyeri,Othaya Farmers Cooperative,1700-1800m,Washed,Medium,Blackcurrant|Tomato|Brown Sugar|Wine,Bold and complex Kenyan coffee with signature bright acidity. Intense fruit-forward profile with winey undertones.,24.00,40.00,92.00,38,4.8,189,1,0,1,2024-01-10,October-December
4,Guatemala Antigua,Guatemala,Antigua,Finca Filadelfia,1500-1700m,Washed,Medium,Dark Chocolate|Orange|Smoky|Spice,Rich and full-bodied Guatemalan from volcanic soil. Complex chocolate notes with citrus brightness and subtle smokiness.,19.50,33.00,76.00,55,4.6,212,1,1,0,2024-01-14,December-March
5,Brazil Santos Natural,Brazil,Minas Gerais,Fazenda Santa Ines,1100-1300m,Natural,Medium-Dark,Peanut|Chocolate|Dried Fruit|Low Acidity,Smooth and nutty Brazilian natural process. Sweet dried fruit notes with creamy body and chocolate undertones.,16.00,27.00,62.00,78,4.5,342,1,0,0,2024-01-13,May-September
6,Sumatra Mandheling,Indonesia,North Sumatra,Gayo Highland,1200-1500m,Wet-Hulled,Dark,Earthy|Cedar|Dark Chocolate|Tobacco,Bold Indonesian coffee with characteristic earthy depth. Complex herbal notes with full body and low acidity.,20.00,34.00,78.00,42,4.6,178,1,0,1,2024-01-11,September-December
7,Costa Rica Tarrazu,Costa Rica,Tarrazu,Finca Don Mayo,1400-1700m,Honey,Medium,Honey|Peach|Vanilla|Bright Citrus,Elegant Costa Rican honey processed coffee. Sweet stone fruit notes with honey sweetness and clean finish.,21.00,35.00,80.00,48,4.7,203,1,1,0,2024-01-16,November-February
8,Panama Geisha Boquete,Panama,Boquete,Hacienda La Esmeralda,1600-1800m,Washed,Light,Jasmine|Peach|Bergamot|Tea-like,Legendary Panama Geisha variety. Extraordinary floral complexity with delicate tea-like body and exceptional clarity.,65.00,110.00,250.00,12,5.0,89,1,0,0,2024-01-08,January-March
9,Rwanda Nyamasheke,Rwanda,Nyamasheke,Buf Coffee,1800-2000m,Washed,Light,Red Cherry|Plum|Hibiscus|Bright,Exceptional Rwandan specialty coffee. Vibrant red fruit notes with floral hints and sparkling acidity.,23.00,39.00,88.00,35,4.8,156,1,1,1,2024-01-14,March-June
10,Peru Chanchamayo,Peru,Junin,Cooperativa Pangoa,1400-1800m,Washed,Medium,Cocoa|Caramel|Mild Citrus|Clean,Smooth Peruvian coffee from the central highlands. Gentle cocoa sweetness with caramel notes and clean finish.,17.50,29.00,68.00,58,4.5,198,1,1,1,2024-01-12,April-September
11,Espresso Classico Blend,Blend,Various,Multiple Farms,Various,Various,Dark,Dark Chocolate|Hazelnut|Caramel|Smoky,Our signature espresso blend. Rich crema and balanced flavor profile perfect for milk drinks or straight shots.,17.00,28.00,65.00,85,4.6,445,0,0,0,2024-01-15,Year-round
12,Morning Ritual Blend,Blend,Various,Multiple Farms,Various,Various,Medium,Milk Chocolate|Toffee|Citrus|Smooth,Everyday drinking coffee with approachable flavors. Balanced sweetness and gentle acidity for any brew method.,15.50,26.00,60.00,92,4.5,523,0,0,0,2024-01-15,Year-round
13,Dark Roast Reserve,Blend,Various,Multiple Farms,Various,Various,Dark,Bittersweet Chocolate|Molasses|Bold|Smoky,Bold and intense dark roast for those who like it strong. Full body with bittersweet chocolate and smoky finish.,16.50,27.00,63.00,68,4.4,287,0,0,0,2024-01-14,Year-round
