id,product_id,name,price,sku,inventory_count,attributes
var_001_xs_white,prod_001,Classic Cotton T-Shirt - XS White,29.99,CTTS-XS-WHT,15,"""{""""size"""": """"XS"""", """"color"""": """"White""""}"""
var_001_s_white,prod_001,Classic Cotton T-Shirt - S White,29.99,CTTS-S-WHT,20,"""{""""size"""": """"S"""", """"color"""": """"White""""}"""
var_001_m_white,prod_001,Classic Cotton T-Shirt - M White,29.99,CTTS-M-WHT,25,"""{""""size"""": """"M"""", """"color"""": """"White""""}"""
var_001_l_white,prod_001,Classic Cotton T-Shirt - L White,29.99,CTTS-L-WHT,20,"""{""""size"""": """"L"""", """"color"""": """"White""""}"""
var_001_m_black,prod_001,Classic Cotton T-Shirt - M Black,29.99,CTTS-M-BLK,30,"""{""""size"""": """"M"""", """"color"""": """"Black""""}"""
var_001_l_black,prod_001,Classic Cotton T-Shirt - L Black,29.99,CTTS-L-BLK,25,"""{""""size"""": """"L"""", """"color"""": """"Black""""}"""
var_001_m_navy,prod_001,Classic Cotton T-Shirt - M Navy,29.99,CTTS-M-NVY,15,"""{""""size"""": """"M"""", """"color"""": """"Navy""""}"""
var_002_s_ivory,prod_002,Silk Blend Blouse - S Ivory,89.99,SLKB-S-IVY,10,"""{""""size"""": """"S"""", """"color"""": """"Ivory""""}"""
var_002_m_ivory,prod_002,Silk Blend Blouse - M Ivory,89.99,SLKB-M-IVY,15,"""{""""size"""": """"M"""", """"color"""": """"Ivory""""}"""
var_002_l_ivory,prod_002,Silk Blend Blouse - L Ivory,89.99,SLKB-L-IVY,10,"""{""""size"""": """"L"""", """"color"""": """"Ivory""""}"""
var_002_m_blush,prod_002,Silk Blend Blouse - M Blush,89.99,SLKB-M-BLS,10,"""{""""size"""": """"M"""", """"color"""": """"Blush""""}"""
var_003_s_grey,prod_003,Cashmere Crewneck - S Grey,149.99,CSHM-S-GRY,8,"""{""""size"""": """"S"""", """"color"""": """"Heather Grey""""}"""
var_003_m_grey,prod_003,Cashmere Crewneck - M Grey,149.99,CSHM-M-GRY,10,"""{""""size"""": """"M"""", """"color"""": """"Heather Grey""""}"""
var_003_l_grey,prod_003,Cashmere Crewneck - L Grey,149.99,CSHM-L-GRY,7,"""{""""size"""": """"L"""", """"color"""": """"Heather Grey""""}"""
var_003_m_camel,prod_003,Cashmere Crewneck - M Camel,149.99,CSHM-M-CML,5,"""{""""size"""": """"M"""", """"color"""": """"Camel""""}"""
var_004_s_white,prod_004,Linen Button-Down - S White,69.99,LNSH-S-WHT,12,"""{""""size"""": """"S"""", """"color"""": """"White""""}"""
var_004_m_white,prod_004,Linen Button-Down - M White,69.99,LNSH-M-WHT,18,"""{""""size"""": """"M"""", """"color"""": """"White""""}"""
var_004_l_white,prod_004,Linen Button-Down - L White,69.99,LNSH-L-WHT,15,"""{""""size"""": """"L"""", """"color"""": """"White""""}"""
var_004_m_blue,prod_004,Linen Button-Down - M Light Blue,69.99,LNSH-M-LBL,15,"""{""""size"""": """"M"""", """"color"""": """"Light Blue""""}"""
var_005_s_navy,prod_005,Striped Polo - S Navy,49.99,POLO-S-NVY,15,"""{""""size"""": """"S"""", """"color"""": """"Navy/White""""}"""
var_005_m_navy,prod_005,Striped Polo - M Navy,49.99,POLO-M-NVY,25,"""{""""size"""": """"M"""", """"color"""": """"Navy/White""""}"""
var_005_l_navy,prod_005,Striped Polo - L Navy,49.99,POLO-L-NVY,20,"""{""""size"""": """"L"""", """"color"""": """"Navy/White""""}"""
