id,question,answer,category,keywords
faq_track_order,How can I track my order?,You can track your order by clicking the tracking link in your shipping confirmation email. You can also log into your account and view your order status under 'Order History'. If you checked out as a guest you can use our order lookup tool with your email and order number.,Orders,"[""track"", ""order status"", ""where is my order"", ""shipping"", ""delivery""]"
faq_payment_methods,What payment methods do you accept?,"We accept all major credit cards (Visa, Mastercard, American Express, Discover), PayPal, Apple Pay, Google Pay, and Shop Pay. We also offer Klarna and Afterpay for buy-now-pay-later options on qualifying orders.",Payment,"[""payment"", ""credit card"", ""paypal"", ""klarna"", ""afterpay"", ""apple pay""]"
faq_size_recommendation,How do I choose the right size?,"We recommend checking our Size Guide for detailed measurements. Each product page also includes specific sizing notes. If you're between sizes, we generally recommend sizing up. Our customer service team is happy to provide personalized fit recommendations - just send us your measurements!",Sizing,"[""size"", ""fit"", ""which size"", ""too small"", ""too big"", ""measurements""]"
faq_care_instructions,How should I care for my items?,"Care instructions are listed on each product's label and product page. General tips: Machine wash cold on gentle cycle for cotton items. Hand wash or dry clean silk and cashmere. Air dry when possible to preserve fabric quality. Store knitwear folded to prevent stretching.",Product Care,"[""care"", ""wash"", ""clean"", ""dry clean"", ""laundry"", ""machine wash""]"
faq_exchange_process,How do I exchange an item for a different size?,"To exchange an item, start a return through our online portal or contact customer service. Select 'Exchange' as your reason and specify the new size you need. If the new size is available, we'll ship it as soon as we receive your return. Exchanges are free for US customers.",Exchanges,"[""exchange"", ""different size"", ""swap"", ""change size"", ""wrong size""]"
faq_order_cancel,Can I cancel or modify my order?,"Orders can be cancelled or modified within 1 hour of placement. After that, we begin processing and cannot make changes. To request a cancellation, contact customer service immediately with your order number. If your order has already shipped, you can refuse delivery or return it once received.",Orders,"[""cancel"", ""modify"", ""change order"", ""remove item"", ""update order""]"
faq_gift_cards,Do you offer gift cards?,"Yes! We offer digital gift cards in amounts of $25, $50, $100, and $200. Gift cards are delivered via email and never expire. They can be used for any purchase on our website and can be combined with other payment methods.",Gift Cards,"[""gift card"", ""gift certificate"", ""present"", ""gift""]"
faq_restock,Will sold out items be restocked?,"Popular items are often restocked. Click 'Notify Me' on any sold-out product page to receive an email when it's back in stock. You can also follow us on social media for restock announcements. Some seasonal or limited edition items may not be restocked.",Inventory,"[""restock"", ""sold out"", ""out of stock"", ""back in stock"", ""availability""]"
faq_promo_codes,How do I apply a promo code?,"Enter your promo code in the 'Discount Code' field at checkout and click 'Apply'. The discount will be reflected in your order total. Only one promo code can be used per order. Promo codes cannot be applied to previous orders or combined with other offers unless specified.",Promotions,"[""promo code"", ""discount"", ""coupon"", ""code"", ""sale"", ""offer""]"
faq_international,Do you ship internationally?,"Yes, we ship to over 50 countries. International shipping rates start at $19.95 and delivery takes 7-14 business days. Please note that international orders may be subject to customs duties and taxes which are the responsibility of the recipient. See our Shipping Policy for the full list of countries.",Shipping,"[""international"", ""overseas"", ""abroad"", ""country"", ""global"", ""worldwide""]"
