id,method,difficulty,brew_time,equipment,coffee_to_water_ratio,grind_size,water_temperature,steps,tips,recommended_beans,description
1,Pour Over (V60),Intermediate,3-4 minutes,V60 dripper|V60 filters|Gooseneck kettle|Scale|Timer,1:15 (20g coffee to 300g water),Medium-Fine (like table salt),200-205°F (93-96°C),1. Rinse filter with hot water and discard|2. Add ground coffee and create small well in center|3. Start timer and pour 40g water in spiral motion (bloom)|4. Wait 30-45 seconds for bloom|5. Pour remaining water in slow spiral from center outward|6. Total brew time should be 3-3:30 minutes|7. Remove dripper when dripping stops,Use freshly roasted beans within 2-4 weeks|Grind just before brewing|Pour slowly and steadily|Aim for flat coffee bed after brewing,Ethiopian Yirgacheffe|Kenya AA|Any light to medium roast single origins,The Hario V60 offers exceptional clarity and highlights origin characteristics. Perfect for showcasing bright and complex single origin coffees.
2,French Press,Beginner,4 minutes,French Press|Kettle|Scale|Timer,1:12 (30g coffee to 360g water),Coarse (like sea salt),200°F (93°C),1. Preheat French Press with hot water|2. Add coarse ground coffee|3. Pour hot water over grounds|4. Stir gently after 1 minute|5. Place lid on without pressing|6. Wait until 4 minutes total|7. Press plunger slowly and steadily|8. Pour immediately to avoid over-extraction,Use coarse grind to prevent sediment|Don't let coffee sit in press after brewing|Clean mesh filter regularly|Stir at 1 minute mark,Sumatra Mandheling|Brazil Santos|Any full-bodied medium to dark roast,The French Press produces a rich and full-bodied cup with more oils and body than filtered methods. Great for dark roasts and earthy coffees.
3,AeroPress,Beginner,2 minutes,AeroPress|AeroPress filters|Kettle|Scale|Timer|Stirrer,1:12 (17g coffee to 200g water),Medium-Fine,175-185°F (80-85°C),1. Insert filter and rinse with hot water|2. Add coffee to chamber|3. Start timer and pour water|4. Stir for 10 seconds|5. Insert plunger to create seal|6. Wait until 1:30|7. Flip onto mug and press steadily for 30 seconds|8. Total time approximately 2 minutes,Experiment with inverted method|Try different temperatures|Shorter steep = brighter cup|Paper filters give cleaner cup,Colombia Huila|Guatemala Antigua|Versatile for most origins and roasts,The AeroPress is incredibly versatile and forgiving. It combines immersion and pressure for a clean yet full cup. Great for travel and experimentation.
4,Espresso,Advanced,25-30 seconds,Espresso machine|Grinder|Tamper|Scale|Timer,1:2 (18g coffee to 36g espresso),Fine (like powdered sugar),200-204°F (93-96°C),1. Purge group head with water|2. Dose 18g into portafilter|3. Distribute grounds evenly|4. Tamp with 30lbs pressure straight down|5. Lock portafilter and start immediately|6. Aim for 36g output in 25-30 seconds|7. Look for tiger striping and honey-like flow|8. Adjust grind if too fast or slow,Freshness is critical - use within 2 weeks of roast|Dial in daily as beans change|Clean machine regularly|Preheat cups,Espresso Classico Blend|Single Origin Ethiopia Espresso|Any espresso-labeled coffee,True espresso requires proper equipment and technique. The result is an intense concentrated shot with complex flavors and rich crema.
5,Cold Brew,Beginner,12-24 hours,Large jar or pitcher|Fine mesh strainer|Cheesecloth or coffee filter|Scale,1:8 (100g coffee to 800g water),Coarse (like raw sugar),Room temperature or cold,1. Combine coarse ground coffee and room temperature water|2. Stir to ensure all grounds are wet|3. Cover and refrigerate for 12-24 hours|4. Strain through fine mesh strainer|5. Strain again through cheesecloth or filter|6. Store concentrate in refrigerator|7. Dilute 1:1 with water or milk when serving|8. Keeps for up to 2 weeks refrigerated,Longer steep = stronger concentrate|Cold water = smoother result|Double strain for cleaner cup|Try different origins for variety,Cold Brew Blend|Brazil Santos Natural|Low acidity medium to dark roasts,Cold brew produces a smooth concentrated coffee with low acidity and natural sweetness. Perfect for hot summer days or as a mixer base.
6,Chemex,Intermediate,4-5 minutes,Chemex|Chemex filters|Gooseneck kettle|Scale|Timer,1:15 (42g coffee to 630g water),Medium-Coarse (like kosher salt),200-205°F (93-96°C),1. Fold filter with 3 layers toward spout|2. Rinse filter thoroughly and discard water|3. Add ground coffee|4. Pour 80g water and let bloom 45 seconds|5. Pour in slow circles to 300g|6. Wait for water to drain halfway|7. Continue pouring to 630g|8. Total brew time 4-5 minutes|9. Remove filter and serve,Thick Chemex filters remove more oils|Produces very clean cup|Great for sharing|Rinse filter well to remove paper taste,Kenya AA Nyeri|Panama Geisha|Light roast single origins with delicate flavors,The Chemex produces an exceptionally clean and bright cup thanks to its thick filters. Beautiful design makes it perfect for serving guests.
7,Moka Pot,Intermediate,5-7 minutes,Moka Pot|Stove or heat source|Kettle,1:7 (20g coffee to 140g water),Fine-Medium (between espresso and drip),Pre-heated water,1. Fill bottom chamber with pre-heated water to valve|2. Add fine-medium ground coffee to basket without tamping|3. Assemble pot tightly|4. Place on medium heat|5. Leave lid open to watch extraction|6. Coffee should flow steadily not sputter|7. Remove from heat when you hear gurgling|8. Run cold water on bottom to stop extraction,Use pre-heated water to avoid burning|Don't tamp the coffee|Remove from heat early|Clean threads regularly,Espresso Classico Blend|Dark Roast Reserve|Italian-style dark roasts,The Moka Pot produces strong concentrated coffee similar to espresso. A stovetop classic popular throughout Europe and Latin America.
8,Drip Machine,Beginner,5-8 minutes,Drip coffee maker|Paper filters|Scale,1:16 (60g coffee to 1000g water for 8 cups),Medium (like sand),195-205°F (90-96°C),1. Add fresh cold water to reservoir|2. Place filter in basket|3. Add medium ground coffee|4. Start machine|5. Coffee brews automatically|6. Serve immediately after brewing|7. Don't leave on hot plate more than 30 minutes,Use quality machine with proper temperature|Clean regularly with vinegar|Use filtered water|Ratio varies by machine,House Blend|Morning Ritual Blend|Breakfast Blend|Medium roasts,Automatic drip is the most convenient brewing method. Modern machines with precise temperature control can produce excellent results.
9,Siphon,Advanced,5-6 minutes,Siphon brewer|Siphon filters|Heat source|Scale|Timer,1:14 (25g coffee to 350g water),Medium (like table salt),200°F (93°C),1. Add water to bottom chamber|2. Insert filter in top chamber|3. Apply heat until water rises|4. Add coffee and stir gently|5. Brew for 60-90 seconds|6. Remove heat source|7. Coffee draws back to bottom chamber|8. Serve immediately,Produces theatrical presentation|Very clean bright cup|Requires attention and practice|Great for showcasing special coffees,Panama Geisha|Rwanda Nyamasheke|Exceptional light roast single origins,The siphon brewer is theatrical and produces an exceptionally clean and aromatic cup. Popular in specialty cafes for showcasing premium coffees.
10,Turkish Coffee,Intermediate,3-5 minutes,Ibrik (cezve)|Small heat source|Demitasse cups|Scale,1:9 (10g coffee to 90g water),Extra Fine (like flour),Cold start then heated slowly,1. Add cold water to ibrik|2. Add extra fine ground coffee and sugar if desired|3. Stir to combine|4. Place on low heat|5. Do not stir once heating begins|6. Watch for foam to rise|7. Remove from heat just before boiling|8. Pour slowly including foam|9. Let grounds settle before drinking,Never boil - remove at first rise|Traditional to serve with Turkish delight|Grounds settle in cup - don't drink them|Experiment with cardamom,Dark Roast Reserve|Any dark roast ground extra fine,Turkish coffee is one of the oldest brewing methods. The extra-fine grounds create a thick and intense cup with ritual significance in many cultures.
