id,product_id,name,price,sku,inventory_count,attributes
var_001_1lb,prod_001,Bananas - 1 lb,0.59,BAN-1LB,100,"""{""""quantity"""": """"1 lb""""}"""
var_001_bunch,prod_001,Bananas - Bunch (approx 2 lb),1.09,BAN-BUNCH,100,"""{""""quantity"""": """"bunch""""}"""
var_002_single,prod_002,Organic Avocado - Single,2.49,AVO-1,40,"""{""""quantity"""": """"1""""}"""
var_002_3pack,prod_002,Organic Avocados - 3 Pack,5.99,AVO-3,40,"""{""""quantity"""": """"3 pack""""}"""
var_003_5oz,prod_003,Baby Spinach - 5 oz,4.99,SPN-5OZ,30,"""{""""size"""": """"5 oz""""}"""
var_003_16oz,prod_003,Baby Spinach - 16 oz,7.99,SPN-16OZ,30,"""{""""size"""": """"16 oz""""}"""
var_004_single,prod_004,Red Bell Pepper - Single,1.99,RBP-1,50,"""{""""quantity"""": """"1""""}"""
var_004_3pack,prod_004,Red Bell Peppers - 3 Pack,4.99,RBP-3,50,"""{""""quantity"""": """"3 pack""""}"""
var_005_half,prod_005,Organic Whole Milk - Half Gallon,3.99,MILK-HG,25,"""{""""size"""": """"half gallon""""}"""
var_005_gallon,prod_005,Organic Whole Milk - Gallon,6.49,MILK-G,25,"""{""""size"""": """"gallon""""}"""
var_006_dozen,prod_006,Large Eggs - Dozen,4.99,EGG-12,40,"""{""""quantity"""": """"12""""}"""
var_006_18,prod_006,Large Eggs - 18 Count,6.99,EGG-18,40,"""{""""quantity"""": """"18""""}"""
var_007_16oz,prod_007,Greek Yogurt - 16 oz,3.49,GYG-16OZ,30,"""{""""size"""": """"16 oz""""}"""
var_007_32oz,prod_007,Greek Yogurt - 32 oz,5.99,GYG-32OZ,30,"""{""""size"""": """"32 oz""""}"""
var_008_8oz,prod_008,Sharp Cheddar - 8 oz Block,7.99,CHED-8OZ,20,"""{""""size"""": """"8 oz""""}"""
var_008_16oz,prod_008,Sharp Cheddar - 16 oz Block,12.99,CHED-16OZ,20,"""{""""size"""": """"16 oz""""}"""
var_009_1lb,prod_009,Chicken Breast - 1 lb,8.99,CHK-1LB,25,"""{""""weight"""": """"1 lb""""}"""
var_009_3lb,prod_009,Chicken Breast - 3 lb Value Pack,23.99,CHK-3LB,20,"""{""""weight"""": """"3 lb""""}"""
var_010_1lb,prod_010,Ground Beef 80/20 - 1 lb,6.99,GBF-1LB,25,"""{""""weight"""": """"1 lb""""}"""
var_010_3lb,prod_010,Ground Beef 80/20 - 3 lb Chub,18.99,GBF-3LB,25,"""{""""weight"""": """"3 lb""""}"""
var_011_half,prod_011,Atlantic Salmon - 0.5 lb,6.99,SAL-HLB,15,"""{""""weight"""": """"0.5 lb""""}"""
var_011_1lb,prod_011,Atlantic Salmon - 1 lb,12.99,SAL-1LB,15,"""{""""weight"""": """"1 lb""""}"""
var_012_12oz,prod_012,Bacon - 12 oz,5.99,BCN-12OZ,30,"""{""""size"""": """"12 oz""""}"""
var_012_16oz,prod_012,Bacon - 16 oz,7.49,BCN-16OZ,25,"""{""""size"""": """"16 oz""""}"""
var_013_16oz,prod_013,Spaghetti - 16 oz,1.99,SPG-16OZ,60,"""{""""size"""": """"16 oz""""}"""
var_013_32oz,prod_013,Spaghetti - 32 oz,3.49,SPG-32OZ,60,"""{""""size"""": """"32 oz""""}"""
var_014_24oz,prod_014,Marinara Sauce - 24 oz,4.49,MAR-24OZ,40,"""{""""size"""": """"24 oz""""}"""
var_014_48oz,prod_014,Marinara Sauce - 48 oz,7.49,MAR-48OZ,35,"""{""""size"""": """"48 oz""""}"""
var_015_2lb,prod_015,Jasmine Rice - 2 lb,4.49,RICE-2LB,30,"""{""""size"""": """"2 lb""""}"""
var_015_5lb,prod_015,Jasmine Rice - 5 lb,8.99,RICE-5LB,30,"""{""""size"""": """"5 lb""""}"""
var_016_15oz,prod_016,Black Beans - 15 oz Can,1.29,BBN-15OZ,75,"""{""""size"""": """"15 oz""""}"""
var_016_4pack,prod_016,Black Beans - 4 Pack,4.49,BBN-4PK,75,"""{""""size"""": """"4 pack""""}"""
var_017_single,prod_017,Frozen Pepperoni Pizza - Single,7.99,FPZ-1,20,"""{""""quantity"""": """"1""""}"""
var_017_2pack,prod_017,Frozen Pepperoni Pizza - 2 Pack,14.49,FPZ-2,20,"""{""""quantity"""": """"2 pack""""}"""
var_018_pint,prod_018,Vanilla Ice Cream - Pint,5.99,ICE-PINT,20,"""{""""size"""": """"pint""""}"""
var_018_quart,prod_018,Vanilla Ice Cream - Quart,8.99,ICE-QUART,15,"""{""""size"""": """"quart""""}"""
var_019_12oz,prod_019,Frozen Broccoli - 12 oz,2.99,FBR-12OZ,35,"""{""""size"""": """"12 oz""""}"""
var_019_32oz,prod_019,Frozen Broccoli - 32 oz,5.99,FBR-32OZ,35,"""{""""size"""": """"32 oz""""}"""
var_020_52oz,prod_020,Orange Juice - 52 oz,6.99,OJ-52OZ,25,"""{""""size"""": """"52 oz""""}"""
var_020_89oz,prod_020,Orange Juice - 89 oz,9.99,OJ-89OZ,20,"""{""""size"""": """"89 oz""""}"""
var_021_12oz,prod_021,Medium Roast Coffee - 12 oz,9.99,COF-12OZ,30,"""{""""size"""": """"12 oz""""}"""
var_021_24oz,prod_021,Medium Roast Coffee - 24 oz,16.99,COF-24OZ,25,"""{""""size"""": """"24 oz""""}"""
var_022_12pk,prod_022,Sparkling Water - 12 Pack,4.99,SPW-12PK,45,"""{""""quantity"""": """"12 pack""""}"""
var_022_24pk,prod_022,Sparkling Water - 24 Pack,8.99,SPW-24PK,45,"""{""""quantity"""": """"24 pack""""}"""
var_023_loaf,prod_023,Sourdough Bread - Loaf,5.49,SDB-LOAF,25,"""{""""size"""": """"loaf""""}"""
var_024_4ct,prod_024,Croissants - 4 Count,4.99,CRS-4CT,15,"""{""""quantity"""": """"4""""}"""
var_024_8ct,prod_024,Croissants - 8 Count,8.99,CRS-8CT,15,"""{""""quantity"""": """"8""""}"""
var_025_8oz,prod_025,Potato Chips - 8 oz,3.99,CHP-8OZ,40,"""{""""size"""": """"8 oz""""}"""
var_025_16oz,prod_025,Potato Chips - 16 oz Party Size,6.49,CHP-16OZ,40,"""{""""size"""": """"16 oz""""}"""
var_026_1lb,prod_026,Classic Kitchen Apples - 1 lb,2.93,APP-026-1 L,67,"{""size"": ""1 lb""}"
var_026_3lb,prod_026,Classic Kitchen Apples - 3 lb,7.91,APP-026-3 L,32,"{""size"": ""3 lb""}"
var_027_1lb,prod_027,Mountain Fresh Organic Apples - 1 lb,3.8,APP-027-1 L,14,"{""size"": ""1 lb""}"
var_027_3lb,prod_027,Mountain Fresh Organic Apples - 3 lb,10.26,APP-027-3 L,58,"{""size"": ""3 lb""}"
var_028_1lb,prod_028,Premium Select Organic Apples - 1 lb,2.35,APP-028-1 L,12,"{""size"": ""1 lb""}"
var_028_3lb,prod_028,Premium Select Organic Apples - 3 lb,6.35,APP-028-3 L,33,"{""size"": ""3 lb""}"
var_029_1lb,prod_029,Fresh Farms Apples - 1 lb,1.61,APP-029-1 L,29,"{""size"": ""1 lb""}"
var_029_3lb,prod_029,Fresh Farms Apples - 3 lb,4.35,APP-029-3 L,30,"{""size"": ""3 lb""}"
var_030_1lb,prod_030,Home Style Oranges - 1 lb,1.33,ORA-030-1 L,62,"{""size"": ""1 lb""}"
var_030_3lb,prod_030,Home Style Oranges - 3 lb,3.59,ORA-030-3 L,26,"{""size"": ""3 lb""}"
var_031_1lb,prod_031,Fresh Farms Oranges - 1 lb,2.29,ORA-031-1 L,39,"{""size"": ""1 lb""}"
var_031_3lb,prod_031,Fresh Farms Oranges - 3 lb,6.18,ORA-031-3 L,29,"{""size"": ""3 lb""}"
var_032_1lb,prod_032,Green Valley Grapes - 1 lb,4.02,GRA-032-1 L,18,"{""size"": ""1 lb""}"
var_032_3lb,prod_032,Green Valley Grapes - 3 lb,10.85,GRA-032-3 L,21,"{""size"": ""3 lb""}"
var_033_1lb,prod_033,Fresh Farms Organic Grapes - 1 lb,7.62,GRA-033-1 L,45,"{""size"": ""1 lb""}"
var_033_3lb,prod_033,Fresh Farms Organic Grapes - 3 lb,20.57,GRA-033-3 L,69,"{""size"": ""3 lb""}"
var_034_16oz,prod_034,Meadow Gold Strawberries - 16 oz,4.49,STR-034-16,15,"{""size"": ""16 oz""}"
var_035_16oz,prod_035,Green Valley Strawberries - 16 oz,4.22,STR-035-16,76,"{""size"": ""16 oz""}"
var_036_16oz,prod_036,Simply Good Strawberries - 16 oz,5.97,STR-036-16,26,"{""size"": ""16 oz""}"
var_037_16oz,prod_037,Nature's Best Organic Strawberries - 16 oz,5.53,STR-037-16,25,"{""size"": ""16 oz""}"
var_038_6oz,prod_038,Daily Delight Blueberries - 6 oz,6.16,BLU-038-6 O,59,"{""size"": ""6 oz""}"
var_039_6oz,prod_039,Mountain Fresh Blueberries - 6 oz,6.09,BLU-039-6 O,50,"{""size"": ""6 oz""}"
var_040_6oz,prod_040,Green Valley Organic Blueberries - 6 oz,6.85,BLU-040-6 O,46,"{""size"": ""6 oz""}"
var_041_6oz,prod_041,Green Valley Blueberries - 6 oz,4.76,BLU-041-6 O,60,"{""size"": ""6 oz""}"
var_042_single,prod_042,Simply Good Lemons - single,0.74,LEM-042-SIN,35,"{""size"": ""single""}"
var_042_3pack,prod_042,Simply Good Lemons - 3 pack,1.85,LEM-042-3 P,21,"{""size"": ""3 pack""}"
var_043_single,prod_043,Classic Kitchen Lemons - single,0.61,LEM-043-SIN,56,"{""size"": ""single""}"
var_043_3pack,prod_043,Classic Kitchen Lemons - 3 pack,1.52,LEM-043-3 P,66,"{""size"": ""3 pack""}"
var_044_single,prod_044,Simply Good Organic Lemons - single,0.68,LEM-044-SIN,36,"{""size"": ""single""}"
