id,brand,model,socket,chipset,form_factor,memory_slots,max_memory_gb,memory_type,pcie_x16_slots,m2_slots,usb_ports,wifi,price,in_stock,rating,review_count
MB001,ASUS,ROG Maximus Z790 Hero,LGA1700,Z790,ATX,4,192,DDR5,2,5,14,WiFi 6E,629.99,true,4.3,10731
MB002,ASUS,ROG Strix Z790-E Gaming WiFi,LGA1700,Z790,ATX,4,128,DDR5,2,4,12,WiFi 6E,469.99,true,4.4,10741
MB003,ASUS,ROG Strix Z790-A Gaming WiFi,LGA1700,Z790,ATX,4,128,DDR5,2,4,11,WiFi 6E,399.99,true,4.9,9933
MB004,ASUS,TUF Gaming Z790-Plus WiFi,LGA1700,Z790,ATX,4,128,DDR5,2,4,10,WiFi 6,289.99,true,4.7,5688
MB005,ASUS,Prime Z790-P WiFi,LGA1700,Z790,ATX,4,128,DDR5,2,3,8,WiFi 6,229.99,true,4.8,14775
MB006,ASUS,ROG Strix B760-F Gaming WiFi,LGA1700,B760,ATX,4,128,DDR5,2,3,10,WiFi 6E,259.99,true,4.3,3881
MB007,ASUS,TUF Gaming B760M-Plus WiFi,LGA1700,B760,mATX,4,128,DDR5,1,2,8,WiFi 6,179.99,true,4.1,4769
MB008,MSI,MEG Z790 ACE,LGA1700,Z790,ATX,4,192,DDR5,2,5,13,WiFi 6E,699.99,true,4.7,10253
MB009,MSI,MPG Z790 Carbon WiFi,LGA1700,Z790,ATX,4,128,DDR5,2,5,12,WiFi 6E,479.99,true,4.9,2648
MB010,MSI,MAG Z790 Tomahawk WiFi,LGA1700,Z790,ATX,4,128,DDR5,2,4,11,WiFi 6E,289.99,true,4.1,13746
MB011,MSI,PRO Z790-A WiFi,LGA1700,Z790,ATX,4,128,DDR5,2,4,10,WiFi 6E,229.99,true,4.6,5147
MB012,MSI,MAG B760M Mortar WiFi,LGA1700,B760,mATX,4,128,DDR5,1,2,9,WiFi 6E,179.99,true,4.9,1452
MB013,Gigabyte,Z790 AORUS Master,LGA1700,Z790,ATX,4,192,DDR5,2,5,14,WiFi 6E,549.99,true,4.8,2316
MB014,Gigabyte,Z790 AORUS Elite AX,LGA1700,Z790,ATX,4,128,DDR5,2,4,12,WiFi 6E,289.99,true,4.9,8638
MB015,Gigabyte,B760 AORUS Elite AX,LGA1700,B760,ATX,4,128,DDR5,2,3,10,WiFi 6E,199.99,true,4.8,6873
MB016,ASRock,Z790 Taichi,LGA1700,Z790,ATX,4,128,DDR5,2,4,13,WiFi 6E,499.99,true,4.9,6472
MB017,ASRock,Z790 PG Lightning,LGA1700,Z790,ATX,4,128,DDR5,2,4,10,false,199.99,true,4.1,4711
MB018,ASUS,ROG Crosshair X670E Hero,AM5,X670E,ATX,4,128,DDR5,2,4,14,WiFi 6E,699.99,true,4.9,10221
MB019,ASUS,ROG Strix X670E-E Gaming WiFi,AM5,X670E,ATX,4,128,DDR5,2,4,12,WiFi 6E,479.99,true,4.0,11801
MB020,ASUS,TUF Gaming X670E-Plus WiFi,AM5,X670E,ATX,4,128,DDR5,2,4,10,WiFi 6E,329.99,true,4.2,4769
MB021,ASUS,ROG Strix B650E-E Gaming WiFi,AM5,B650E,ATX,4,128,DDR5,2,3,12,WiFi 6E,349.99,true,4.4,9576
MB022,ASUS,TUF Gaming B650-Plus WiFi,AM5,B650,ATX,4,128,DDR5,2,3,9,WiFi 6,219.99,true,4.7,12997
MB023,ASUS,Prime B650M-A AX,AM5,B650,mATX,4,128,DDR5,1,2,8,WiFi 6,159.99,true,4.2,12833
MB024,MSI,MEG X670E ACE,AM5,X670E,ATX,4,128,DDR5,2,4,13,WiFi 6E,699.99,true,4.2,10212
MB025,MSI,MPG X670E Carbon WiFi,AM5,X670E,ATX,4,128,DDR5,2,4,12,WiFi 6E,479.99,true,4.8,1016
MB026,MSI,MAG X670E Tomahawk WiFi,AM5,X670E,ATX,4,128,DDR5,2,4,10,WiFi 6E,299.99,true,4.7,12187
MB027,MSI,MAG B650 Tomahawk WiFi,AM5,B650,ATX,4,128,DDR5,2,3,10,WiFi 6E,239.99,true,4.2,3645
MB028,MSI,PRO B650M-A WiFi,AM5,B650,mATX,4,128,DDR5,1,2,8,WiFi 6E,159.99,true,4.7,14941
MB029,Gigabyte,X670E AORUS Master,AM5,X670E,ATX,4,128,DDR5,2,4,14,WiFi 6E,519.99,true,4.1,5417
MB030,Gigabyte,B650 AORUS Elite AX,AM5,B650,ATX,4,128,DDR5,2,3,10,WiFi 6E,199.99,true,4.1,13579
MB031,ASRock,X670E Taichi,AM5,X670E,ATX,4,128,DDR5,2,4,12,WiFi 6E,499.99,true,4.2,8315
MB032,ASUS,ROG Strix B550-F Gaming WiFi II,AM4,B550,ATX,4,128,DDR4,2,2,10,WiFi 6,189.99,true,4.0,4935
MB033,MSI,MAG B550 Tomahawk,AM4,B550,ATX,4,128,DDR4,2,2,9,false,159.99,true,4.6,112
MB034,Gigabyte,B550 AORUS Pro AC,AM4,B550,ATX,4,128,DDR4,2,2,10,WiFi 5,169.99,true,5.0,12108
MB035,ASRock,B550M Steel Legend,AM4,B550,mATX,4,128,DDR4,1,2,8,false,109.99,true,5.0,7030
MB036,ASRock,B550 Phantom Gaming-ITX/ax,AM4,B550,ITX,2,64,DDR4,1,1,6,WiFi 6,189.99,true,4.6,6862
MB037,Gigabyte,B550I AORUS Pro AX,AM4,B550,ITX,2,64,DDR4,1,1,6,WiFi 6,199.99,true,4.5,10103
MB038,ASUS,ROG Strix B550-I Gaming,AM4,B550,ITX,2,64,DDR4,1,2,7,WiFi 6,219.99,true,4.6,5998
MB039,MSI,MPG B550I Gaming Edge WiFi,AM4,B550,ITX,2,64,DDR4,1,1,6,WiFi 6,189.99,true,4.6,9427
MB040,ASUS,ROG Strix Z790-I Gaming WiFi,LGA1700,Z790,ITX,2,96,DDR5,1,2,8,WiFi 6E,449.99,true,4.8,6759
MB041,Gigabyte,Z790I AORUS Ultra,LGA1700,Z790,ITX,2,96,DDR5,1,3,7,WiFi 6E,449.99,true,4.0,7053
MB042,MSI,MEG Z790I ACE,LGA1700,Z790,ITX,2,96,DDR5,1,3,8,WiFi 6E,499.99,true,4.1,14398
MB043,ASRock,Z790I Lightning WiFi,LGA1700,Z790,ITX,2,96,DDR5,1,2,7,WiFi 6E,349.99,true,4.4,10425
MB044,ASUS,ROG Strix B650E-I Gaming WiFi,AM5,B650E,ITX,2,96,DDR5,1,2,8,WiFi 6E,329.99,true,4.5,14462
MB045,Gigabyte,B650I AORUS Ultra,AM5,B650,ITX,2,96,DDR5,1,2,7,WiFi 6E,289.99,true,4.8,6824
MB046,MSI,MPG B650I Edge WiFi,AM5,B650,ITX,2,96,DDR5,1,2,7,WiFi 6E,279.99,true,4.4,3943
MB047,ASRock,B650I Lightning WiFi,AM5,B650,ITX,2,96,DDR5,1,2,6,WiFi 6E,219.99,true,4.7,6855
MB048,ASUS,ProArt Z790-Creator WiFi,LGA1700,Z790,ATX,4,128,DDR5,2,4,14,WiFi 6E,499.99,true,4.7,11058
MB049,Gigabyte,Z790 AORUS Xtreme,LGA1700,Z790,E-ATX,4,192,DDR5,2,5,16,WiFi 6E,799.99,true,4.9,13288
MB050,MSI,MEG Z790 GODLIKE,LGA1700,Z790,E-ATX,4,192,DDR5,2,5,16,WiFi 6E,1099.99,true,4.9,8100
MB051,ASRock,Z790 Taichi Carrara,LGA1700,Z790,ATX,4,192,DDR5,2,5,14,WiFi 6E,649.99,true,4.9,13597
MB052,ASUS,ROG Crosshair X670E Extreme,AM5,X670E,E-ATX,4,128,DDR5,2,5,16,WiFi 6E,899.99,true,4.2,2101
MB053,Gigabyte,X670E AORUS Xtreme,AM5,X670E,E-ATX,4,128,DDR5,2,5,15,WiFi 6E,799.99,true,4.2,8678
MB054,MSI,MEG X670E GODLIKE,AM5,X670E,E-ATX,4,128,DDR5,2,5,16,WiFi 6E,999.99,true,4.5,12369
MB055,ASRock,X670E Taichi Carrara,AM5,X670E,ATX,4,128,DDR5,2,4,14,WiFi 6E,599.99,true,4.6,1233
MB056,ASUS,ROG Strix Z790-F Gaming WiFi,LGA1700,Z790,ATX,4,128,DDR5,2,4,12,WiFi 6E,429.99,true,5.0,725
MB057,ASUS,ROG Strix Z790-H Gaming WiFi,LGA1700,Z790,ATX,4,128,DDR5,2,4,11,WiFi 6,319.99,true,4.6,14086
MB058,MSI,PRO Z790-P WiFi,LGA1700,Z790,ATX,4,128,DDR5,2,3,9,WiFi 6,199.99,true,4.9,8421
MB059,Gigabyte,Z790 UD AC,LGA1700,Z790,ATX,4,128,DDR5,2,3,8,WiFi 6,189.99,true,5.0,4263
MB060,ASRock,Z790 Pro RS WiFi,LGA1700,Z790,ATX,4,128,DDR5,2,4,10,WiFi 6,199.99,true,4.6,12431
MB061,ASUS,Prime Z790-A WiFi,LGA1700,Z790,ATX,4,128,DDR5,2,4,11,WiFi 6,289.99,true,4.4,72
MB062,ASUS,TUF Gaming B760-Plus WiFi D4,LGA1700,B760,ATX,4,128,DDR4,2,2,9,WiFi 6,169.99,true,4.9,8376
MB063,MSI,MAG B760 Tomahawk WiFi DDR4,LGA1700,B760,ATX,4,128,DDR4,2,2,10,WiFi 6,179.99,true,4.2,10445
MB064,Gigabyte,B760 DS3H,LGA1700,B760,ATX,4,128,DDR5,1,2,8,false,109.99,true,4.1,11635
MB065,ASRock,B760M Pro RS/D4 WiFi,LGA1700,B760,mATX,4,128,DDR4,1,2,8,WiFi 6,119.99,true,4.2,6098
MB066,ASUS,Prime B760M-A WiFi,LGA1700,B760,mATX,4,128,DDR5,1,2,9,WiFi 6,149.99,true,4.8,2919
MB067,MSI,PRO B760M-E DDR4,LGA1700,B760,mATX,2,64,DDR4,1,1,6,false,89.99,true,4.8,5676
MB068,ASUS,ROG Strix X670E-F Gaming WiFi,AM5,X670E,ATX,4,128,DDR5,2,4,12,WiFi 6E,449.99,true,5.0,7922
MB069,MSI,MAG X670E Tomahawk WiFi,AM5,X670E,ATX,4,128,DDR5,2,3,11,WiFi 6E,289.99,true,4.3,431
MB070,Gigabyte,X670 AORUS Elite AX,AM5,X670,ATX,4,128,DDR5,2,4,11,WiFi 6E,269.99,true,4.7,1346
MB071,ASRock,X670E Pro RS,AM5,X670E,ATX,4,128,DDR5,2,4,10,false,239.99,true,4.2,11509
MB072,ASUS,TUF Gaming A620M-Plus WiFi,AM5,A620,mATX,4,128,DDR5,1,1,8,WiFi 6,139.99,true,4.8,6272
MB073,MSI,PRO A620M-E,AM5,A620,mATX,2,64,DDR5,1,1,6,false,79.99,true,4.6,9011
MB074,Gigabyte,A620M Gaming X,AM5,A620,mATX,4,128,DDR5,1,1,7,false,99.99,true,4.4,13547
MB075,ASRock,A620M-HDV/M.2,AM5,A620,mATX,2,64,DDR5,1,1,6,false,79.99,true,4.7,3240
MB076,ASUS,ProArt X670E-Creator WiFi,AM5,X670E,ATX,4,128,DDR5,2,4,14,WiFi 6E,499.99,true,4.7,1858
MB077,ASUS,ROG Maximus Z790 Extreme,LGA1700,Z790,E-ATX,4,192,DDR5,2,5,16,WiFi 6E,799.99,true,4.4,12530
MB078,ASUS,ROG Maximus Z790 Apex,LGA1700,Z790,ATX,2,64,DDR5,2,2,10,WiFi 6E,699.99,true,4.4,14604
MB079,MSI,MPG Z790 Edge WiFi,LGA1700,Z790,ATX,4,128,DDR5,2,4,11,WiFi 6E,369.99,true,4.4,12965
MB080,Gigabyte,Z790 AORUS Pro X,LGA1700,Z790,ATX,4,128,DDR5,2,4,13,WiFi 6E,399.99,true,4.1,7592
