product_id,name,brand,category,subcategory,description,price,size,color,ingredients,rating,review_count,image_url,product_url,in_stock,is_bestseller,is_new,is_sale,sale_price,clean_beauty
SPH0001,Soft Matte Foundation - Tan,Laura Mercier,Face,Foundation,Laura Mercier Full coverage liquid foundation with soft matte finish. A cult favorite.,35.07,1 oz / 30 mL,Tan,"Dimethicone, Phenoxyethanol, Glycerin, Water, Talc, Synthetic Colors, Chamomile Extract, Green Tea Extract",4.6,14087,https://sephora.com/images/SPH0001.jpg,https://sephora.com/product/SPH0001,1,0,0,0,,0
SPH0002,Luminous Silk Foundation - Light,Clinique,Face,Foundation,Clinique Medium coverage foundation with natural glow. Award-winning formula.,26.63,1.35 oz / 40 mL,Light,"Sodium Hyaluronate, Dimethicone, Cyclopentasiloxane, Phenoxyethanol, Polyethylene, Parabens, Chamomile Extract, Coconut Oil",4.5,12478,https://sephora.com/images/SPH0002.jpg,https://sephora.com/product/SPH0002,1,0,0,0,,0
SPH0003,Skin Tint - Deep,Lawless,Face,Foundation,Lawless Sheer coverage tinted moisturizer. Award-winning formula.,37.12,0.5 oz / 15 mL,Deep,"Phenoxyethanol, Cyclopentasiloxane, Water, Dimethicone, Vitamin E, Jojoba Oil, Aloe Vera",4.3,8189,https://sephora.com/images/SPH0003.jpg,https://sephora.com/product/SPH0003,1,0,0,0,,1
SPH0004,CC Cream - Light,Too Faced,Face,Foundation,Too Faced Color-correcting cream with SPF. Award-winning formula.,32.32,1.35 oz / 40 mL,Light,"Dimethicone, Tocopherol, Water, Glycerin, Talc, Mineral Oil, Aloe Vera, Squalane",4.0,9373,https://sephora.com/images/SPH0004.jpg,https://sephora.com/product/SPH0004,1,0,1,0,,0
SPH0005,Serum Foundation - Medium-Tan,RMS Beauty,Face,Foundation,RMS Beauty Lightweight serum foundation. Cruelty-free and vegan.,41.03,0.5 oz / 15 mL,Medium-Tan,"Tocopherol, Water, Sodium Hyaluronate, Dimethicone, Aloe Vera, Squalane, Vitamin E",3.8,4072,https://sephora.com/images/SPH0005.jpg,https://sephora.com/product/SPH0005,1,0,0,0,,1
SPH0006,Powder Foundation - Medium,Westman Atelier,Face,Foundation,Westman Atelier Buildable powder foundation. Cruelty-free and vegan.,53.75,0.5 oz / 15 mL,Medium,"Phenoxyethanol, Tocopherol, Dimethicone, Sodium Hyaluronate, Vitamin E, Chamomile Extract, Rosehip Oil",3.5,12816,https://sephora.com/images/SPH0006.jpg,https://sephora.com/product/SPH0006,1,0,0,0,,1
SPH0007,Cushion Foundation - Light-Medium,Tarte,Face,Foundation,Tarte Dewy cushion compact foundation. Dermatologist tested.,43.19,0.5 oz / 15 mL,Light-Medium,"Cyclopentasiloxane, Water, Phenoxyethanol, Sodium Hyaluronate, Coconut Oil, Argan Oil, Jojoba Oil",4.0,13071,https://sephora.com/images/SPH0007.jpg,https://sephora.com/product/SPH0007,1,0,0,0,,1
SPH0008,Full Coverage Concealer - Fair,RMS Beauty,Face,Concealer,RMS Beauty Long-wearing full coverage concealer. A cult favorite.,33.21,0.22 oz / 6.5 mL,Fair,"Water, Dimethicone, Tocopherol, Cyclopentasiloxane, Vitamin E, Argan Oil, Jojoba Oil",4.7,6183,https://sephora.com/images/SPH0008.jpg,https://sephora.com/product/SPH0008,1,1,0,0,,1
SPH0009,Brightening Concealer - Fair,Ami Cole,Face,Concealer,Ami Cole Color-correcting brightening concealer. Cruelty-free and vegan.,31.55,0.27 oz / 8 mL,Fair,"Sodium Hyaluronate, Cyclopentasiloxane, Phenoxyethanol, Water, Rosehip Oil, Jojoba Oil, Aloe Vera",4.2,14536,https://sephora.com/images/SPH0009.jpg,https://sephora.com/product/SPH0009,1,0,0,0,,1
SPH0010,Hydrating Concealer - Deep,Charlotte Tilbury,Face,Concealer,Charlotte Tilbury Moisturizing concealer for dry skin. Loved by beauty enthusiasts.,55.31,0.22 oz / 6.5 mL,Deep,"Water, Glycerin, Sodium Hyaluronate, Tocopherol, Synthetic Colors, Mineral Oil, Vitamin E, Squalane",3.6,12155,https://sephora.com/images/SPH0010.jpg,https://sephora.com/product/SPH0010,1,0,0,0,,0
