id,date,time_slot,available_capacity,zone
DS001,2026-01-25,9AM-12PM,5,Bay Area
DS002,2026-01-25,12PM-3PM,5,Bay Area
DS003,2026-01-25,3PM-6PM,5,Bay Area
DS004,2026-01-26,9AM-12PM,5,Bay Area
DS005,2026-01-26,12PM-3PM,5,Bay Area
DS006,2026-01-26,3PM-6PM,5,Bay Area
DS007,2026-01-27,9AM-12PM,5,Bay Area
DS008,2026-01-27,12PM-3PM,5,Bay Area
DS009,2026-01-27,3PM-6PM,5,Bay Area
DS010,2026-01-28,9AM-12PM,5,Bay Area
DS011,2026-01-28,12PM-3PM,5,Bay Area
DS012,2026-01-28,3PM-6PM,5,Bay Area
DS013,2026-01-25,9AM-12PM,5,Los Angeles
DS014,2026-01-25,12PM-3PM,5,Los Angeles
DS015,2026-01-25,3PM-6PM,5,Los Angeles
DS016,2026-01-26,9AM-12PM,5,Los Angeles
DS017,2026-01-26,12PM-3PM,5,Los Angeles
DS018,2026-01-26,3PM-6PM,5,Los Angeles
DS019,2026-01-27,9AM-12PM,5,Los Angeles
DS020,2026-01-27,12PM-3PM,5,Los Angeles
DS021,2026-01-27,3PM-6PM,5,Los Angeles
DS022,2026-01-28,9AM-12PM,5,Los Angeles
DS023,2026-01-28,12PM-3PM,5,Los Angeles
DS024,2026-01-28,3PM-6PM,5,Los Angeles
DS025,2026-01-29,9AM-12PM,5,General
DS026,2026-01-29,12PM-3PM,5,General
DS027,2026-01-29,3PM-6PM,5,General
DS028,2026-01-30,9AM-12PM,5,General
DS029,2026-01-30,12PM-3PM,5,General
DS030,2026-01-30,3PM-6PM,5,General
