id,name,description,price,currency,category,tags,image_url,product_url,inventory_count,created_at
prod_001,Classic Cotton T-Shirt,Soft breathable cotton t-shirt perfect for everyday wear. Features a relaxed fit and crew neckline.,29.99,USD,Tops,"""[""""cotton"""", """"casual"""", """"basic"""", """"t-shirt""""]""",/images/products/cotton-tshirt.jpg,/products/classic-cotton-tshirt,150,2024-01-15T10:00:00
prod_002,Silk Blend Blouse,Elegant silk blend blouse with a flattering drape. Perfect for office or evening wear.,89.99,USD,Tops,"""[""""silk"""", """"elegant"""", """"office"""", """"blouse""""]""",/images/products/silk-blouse.jpg,/products/silk-blend-blouse,45,2024-01-20T11:30:00
prod_003,Cashmere Crewneck Sweater,Luxuriously soft cashmere sweater. Lightweight warmth for cooler days.,149.99,USD,Tops,"""[""""cashmere"""", """"sweater"""", """"luxury"""", """"warm""""]""",/images/products/cashmere-sweater.jpg,/products/cashmere-crewneck-sweater,30,2024-02-01T09:00:00
prod_004,Linen Button-Down Shirt,Breathable linen shirt ideal for warm weather. Relaxed fit with mother-of-pearl buttons.,69.99,USD,Tops,"""[""""linen"""", """"summer"""", """"casual"""", """"shirt""""]""",/images/products/linen-shirt.jpg,/products/linen-button-down-shirt,60,2024-02-10T14:00:00
prod_005,Striped Polo Shirt,Classic polo with contrast stripes. Pique cotton for a refined casual look.,49.99,USD,Tops,"""[""""polo"""", """"cotton"""", """"preppy"""", """"casual""""]""",/images/products/striped-polo.jpg,/products/striped-polo-shirt,80,2024-02-15T10:30:00
prod_006,Slim Fit Jeans,Modern slim fit jeans in premium stretch denim. Comfortable all-day wear.,79.99,USD,Bottoms,"""[""""jeans"""", """"denim"""", """"slim fit"""", """"casual""""]""",/images/products/slim-jeans.jpg,/products/slim-fit-jeans,100,2024-01-10T08:00:00
prod_007,High-Waisted Wide Leg Trousers,Sophisticated wide leg trousers with a flattering high waist. Perfect for office to evening.,99.99,USD,Bottoms,"""[""""trousers"""", """"wide leg"""", """"office"""", """"elegant""""]""",/images/products/wide-trousers.jpg,/products/high-waisted-wide-leg-trousers,55,2024-01-25T12:00:00
prod_008,Pleated Midi Skirt,Flowing pleated skirt in lightweight fabric. Elegant movement with every step.,74.99,USD,Bottoms,"""[""""skirt"""", """"midi"""", """"pleated"""", """"feminine""""]""",/images/products/pleated-skirt.jpg,/products/pleated-midi-skirt,40,2024-02-05T11:00:00
prod_009,Chino Shorts,Classic chino shorts in breathable cotton twill. Perfect for warm weather casual.,44.99,USD,Bottoms,"""[""""shorts"""", """"chino"""", """"summer"""", """"casual""""]""",/images/products/chino-shorts.jpg,/products/chino-shorts,90,2024-03-01T09:30:00
prod_010,Athletic Joggers,Premium joggers with tapered fit. Soft fleece interior for ultimate comfort.,59.99,USD,Bottoms,"""[""""joggers"""", """"athletic"""", """"comfort"""", """"casual""""]""",/images/products/athletic-joggers.jpg,/products/athletic-joggers,70,2024-03-10T15:00:00
prod_011,Floral Wrap Dress,Beautiful wrap dress with floral print. Flattering silhouette for any occasion.,119.99,USD,Dresses,"""[""""wrap dress"""", """"floral"""", """"feminine"""", """"spring""""]""",/images/products/floral-wrap-dress.jpg,/products/floral-wrap-dress,35,2024-02-20T10:00:00
prod_012,Little Black Dress,Timeless sheath dress in elegant black. Versatile for day to night styling.,139.99,USD,Dresses,"""[""""LBD"""", """"black"""", """"elegant"""", """"classic""""]""",/images/products/little-black-dress.jpg,/products/little-black-dress,25,2024-01-05T13:00:00
prod_013,Summer Maxi Dress,Effortlessly chic maxi dress in breathable fabric. Perfect for beach or brunch.,89.99,USD,Dresses,"""[""""maxi"""", """"summer"""", """"casual"""", """"beach""""]""",/images/products/summer-maxi.jpg,/products/summer-maxi-dress,50,2024-03-15T11:30:00
prod_014,Leather Sneakers,Premium leather sneakers with cushioned insole. Clean minimal design for everyday style.,129.99,USD,Shoes,"""[""""sneakers"""", """"leather"""", """"casual"""", """"comfortable""""]""",/images/products/leather-sneakers.jpg,/products/leather-sneakers,65,2024-01-18T09:00:00
prod_015,Ankle Boots,Sleek ankle boots in soft suede. Block heel for comfortable all-day wear.,159.99,USD,Shoes,"""[""""boots"""", """"ankle"""", """"suede"""", """"fall""""]""",/images/products/ankle-boots.jpg,/products/ankle-boots,40,2024-02-12T14:30:00
prod_016,Strappy Sandals,Elegant strappy sandals with kitten heel. Perfect for summer occasions.,79.99,USD,Shoes,"""[""""sandals"""", """"strappy"""", """"summer"""", """"elegant""""]""",/images/products/strappy-sandals.jpg,/products/strappy-sandals,55,2024-03-05T10:00:00
prod_017,Classic Pumps,Timeless pointed-toe pumps. Versatile heel height for office or evening.,119.99,USD,Shoes,"""[""""pumps"""", """"heels"""", """"classic"""", """"office""""]""",/images/products/classic-pumps.jpg,/products/classic-pumps,45,2024-01-22T11:00:00
prod_018,Leather Tote Bag,Spacious leather tote with interior pockets. Perfect for work or weekend.,189.99,USD,Accessories,"""[""""bag"""", """"tote"""", """"leather"""", """"work""""]""",/images/products/leather-tote.jpg,/products/leather-tote-bag,30,2024-02-08T12:00:00
prod_019,Woven Leather Belt,Handcrafted woven leather belt with brass buckle. Artisan quality.,69.99,USD,Accessories,"""[""""belt"""", """"leather"""", """"woven"""", """"artisan""""]""",/images/products/woven-belt.jpg,/products/woven-leather-belt,50,2024-01-28T09:30:00
prod_020,Silk Scarf,Luxurious silk scarf with artistic print. Versatile styling options.,89.99,USD,Accessories,"""[""""scarf"""", """"silk"""", """"luxury"""", """"print""""]""",/images/products/silk-scarf.jpg,/products/silk-scarf,40,2024-02-25T15:00:00
prod_021,Heritage House Velvet T-Shirt,Soft cotton t-shirt for everyday wear Made from premium velvet. From Heritage House collection.,28.74,USD,Tops,"[""casual"", ""basic"", ""cotton"", ""velvet"", ""heritage-house""]",/images/products/t-shirt-21.jpg,/products/heritage-house-velvet-t-shirt,183,2025-09-26T17:16:23
prod_022,Urban Thread Tweed T-Shirt,Soft cotton t-shirt for everyday wear Made from premium tweed. From Urban Thread collection.,37.07,USD,Tops,"[""casual"", ""basic"", ""cotton"", ""tweed"", ""urban-thread""]",/images/products/t-shirt-22.jpg,/products/urban-thread-tweed-t-shirt,134,2025-09-04T17:16:23
prod_023,Essential Edit Suede T-Shirt,Soft cotton t-shirt for everyday wear Made from premium suede. From Essential Edit collection.,27.61,USD,Tops,"[""casual"", ""basic"", ""cotton"", ""suede"", ""essential-edit""]",/images/products/t-shirt-23.jpg,/products/essential-edit-suede-t-shirt,150,2025-11-02T17:16:23
prod_024,Chic Studio Linen T-Shirt,Soft cotton t-shirt for everyday wear Made from premium linen. From Chic Studio collection.,40.73,USD,Tops,"[""casual"", ""basic"", ""cotton"", ""linen"", ""chic-studio""]",/images/products/t-shirt-24.jpg,/products/chic-studio-linen-t-shirt,185,2025-08-31T17:16:23
prod_025,Artisan Apparel Suede T-Shirt,Soft cotton t-shirt for everyday wear Made from premium suede. From Artisan Apparel collection.,39.3,USD,Tops,"[""casual"", ""basic"", ""cotton"", ""suede"", ""artisan-apparel""]",/images/products/t-shirt-25.jpg,/products/artisan-apparel-suede-t-shirt,173,2025-06-20T17:16:23
prod_026,Pine & Oak Cashmere T-Shirt,Soft cotton t-shirt for everyday wear Made from premium cashmere. From Pine & Oak collection.,27.12,USD,Tops,"[""casual"", ""basic"", ""cotton"", ""cashmere"", ""pine-&-oak""]",/images/products/t-shirt-26.jpg,/products/pine-&-oak-cashmere-t-shirt,100,2025-09-08T17:16:23
prod_027,Essential Edit Chiffon T-Shirt,Soft cotton t-shirt for everyday wear Made from premium chiffon. From Essential Edit collection.,42.02,USD,Tops,"[""casual"", ""basic"", ""cotton"", ""chiffon"", ""essential-edit""]",/images/products/t-shirt-27.jpg,/products/essential-edit-chiffon-t-shirt,145,2025-03-03T17:16:23
prod_028,Essential Edit Rayon T-Shirt,Soft cotton t-shirt for everyday wear Made from premium rayon. From Essential Edit collection.,35.03,USD,Tops,"[""casual"", ""basic"", ""cotton"", ""rayon"", ""essential-edit""]",/images/products/t-shirt-28.jpg,/products/essential-edit-rayon-t-shirt,96,2025-08-29T17:16:23
