id,movie_id,theater_id,date,time,format,price,screen_number
ST001,MOV001,TH001,2024-12-20,10:30,IMAX,24.99,1
ST002,MOV001,TH001,2024-12-20,14:00,IMAX,24.99,1
ST003,MOV001,TH001,2024-12-20,17:30,IMAX,24.99,1
ST004,MOV001,TH001,2024-12-20,21:00,IMAX,24.99,1
ST005,MOV001,TH001,2024-12-20,11:00,Dolby Cinema,22.99,2
ST006,MOV001,TH001,2024-12-20,14:30,Dolby Cinema,22.99,2
ST007,MOV001,TH001,2024-12-20,18:00,Dolby Cinema,22.99,2
ST008,MOV001,TH001,2024-12-20,21:30,Dolby Cinema,22.99,2
ST009,MOV001,TH002,2024-12-20,11:00,IMAX,23.99,1
ST010,MOV001,TH002,2024-12-20,14:30,IMAX,23.99,1
ST011,MOV001,TH002,2024-12-20,18:00,IMAX,23.99,1
ST012,MOV001,TH002,2024-12-20,21:30,IMAX,23.99,1
ST013,MOV001,TH004,2024-12-20,12:00,Standard,16.99,5
ST014,MOV001,TH004,2024-12-20,15:30,Standard,16.99,5
ST015,MOV001,TH004,2024-12-20,19:00,Standard,18.99,5
ST016,MOV001,TH004,2024-12-20,22:30,Standard,18.99,5
ST017,MOV002,TH001,2024-12-20,10:00,IMAX,24.99,1
ST018,MOV002,TH001,2024-12-20,13:00,Standard,16.99,3
ST019,MOV002,TH001,2024-12-20,16:00,Standard,16.99,3
ST020,MOV002,TH001,2024-12-20,19:00,Standard,18.99,3
ST021,MOV002,TH001,2024-12-20,22:00,Standard,18.99,3
ST022,MOV002,TH005,2024-12-20,11:30,IMAX,24.99,1
ST023,MOV002,TH005,2024-12-20,15:00,IMAX,24.99,1
ST024,MOV002,TH005,2024-12-20,18:30,IMAX,24.99,1
ST025,MOV002,TH005,2024-12-20,22:00,IMAX,24.99,1
ST026,MOV003,TH001,2024-12-20,10:00,Standard,14.99,4
ST027,MOV003,TH001,2024-12-20,12:30,Standard,14.99,4
ST028,MOV003,TH001,2024-12-20,15:00,Standard,14.99,4
ST029,MOV003,TH001,2024-12-20,17:30,Standard,16.99,4
ST030,MOV003,TH002,2024-12-20,11:00,Standard,14.99,3
ST031,MOV003,TH002,2024-12-20,13:30,Standard,14.99,3
ST032,MOV003,TH002,2024-12-20,16:00,Standard,14.99,3
ST033,MOV003,TH003,2024-12-20,12:00,Standard,15.99,2
ST034,MOV003,TH003,2024-12-20,14:30,Standard,15.99,2
ST035,MOV003,TH003,2024-12-20,17:00,Standard,17.99,2
ST036,MOV004,TH001,2024-12-20,10:30,Dolby Cinema,22.99,2
ST037,MOV004,TH001,2024-12-20,13:30,Dolby Cinema,22.99,2
ST038,MOV004,TH001,2024-12-20,16:30,Dolby Cinema,22.99,2
ST039,MOV004,TH001,2024-12-20,19:30,Dolby Cinema,22.99,2
ST040,MOV004,TH004,2024-12-20,11:00,Standard,16.99,6
ST041,MOV004,TH004,2024-12-20,14:00,Standard,16.99,6
ST042,MOV004,TH004,2024-12-20,17:00,Standard,18.99,6
ST043,MOV004,TH004,2024-12-20,20:00,Standard,18.99,6
ST044,MOV005,TH001,2024-12-20,13:00,Standard,16.99,5
ST045,MOV005,TH001,2024-12-20,15:30,Standard,16.99,5
ST046,MOV005,TH001,2024-12-20,18:00,Standard,18.99,5
ST047,MOV005,TH001,2024-12-20,20:30,Standard,18.99,5
ST048,MOV005,TH001,2024-12-20,23:00,Standard,18.99,5
ST049,MOV005,TH002,2024-12-20,14:00,Dolby Cinema,21.99,2
ST050,MOV005,TH002,2024-12-20,17:00,Dolby Cinema,21.99,2
ST051,MOV005,TH002,2024-12-20,20:00,Dolby Cinema,21.99,2
ST052,MOV005,TH002,2024-12-20,23:00,Dolby Cinema,21.99,2
ST053,MOV006,TH001,2024-12-20,09:30,Standard,14.99,6
ST054,MOV006,TH001,2024-12-20,12:00,Standard,14.99,6
ST055,MOV006,TH001,2024-12-20,14:30,Standard,14.99,6
ST056,MOV006,TH001,2024-12-20,17:00,Standard,16.99,6
ST057,MOV006,TH001,2024-12-20,19:30,Standard,16.99,6
ST058,MOV006,TH003,2024-12-20,10:00,Standard,14.99,1
ST059,MOV006,TH003,2024-12-20,12:30,Standard,14.99,1
ST060,MOV006,TH003,2024-12-20,15:00,Standard,14.99,1
