asin,title,description,price,currency,category,brand,rating,review_count,image_url,product_url,in_stock,prime_eligible
B08N5WRWNW,Apple AirPods Pro (2nd Generation),"""Active Noise Cancellation and Transparency mode. Adaptive Audio dynamically adjusts noise control. Personalized Spatial Audio with head tracking.""",249.00,USD,Electronics,Apple,4.7,52340,/images/airpods-pro.jpg,/dp/B08N5WRWNW,1,1
B0BSHF7WHW,Samsung Galaxy S23 Ultra 256GB,"""200MP camera with advanced Nightography. S Pen built in. 5000mAh battery with super fast charging.""",1199.99,USD,Electronics,Samsung,4.6,18920,/images/galaxy-s23.jpg,/dp/B0BSHF7WHW,1,1
B09V3KXJPB,Sony WH-1000XM5 Wireless Headphones,"""Industry-leading noise cancellation. Crystal clear hands-free calling. Up to 30-hour battery life.""",348.00,USD,Electronics,Sony,4.8,24150,/images/sony-xm5.jpg,/dp/B09V3KXJPB,1,1
B0BDJ279KF,Kindle Paperwhite (16 GB),"""6.8 inch display with adjustable warm light. Up to 10 weeks of battery life. Waterproof design.""",139.99,USD,Electronics,Amazon,4.7,89420,/images/kindle-pw.jpg,/dp/B0BDJ279KF,1,1
B0C1H26C46,Echo Dot (5th Gen) Smart Speaker,"""Our best sounding Echo Dot yet. Control smart home devices with your voice. Stream music from Spotify and more.""",49.99,USD,Electronics,Amazon,4.6,156780,/images/echo-dot.jpg,/dp/B0C1H26C46,1,1
B09JQL3NWT,Instant Pot Duo 7-in-1 Electric Pressure Cooker,"""Pressure cook, slow cook, rice cooker, steamer, saute, yogurt maker, and warmer. 6 quart capacity.""",89.95,USD,Home & Kitchen,Instant Pot,4.7,432100,/images/instant-pot.jpg,/dp/B09JQL3NWT,1,1
B07FZ8S74R,Ninja AF101 Air Fryer,"""4 quart capacity. Crisp, roast, reheat, and dehydrate. 75% less fat than traditional frying.""",99.99,USD,Home & Kitchen,Ninja,4.8,98450,/images/ninja-airfryer.jpg,/dp/B07FZ8S74R,1,1
B08QG4SKGQ,Keurig K-Elite Coffee Maker,"""Brews multiple cup sizes. Iced coffee setting. Strong brew option. Programmable.""",169.99,USD,Home & Kitchen,Keurig,4.6,67890,/images/keurig-elite.jpg,/dp/B08QG4SKGQ,1,1
B07YTR96XD,COSORI Air Fryer Pro LE 5-Qt,"""9 one-touch cooking functions. Compact design. Dishwasher safe basket. Includes recipe book.""",119.99,USD,Home & Kitchen,COSORI,4.7,112340,/images/cosori-airfryer.jpg,/dp/B07YTR96XD,1,1
B0819VNP83,iRobot Roomba 694 Robot Vacuum,"""Wi-Fi connected. Works with Alexa. 3-stage cleaning system. Auto-adjusts to different floor types.""",274.99,USD,Home & Kitchen,iRobot,4.4,78920,/images/roomba-694.jpg,/dp/B0819VNP83,1,1
