id,brand,model,wattage,efficiency_rating,modular,form_factor,fan_size_mm,atx_version,price,in_stock,warranty_years,rating,review_count
PSU001,Corsair,RM1000x,1000,80+ Gold,Full,ATX,135,ATX 3.0,189.99,true,10,4.5,9863
PSU002,Corsair,RM850x,850,80+ Gold,Full,ATX,135,ATX 3.0,149.99,true,10,5.0,7594
PSU003,Corsair,RM750x,750,80+ Gold,Full,ATX,135,ATX 3.0,119.99,true,10,4.5,11961
PSU004,Corsair,RM650,650,80+ Gold,Full,ATX,135,ATX 2.52,99.99,true,10,4.8,3201
PSU005,Corsair,HX1500i,1500,80+ Platinum,Full,ATX,140,ATX 3.0,399.99,true,10,4.6,8604
PSU006,Corsair,HX1200,1200,80+ Platinum,Full,ATX,135,ATX 3.0,279.99,true,10,4.3,1154
PSU007,Corsair,SF750,750,80+ Platinum,Full,SFX,92,ATX 2.52,179.99,true,7,4.5,3754
PSU008,Corsair,SF850L,850,80+ Gold,Full,SFX-L,120,ATX 3.0,169.99,true,7,4.4,809
PSU009,EVGA,SuperNOVA 1000 G7,1000,80+ Gold,Full,ATX,135,ATX 3.0,169.99,true,10,4.4,9726
PSU010,EVGA,SuperNOVA 850 G7,850,80+ Gold,Full,ATX,135,ATX 3.0,139.99,true,10,4.7,12016
PSU011,EVGA,SuperNOVA 750 G7,750,80+ Gold,Full,ATX,135,ATX 3.0,109.99,true,10,4.8,14967
PSU012,Seasonic,PRIME TX-1000,1000,80+ Titanium,Full,ATX,135,ATX 3.0,299.99,true,12,4.6,14250
PSU013,Seasonic,PRIME TX-850,850,80+ Titanium,Full,ATX,135,ATX 3.0,249.99,true,12,4.2,7701
PSU014,Seasonic,Focus GX-850,850,80+ Gold,Full,ATX,120,ATX 3.0,139.99,true,10,4.6,2793
PSU015,Seasonic,Focus GX-750,750,80+ Gold,Full,ATX,120,ATX 3.0,119.99,true,10,4.9,3532
PSU016,Seasonic,Focus GX-650,650,80+ Gold,Full,ATX,120,ATX 2.52,99.99,true,10,5.0,5484
PSU017,be quiet!,Dark Power Pro 13,1300,80+ Titanium,Full,ATX,135,ATX 3.0,369.99,true,10,4.2,12466
PSU018,be quiet!,Straight Power 12,1000,80+ Platinum,Full,ATX,135,ATX 3.0,229.99,true,10,4.2,6316
PSU019,be quiet!,Straight Power 12,850,80+ Platinum,Full,ATX,135,ATX 3.0,189.99,true,10,4.1,4152
PSU020,be quiet!,Pure Power 12 M,850,80+ Gold,Full,ATX,120,ATX 3.0,129.99,true,5,4.2,14595
PSU021,be quiet!,Pure Power 12 M,750,80+ Gold,Full,ATX,120,ATX 3.0,109.99,true,5,4.8,8890
PSU022,ASUS,ROG Thor 1200P2,1200,80+ Platinum,Full,ATX,135,ATX 3.0,349.99,true,10,4.0,7682
PSU023,ASUS,ROG Strix 1000G,1000,80+ Gold,Full,ATX,135,ATX 3.0,199.99,true,10,4.6,1253
PSU024,ASUS,ROG Strix 850G,850,80+ Gold,Full,ATX,135,ATX 3.0,169.99,true,10,4.7,5680
PSU025,MSI,MEG Ai1300P PCIE5,1300,80+ Platinum,Full,ATX,140,ATX 3.0,329.99,true,10,5.0,8535
PSU026,MSI,MPG A1000G PCIE5,1000,80+ Gold,Full,ATX,135,ATX 3.0,179.99,true,10,4.5,2888
PSU027,MSI,MAG A850GL PCIE5,850,80+ Gold,Full,ATX,120,ATX 3.0,129.99,true,10,4.2,4528
PSU028,Thermaltake,Toughpower GF3 1200W,1200,80+ Gold,Full,ATX,140,ATX 3.0,199.99,true,10,4.2,1284
PSU029,Thermaltake,Toughpower GF3 1000W,1000,80+ Gold,Full,ATX,140,ATX 3.0,169.99,true,10,4.8,4465
PSU030,Thermaltake,Toughpower GF3 850W,850,80+ Gold,Full,ATX,140,ATX 3.0,139.99,true,10,5.0,3860
PSU031,Cooler Master,V850 SFX Gold,850,80+ Gold,Full,SFX,92,ATX 3.0,149.99,true,10,4.6,14331
PSU032,Cooler Master,V750 Gold V2,750,80+ Gold,Full,ATX,135,ATX 2.52,109.99,true,10,4.2,84
PSU033,NZXT,C1000 Gold,1000,80+ Gold,Full,ATX,135,ATX 3.0,179.99,true,10,4.7,10906
PSU034,NZXT,C850 Gold,850,80+ Gold,Full,ATX,120,ATX 3.0,139.99,true,10,4.6,617
PSU035,Silverstone,SX800-LTI,800,80+ Titanium,Full,SFX-L,92,ATX 2.52,219.99,true,5,4.2,9247
PSU036,Corsair,CX650M,650,80+ Bronze,Semi,ATX,120,ATX 2.52,69.99,true,5,4.2,7804
PSU037,Corsair,CX550M,550,80+ Bronze,Semi,ATX,120,ATX 2.52,59.99,true,5,4.6,13287
PSU038,Corsair,CX450M,450,80+ Bronze,Semi,ATX,120,ATX 2.52,49.99,true,5,4.1,6006
PSU039,EVGA,SuperNOVA 650 G6,650,80+ Gold,Full,ATX,135,ATX 2.52,89.99,true,10,4.6,14055
PSU040,EVGA,SuperNOVA 550 G6,550,80+ Gold,Full,ATX,135,ATX 2.52,79.99,true,10,4.2,10798
PSU041,EVGA,500 BR,500,80+ Bronze,Non,ATX,120,ATX 2.52,44.99,true,3,4.3,10835
PSU042,EVGA,600 BR,600,80+ Bronze,Non,ATX,120,ATX 2.52,49.99,true,3,4.9,2282
PSU043,Seasonic,Focus PX-850,850,80+ Platinum,Full,ATX,120,ATX 3.0,169.99,true,10,4.9,4918
PSU044,Seasonic,Focus PX-750,750,80+ Platinum,Full,ATX,120,ATX 3.0,149.99,true,10,4.1,12878
PSU045,Seasonic,Connect,750,80+ Gold,Full,ATX,120,ATX 2.52,139.99,true,10,4.5,8585
PSU046,Seasonic,Prime PX-1600,1600,80+ Platinum,Full,ATX,140,ATX 3.0,449.99,true,12,4.3,258
PSU047,be quiet!,System Power 10,750,80+ Gold,Non,ATX,120,ATX 2.52,79.99,true,5,5.0,6931
PSU048,be quiet!,System Power 10,650,80+ Gold,Non,ATX,120,ATX 2.52,69.99,true,5,4.3,8821
PSU049,be quiet!,SFX L Power,600,80+ Gold,Full,SFX-L,120,ATX 2.52,119.99,true,5,4.3,12982
PSU050,ASUS,ROG Strix 750G,750,80+ Gold,Full,ATX,135,ATX 3.0,149.99,true,10,4.8,10098
PSU051,ASUS,TUF Gaming 750B,750,80+ Bronze,Full,ATX,135,ATX 2.52,99.99,true,6,4.0,7976
PSU052,ASUS,TUF Gaming 650B,650,80+ Bronze,Full,ATX,135,ATX 2.52,89.99,true,6,4.5,6056
PSU053,MSI,MAG A750GL,750,80+ Gold,Full,ATX,120,ATX 3.0,99.99,true,10,4.3,12950
PSU054,MSI,MAG A650BN,650,80+ Bronze,Non,ATX,120,ATX 2.52,59.99,true,5,4.5,11411
PSU055,Thermaltake,Toughpower GF1 750W,750,80+ Gold,Full,ATX,140,ATX 2.52,109.99,true,10,4.8,8789
PSU056,Thermaltake,Toughpower GF1 650W,650,80+ Gold,Full,ATX,140,ATX 2.52,89.99,true,10,4.2,4811
PSU057,Thermaltake,Smart 600W,600,80+ Standard,Non,ATX,120,ATX 2.52,44.99,true,5,4.9,4982
PSU058,Thermaltake,Smart 500W,500,80+ Standard,Non,ATX,120,ATX 2.52,39.99,true,5,4.5,14458
PSU059,Cooler Master,MWE Gold 850 V2,850,80+ Gold,Full,ATX,120,ATX 3.0,119.99,true,5,4.4,4611
PSU060,Cooler Master,MWE Gold 750 V2,750,80+ Gold,Full,ATX,120,ATX 3.0,99.99,true,5,4.2,4617
PSU061,Cooler Master,MWE Gold 650 V2,650,80+ Gold,Full,ATX,120,ATX 2.52,79.99,true,5,4.8,8143
PSU062,Cooler Master,MWE Bronze 550 V2,550,80+ Bronze,Non,ATX,120,ATX 2.52,54.99,true,5,4.0,9382
PSU063,NZXT,C750 Gold,750,80+ Gold,Full,ATX,120,ATX 3.0,119.99,true,10,4.4,10692
PSU064,NZXT,C650 Gold,650,80+ Gold,Full,ATX,120,ATX 2.52,99.99,true,10,4.1,14790
PSU065,Silverstone,SX700-G,700,80+ Gold,Full,SFX,92,ATX 2.52,159.99,true,5,4.3,11347
PSU066,Silverstone,SX500-G,500,80+ Gold,Full,SFX,80,ATX 2.52,109.99,true,5,4.6,10009
