id,title,author,genre,isbn,price,stock,published_year,publisher,pages,description,rating,review_count
1,To Kill a Mockingbird,Harper Lee,Fiction,978-0061120084,14.99,25,1960,Harper Perennial,336,A gripping tale of racial injustice and childhood innocence in the American South.,4.5,1739
2,1984,George Orwell,Dystopian,978-0451524935,13.99,30,1949,Signet Classics,328,A chilling prophecy about the future that has uncannily become reality.,4.6,16149
3,Pride and Prejudice,Jane Austen,Romance,978-0141439518,9.99,20,1813,Penguin Classics,432,A witty comedy of manners about love and social standing in Regency England.,3.8,48365
4,The Great Gatsby,F. Scott Fitzgerald,Fiction,978-0743273565,15.99,18,1925,Scribner,180,A tragic story of wealth and obsession during the Jazz Age.,3.7,48640
5,One Hundred Years of Solitude,Gabriel García Márquez,Magical Realism,978-0060883287,16.99,12,1967,Harper Perennial,417,The multi-generational story of the Buendía family in the fictional town of Macondo.,4.8,5797
6,The Catcher in the Rye,J.D. Salinger,Fiction,978-0316769488,12.99,22,1951,Little Brown,277,The story of teenage alienation and loss of innocence in America.,4.4,2182
7,Brave New World,Aldous Huxley,Dystopian,978-0060850524,14.99,15,1932,Harper Perennial,288,A darkly satiric vision of a utopia gone wrong.,3.5,14428
8,The Lord of the Rings,J.R.R. Tolkien,Fantasy,978-0544003415,29.99,10,1954,Mariner Books,1216,An epic high fantasy adventure following the quest to destroy the One Ring.,3.8,39553
9,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,978-0590353427,12.99,35,1997,Scholastic,309,A young wizard discovers his magical heritage and begins his journey at Hogwarts.,3.5,13131
10,The Hobbit,J.R.R. Tolkien,Fantasy,978-0547928227,15.99,20,1937,Mariner Books,300,A reluctant hobbit embarks on an unexpected journey with a company of dwarves.,4.6,46062
11,Crime and Punishment,Fyodor Dostoevsky,Psychological Fiction,978-0143058144,14.99,8,1866,Penguin Classics,671,A psychological exploration of guilt and redemption in 19th century Russia.,4.3,14546
12,The Brothers Karamazov,Fyodor Dostoevsky,Philosophical Fiction,978-0374528379,18.99,6,1880,Farrar Straus and Giroux,824,A passionate philosophical novel exploring faith doubt and morality.,4.2,18331
13,War and Peace,Leo Tolstoy,Historical Fiction,978-0143039990,20.99,5,1869,Penguin Classics,1296,An epic chronicle of Russian society during the Napoleonic Wars.,4.7,525
14,Anna Karenina,Leo Tolstoy,Fiction,978-0143035008,16.99,10,1877,Penguin Classics,964,A tragic love story set against the backdrop of Russian high society.,4.6,10563
15,Moby-Dick,Herman Melville,Adventure,978-0142437247,15.99,7,1851,Penguin Classics,720,Captain Ahab's obsessive quest to hunt the white whale.,4.5,22398
16,Don Quixote,Miguel de Cervantes,Adventure,978-0060934347,18.99,9,1605,Ecco,992,The adventures of an idealistic knight and his loyal squire.,3.9,14210
17,The Odyssey,Homer,Epic Poetry,978-0140268867,14.99,12,800 BC,Penguin Classics,541,The epic journey of Odysseus returning home after the Trojan War.,4.9,22159
18,Jane Eyre,Charlotte Brontë,Gothic Romance,978-0141441146,11.99,15,1847,Penguin Classics,532,An orphaned governess finds love and independence.,3.7,24998
