id,brand,model,type,capacity_gb,speed_mhz,latency,modules,voltage,rgb,price,in_stock,heat_spreader,rating,review_count
RAM001,Corsair,Vengeance DDR5,DDR5,32,6000,CL36,2x16GB,1.35,false,119.99,true,true,4.3,10738
RAM002,Corsair,Vengeance RGB DDR5,DDR5,32,6000,CL36,2x16GB,1.35,true,139.99,true,true,4.2,9305
RAM003,Corsair,Vengeance DDR5,DDR5,64,5600,CL40,2x32GB,1.25,false,199.99,true,true,4.3,10982
RAM004,Corsair,Dominator Platinum RGB DDR5,DDR5,32,6400,CL32,2x16GB,1.4,true,189.99,true,true,4.0,5749
RAM005,G.Skill,Trident Z5 RGB,DDR5,32,6000,CL30,2x16GB,1.35,true,149.99,true,true,4.2,13117
RAM006,G.Skill,Trident Z5 Neo RGB,DDR5,32,6000,CL30,2x16GB,1.35,true,154.99,true,true,4.7,845
RAM007,G.Skill,Flare X5,DDR5,32,6000,CL36,2x16GB,1.35,false,109.99,true,true,4.9,1246
RAM008,G.Skill,Trident Z5 RGB,DDR5,64,6400,CL32,2x32GB,1.4,true,279.99,true,true,4.3,2032
RAM009,Kingston,Fury Beast DDR5,DDR5,32,5600,CL40,2x16GB,1.25,false,99.99,true,true,4.2,4293
RAM010,Kingston,Fury Beast RGB DDR5,DDR5,32,6000,CL36,2x16GB,1.35,true,124.99,true,true,4.1,3832
RAM011,Kingston,Fury Renegade DDR5,DDR5,32,6400,CL32,2x16GB,1.4,false,159.99,true,true,4.5,5913
RAM012,TeamGroup,T-Force Delta RGB DDR5,DDR5,32,6000,CL38,2x16GB,1.35,true,114.99,true,true,4.1,13121
RAM013,TeamGroup,T-Force Vulcan DDR5,DDR5,32,5600,CL40,2x16GB,1.25,false,89.99,true,true,4.1,351
RAM014,Corsair,Vengeance LPX DDR4,DDR4,32,3200,CL16,2x16GB,1.35,false,64.99,true,true,4.6,11730
RAM015,Corsair,Vengeance RGB Pro DDR4,DDR4,32,3600,CL18,2x16GB,1.35,true,84.99,true,true,4.6,13693
